 	même	si	on	t'	insulte	tu	dois	supporter	</S>
a66	0.0601373	0.0608732	0.0858611	0.285413	0.429998	0.0626034	0.00903662	0.00367905	0.00239817
a87	0.205086	0.137372	0.15205	0.229084	0.176807	0.0591646	0.0160609	0.0119045	0.0124708
a23	0.347723	0.207005	0.164989	0.165658	0.0816003	0.0108031	0.00567416	0.00586148	0.0106849
a10	0.387834	0.213039	0.166803	0.139881	0.0554801	0.00846257	0.0049453	0.00647332	0.017083
a24	0.339361	0.194048	0.169866	0.153595	0.0802018	0.0157525	0.0117936	0.012606	0.0227762
a88	0.184327	0.139378	0.146347	0.234397	0.184661	0.0410058	0.0261907	0.0194739	0.0242199
a98	0.260172	0.173527	0.185801	0.19908	0.123348	0.0232795	0.0124699	0.0108517	0.0114713
a47	0.238346	0.147636	0.168063	0.165018	0.14532	0.0420799	0.0277223	0.0338747	0.0319397
a36	0.115939	0.0975862	0.161673	0.161993	0.166196	0.0870566	0.0582102	0.0706337	0.0807123
a7	0.0982442	0.0933797	0.152319	0.18245	0.17296	0.0891296	0.0622607	0.0695195	0.0797366
a90	0.116688	0.103464	0.14199	0.167734	0.171702	0.082325	0.0572482	0.0708195	0.0880283
a15	0.079226	0.0881918	0.123931	0.141001	0.163234	0.125864	0.0707805	0.093563	0.114208
a79	0.0690091	0.0923851	0.124552	0.151683	0.16388	0.124351	0.0616637	0.0883593	0.124116
a92	0.0557231	0.0794898	0.109503	0.132503	0.135578	0.171203	0.0869821	0.105889	0.12313
a25	0.0565983	0.0917414	0.132662	0.170891	0.168514	0.160104	0.0675889	0.0699097	0.0819909
a15	0.0257379	0.0493767	0.0690721	0.0858517	0.0962614	0.216644	0.140921	0.146991	0.169144
a69	0.0196014	0.0403656	0.0604688	0.0963488	0.105567	0.177331	0.142178	0.162761	0.195378
a20	0.018728	0.0325387	0.0463087	0.0739564	0.0842192	0.189267	0.156521	0.166976	0.231485
a98	0.0166742	0.0254372	0.030885	0.045471	0.0561907	0.176767	0.165495	0.187593	0.295486
a15	0.00657109	0.0101291	0.0118447	0.0172693	0.0239366	0.109416	0.17245	0.260594	0.387789
a79	0.00810226	0.00986354	0.00891203	0.0106082	0.0151957	0.0561947	0.140245	0.263052	0.487827
a90	0.0144612	0.014808	0.0119575	0.0113314	0.0127843	0.0519246	0.150732	0.258387	0.473614
a4	0.00934874	0.0101586	0.00767788	0.00816657	0.00980978	0.0363527	0.1404	0.278527	0.499558
a21	0.00691846	0.00711582	0.0044756	0.00328808	0.00244101	0.00791378	0.0730485	0.258055	0.636743
a47	0.00408483	0.00431054	0.00266871	0.00197439	0.00180253	0.00405172	0.0505694	0.293189	0.637349
a96	0.00244486	0.00268691	0.00209183	0.00149236	0.000848238	0.00346159	0.0541704	0.275863	0.656941
a94	0.00338404	0.00381592	0.00298068	0.00212666	0.00142367	0.00571065	0.0686083	0.293149	0.618801
a18	0.00363814	0.00401695	0.00340818	0.00303058	0.00225517	0.00968856	0.0914046	0.28607	0.596488
a25	0.00503318	0.00494964	0.00394057	0.00439795	0.00480588	0.0147972	0.114845	0.276713	0.570518
a10	0.0697964	0.0435505	0.034614	0.0377552	0.0333936	0.0462744	0.122878	0.201061	0.410677
a87	0.168153	0.0987286	0.0735155	0.0703395	0.057773	0.0424988	0.0807351	0.129992	0.278265
a23	0.22289	0.137627	0.100279	0.0941061	0.0983076	0.0421808	0.0606129	0.0803678	0.163628
a87	0.0767472	0.0388318	0.0211899	0.0115802	0.0105318	0.0130426	0.0468952	0.198559	0.582623
a97	0.0102001	0.00606164	0.00467669	0.00450288	0.00820919	0.0115289	0.043298	0.222092	0.68943
</S>	0.0593884	0.0455324	0.0473889	0.0541003	0.0624728	0.0534845	0.0770191	0.196633	0.403981
