 	cette	femme	boude	contre	son	mari	parce	qu'	il	lui	a	refusé	de	l'	argent	</S>
a23	0.191358	0.114616	0.106897	0.105645	0.0890643	0.0799806	0.0711223	0.0747067	0.0544834	0.0453997	0.0291527	0.0130848	0.00741944	0.00578448	0.00555403	0.00573149
a30	0.232719	0.169498	0.177655	0.112074	0.0549326	0.0466956	0.0364878	0.0355097	0.024065	0.0236572	0.0231243	0.0189487	0.0140058	0.0112438	0.0102761	0.00910729
a70	0.116035	0.110437	0.13738	0.121313	0.0983006	0.0881314	0.0678517	0.0536305	0.0322498	0.0234427	0.0178506	0.0134414	0.0149584	0.0205549	0.0341088	0.0503156
a62	0.2475	0.226526	0.20396	0.0996817	0.0492577	0.0395033	0.025349	0.0213591	0.0135355	0.0145421	0.0182395	0.0120394	0.00822033	0.0069048	0.00653977	0.00684146
a93	0.235912	0.233437	0.202435	0.116054	0.0633394	0.0472944	0.0294492	0.0230203	0.0109359	0.0096899	0.00829633	0.0047562	0.00381075	0.00354149	0.00370475	0.00432323
a90	0.200435	0.217139	0.196298	0.0987537	0.0565574	0.0502235	0.0429032	0.0348878	0.0199177	0.0177903	0.0159749	0.0111271	0.00922652	0.00875829	0.00923956	0.0107681
a92	0.124001	0.167099	0.182325	0.107355	0.0698637	0.064987	0.0633056	0.0501254	0.0314261	0.0272832	0.0253202	0.0195781	0.0160633	0.0150661	0.0163545	0.0198472
a85	0.092828	0.137106	0.169951	0.109919	0.0730698	0.0703604	0.0747749	0.0628555	0.0438998	0.0378362	0.0325302	0.0215454	0.016855	0.0155682	0.0184376	0.0224635
a37	0.066597	0.0955796	0.133417	0.108622	0.0901227	0.0881933	0.089638	0.0741136	0.0582591	0.0488694	0.0413282	0.0254844	0.0199142	0.0173747	0.0195785	0.0229091
a26	0.072445	0.0938965	0.133174	0.130686	0.111714	0.10467	0.0967865	0.074772	0.0472112	0.0363465	0.0266802	0.016221	0.0127869	0.0122415	0.0138931	0.0164759
a62	0.0234332	0.0416455	0.0826706	0.103972	0.110229	0.127695	0.115115	0.0806727	0.0490147	0.0397319	0.0305938	0.0314301	0.0338604	0.0357293	0.0424415	0.0517644
a83	0.0239012	0.0318339	0.0534078	0.0859197	0.0982288	0.106233	0.12372	0.116865	0.0919044	0.0754564	0.0482561	0.0277995	0.0223651	0.0236078	0.0302459	0.0402554
a98	0.0162895	0.0219873	0.0378839	0.0746583	0.0986409	0.11616	0.139186	0.125797	0.0938216	0.0734832	0.0440981	0.0268201	0.0232793	0.026007	0.0348731	0.0470149
a92	0.0158011	0.0201563	0.0323046	0.0586225	0.0807482	0.0928132	0.115103	0.113631	0.117652	0.100665	0.071174	0.0394791	0.0310026	0.0294974	0.0359243	0.0454269
a34	0.0180157	0.0203685	0.0289716	0.0493165	0.0753894	0.0958981	0.128967	0.128551	0.134004	0.0999622	0.0631415	0.0333794	0.0259191	0.0249051	0.031547	0.0416634
a56	0.0176826	0.0187734	0.0216632	0.0354736	0.0542924	0.0720403	0.121519	0.146195	0.151978	0.118577	0.0665836	0.033057	0.0262628	0.0281957	0.0372789	0.0504282
a93	0.0133361	0.0145457	0.0176237	0.0290673	0.0486487	0.0684973	0.115062	0.133407	0.153336	0.117159	0.0691177	0.0399121	0.0323254	0.0345872	0.0475891	0.0657861
a34	0.00970309	0.0107849	0.0130727	0.0213278	0.0354114	0.0536345	0.0959187	0.126071	0.159973	0.131313	0.078557	0.0479548	0.0397905	0.0426267	0.0566748	0.0771854
a93	0.0119521	0.0134611	0.015779	0.0229232	0.0324733	0.0474345	0.0827347	0.109804	0.143535	0.123697	0.0784627	0.0579855	0.0498986	0.051638	0.0675616	0.0906597
a70	0.0100591	0.0107069	0.0124543	0.0185871	0.0271947	0.0405716	0.071885	0.0998086	0.146673	0.130208	0.0901205	0.0712714	0.0630728	0.0589148	0.066897	0.0815749
