 	il	est	paresseux	ce	n'	est	pas	bien	</S>
a85	0.229608	0.160859	0.134441	0.141533	0.114464	0.0813213	0.0559259	0.0444533	0.0373946
a87	0.197511	0.152496	0.118121	0.122075	0.0947326	0.0782514	0.0705536	0.0773305	0.0889295
a23	0.17007	0.143415	0.106282	0.111737	0.0963276	0.0933125	0.0835919	0.0898067	0.105458
a79	0.251021	0.178093	0.0960753	0.0649136	0.0455977	0.0537947	0.0667379	0.101317	0.14245
a20	0.429559	0.198241	0.0948085	0.0636345	0.0355189	0.033667	0.036803	0.0485273	0.0592403
a73	0.354771	0.181033	0.118975	0.101978	0.0656406	0.0580626	0.0451769	0.0393603	0.0350038
a44	0.231509	0.174961	0.143377	0.14598	0.10644	0.0778192	0.0508569	0.0371692	0.0318877
a11	0.180739	0.146768	0.145501	0.152431	0.116543	0.09043	0.0663482	0.052682	0.0485573
a26	0.162847	0.143059	0.143907	0.159543	0.125924	0.0948386	0.0664676	0.0532004	0.0502137
a35	0.151737	0.136299	0.129261	0.156645	0.141299	0.104684	0.0723276	0.0563828	0.0513649
a76	0.191346	0.160566	0.13424	0.15169	0.129815	0.0932844	0.0602585	0.0426721	0.0361283
a90	0.195027	0.16522	0.130463	0.145011	0.122905	0.0910707	0.0641471	0.0473666	0.0387889
a57	0.179731	0.157232	0.146573	0.156596	0.128767	0.093632	0.0589069	0.042881	0.0356815
a76	0.078931	0.0850776	0.140544	0.167035	0.16942	0.134905	0.0908486	0.0701638	0.0630756
a90	0.0767189	0.0745553	0.116938	0.148389	0.160944	0.131528	0.107009	0.0940634	0.0898542
a69	0.084186	0.0822902	0.121207	0.142831	0.155291	0.139762	0.112214	0.0891624	0.0730568
a58	0.0562263	0.0569465	0.0952588	0.121759	0.160715	0.149249	0.125574	0.117555	0.116717
a82	0.0299149	0.0326619	0.0680668	0.0885578	0.142589	0.153143	0.158911	0.160712	0.165443
a87	0.0171526	0.0195583	0.0547617	0.0774133	0.11995	0.120465	0.147047	0.192502	0.25115
a23	0.0272801	0.0321497	0.0567563	0.0690427	0.0936141	0.102532	0.145708	0.210982	0.261935
a94	0.0467228	0.041324	0.0576483	0.0627169	0.0865211	0.10499	0.151568	0.201762	0.246746
a71	0.0499146	0.0357664	0.0552347	0.0572933	0.0744337	0.0960873	0.143683	0.212604	0.274983
a38	0.0339025	0.0321395	0.0498789	0.0550877	0.073667	0.0942295	0.146683	0.231145	0.283266
a20	0.0219514	0.0191942	0.0349824	0.0436305	0.07083	0.0956549	0.15284	0.248526	0.31239
a69	0.0286006	0.0296158	0.0561449	0.0678867	0.100182	0.11481	0.142996	0.196309	0.263456
a57	0.0198662	0.021179	0.0402807	0.0474962	0.0746963	0.0941746	0.144905	0.236728	0.320674
a38	0.00545823	0.00585885	0.0144086	0.0186184	0.040918	0.0607589	0.125514	0.274505	0.45396
a41	0.00594196	0.00552782	0.0129715	0.0162117	0.0345729	0.0520485	0.114286	0.270388	0.488052
a18	0.00729245	0.00730927	0.0173726	0.0194934	0.0368891	0.0550393	0.11779	0.272283	0.466531
a54	0.00714934	0.00694773	0.0140645	0.0168726	0.0322212	0.0463695	0.0957137	0.240595	0.540066
a73	0.010773	0.0094728	0.0167285	0.0162106	0.029205	0.0453571	0.104214	0.267904	0.500135
a84	0.00783612	0.00741595	0.0143664	0.0146389	0.0261369	0.0404752	0.0922119	0.253515	0.543404
a87	0.0132639	0.0110452	0.0156617	0.0178451	0.0297753	0.0436344	0.097292	0.252937	0.518545
</S>	0.0218121	0.0170972	0.0187534	0.019524	0.0376428	0.0571802	0.116446	0.26285	0.448695
