 	sa	mère	lui	a	administré	une	bonne	fessée	car	il	est	trop	têtu	</S>
a84	0.0628498	0.0580365	0.0615464	0.0999202	0.123191	0.171855	0.147031	0.152187	0.0736624	0.0223698	0.0135738	0.00613981	0.00456763	0.00306908
a57	0.133684	0.0836003	0.0592325	0.0643018	0.12654	0.17173	0.120839	0.0970972	0.0518539	0.0216738	0.0193342	0.0162776	0.0193071	0.0145292
a10	0.169054	0.100991	0.0701509	0.0632736	0.0797508	0.127235	0.123577	0.144335	0.0556659	0.0199176	0.0148106	0.00922695	0.00950656	0.0125053
a87	0.216058	0.126793	0.0806132	0.0613552	0.0507753	0.0751645	0.0833855	0.144754	0.0742063	0.0314981	0.0223452	0.0125236	0.0105807	0.00994712
a23	0.181904	0.108417	0.0695335	0.0539646	0.0561585	0.0854608	0.0946701	0.135851	0.0838086	0.0450412	0.0346529	0.0196689	0.015879	0.0149896
a87	0.152559	0.0988313	0.0731923	0.0698939	0.0673832	0.0892477	0.0941847	0.129271	0.0721852	0.0519084	0.0433111	0.0255291	0.01905	0.0134532
a23	0.135648	0.0935962	0.0716408	0.0678993	0.0652811	0.0811919	0.0969984	0.133315	0.0802584	0.0607783	0.04813	0.0307452	0.0211239	0.0133935
a13	0.121482	0.104687	0.0881202	0.0919324	0.0923118	0.109992	0.0977895	0.0849891	0.0499228	0.0463272	0.0419136	0.0308774	0.0237572	0.0158985
a53	0.137262	0.159588	0.149508	0.128998	0.0819054	0.0835993	0.0794618	0.0549584	0.029989	0.0270289	0.0252927	0.017479	0.0144309	0.0104992
a20	0.184126	0.162468	0.127336	0.102656	0.0703093	0.066964	0.0746344	0.0756762	0.0381724	0.0260957	0.0276439	0.0182679	0.0167864	0.00886407
a47	0.143729	0.127902	0.0977809	0.0849886	0.0688005	0.0726685	0.0912201	0.105201	0.0491715	0.0352289	0.041805	0.0335742	0.0304428	0.0174872
a6	0.095488	0.100699	0.110547	0.114045	0.0878923	0.0788528	0.0904753	0.105437	0.0537706	0.0354272	0.0395401	0.0307459	0.03411	0.0229706
a75	0.0887441	0.0895768	0.103768	0.104115	0.0823123	0.0674543	0.0823668	0.108258	0.0721786	0.0425867	0.0452168	0.0376663	0.0429507	0.0328058
a5	0.100507	0.0968785	0.103948	0.0990436	0.0767314	0.0640406	0.0814345	0.117486	0.0856759	0.0516964	0.0441568	0.0272839	0.0277145	0.0234016
a21	0.12814	0.110402	0.104301	0.0947675	0.0770703	0.0734804	0.0915788	0.119032	0.0704849	0.0341737	0.0280004	0.0207999	0.0222229	0.0255454
a5	0.105251	0.0949197	0.110471	0.116569	0.0836777	0.0751422	0.0892143	0.120696	0.0807	0.0351095	0.0260114	0.0189738	0.0198978	0.0233666
a56	0.0417921	0.0358242	0.0564618	0.0868153	0.0849069	0.0835556	0.103202	0.146271	0.113858	0.0662603	0.0499873	0.0358627	0.0373884	0.0578146
a90	0.033857	0.0299564	0.0535349	0.0932217	0.0838812	0.0793828	0.0984225	0.140875	0.117768	0.0663955	0.0512035	0.0412564	0.043182	0.0670632
a98	0.0193098	0.0190553	0.0341054	0.0715892	0.0696095	0.0586193	0.0781291	0.128325	0.135841	0.0855044	0.070923	0.0597577	0.061174	0.108057
a47	0.0105406	0.0121292	0.0222667	0.0542792	0.0677715	0.0644956	0.0918374	0.12733	0.132751	0.104802	0.0813324	0.0667103	0.0594737	0.10428
a92	0.0147491	0.0145411	0.0231717	0.054196	0.0749103	0.0749386	0.103997	0.134522	0.119316	0.0942259	0.068843	0.0627126	0.061369	0.0985075
a44	0.00886887	0.00861467	0.0145092	0.037786	0.0533912	0.0521622	0.0740277	0.114338	0.118039	0.110227	0.0996909	0.0996138	0.0862853	0.122446
a90	0.0101292	0.00966199	0.0128504	0.0245377	0.040983	0.0516531	0.0906661	0.132387	0.140137	0.103948	0.0873931	0.0866536	0.0826487	0.126351
a25	0.00556592	0.0053721	0.00725568	0.0158073	0.0294952	0.0387055	0.0708803	0.115409	0.143597	0.128035	0.105533	0.1065	0.0904681	0.137376
a69	0.00593293	0.00567278	0.00664699	0.0135882	0.0303628	0.0398121	0.0890641	0.142624	0.152044	0.131648	0.0936884	0.0850545	0.0698778	0.133983
a75	0.00931678	0.00828553	0.00909417	0.014259	0.0224322	0.030427	0.0580884	0.0900396	0.122201	0.116865	0.0992607	0.110694	0.105315	0.203722
a21	0.00721497	0.0062143	0.00754863	0.0134752	0.0217126	0.0267494	0.0511331	0.0781297	0.111574	0.120551	0.104953	0.124341	0.114497	0.211906
a5	0.00508683	0.004781	0.00587751	0.00980607	0.0145174	0.0176323	0.0293868	0.0380273	0.0745482	0.110845	0.124029	0.15452	0.151712	0.25923
a21	0.00463672	0.00446991	0.00574194	0.00934289	0.0129457	0.014542	0.0241896	0.0311498	0.0659546	0.110558	0.133332	0.166446	0.162319	0.254372
a5	0.00545393	0.00530786	0.00649079	0.00942026	0.01231	0.0142158	0.0211006	0.0262529	0.0615284	0.103827	0.132343	0.173466	0.177564	0.250719
a23	0.00518245	0.00512758	0.00659865	0.0100123	0.0128186	0.0133388	0.0208261	0.0253779	0.0469185	0.0817847	0.112224	0.171609	0.194662	0.29352
a18	0.00324044	0.00299679	0.00351133	0.00590485	0.00941057	0.0101192	0.0181359	0.0222351	0.044245	0.0905407	0.123904	0.181576	0.175575	0.308606
a82	0.00909883	0.00912305	0.00900518	0.0109127	0.0220015	0.0264466	0.0470233	0.0361174	0.0270921	0.0514517	0.0745167	0.162189	0.198922	0.3161
a87	0.0134465	0.0122905	0.0134528	0.0174895	0.0395616	0.0554735	0.0948673	0.0753609	0.0533076	0.0826937	0.0975282	0.133072	0.130147	0.181309
a23	0.0140002	0.0101054	0.010708	0.0140013	0.0354814	0.0656049	0.091783	0.0804723	0.0616676	0.0986466	0.117812	0.120515	0.112268	0.166935
a83	0.0101412	0.00650293	0.00600385	0.00792235	0.0168075	0.0268996	0.0468141	0.0552259	0.0462134	0.0685342	0.0973688	0.140174	0.195663	0.275728
a54	0.00135844	0.00130191	0.00141382	0.00218342	0.00530501	0.0083386	0.0136149	0.0125703	0.0127357	0.0327416	0.0695696	0.165447	0.252166	0.421254
a79	0.000556658	0.000509267	0.000821604	0.00206992	0.00514172	0.0067416	0.0105335	0.0158842	0.0220117	0.0448064	0.0797048	0.162364	0.254519	0.394335
a69	0.000719631	0.00076235	0.00119566	0.00279426	0.00593449	0.00741538	0.0103105	0.0144242	0.0176318	0.0316604	0.056178	0.148144	0.272417	0.430412
a58	0.000706374	0.000755874	0.00102183	0.0019151	0.00443392	0.00681845	0.0107708	0.0132078	0.0156224	0.0270453	0.0428528	0.11105	0.242742	0.521057
a47	0.000305639	0.00029982	0.000349576	0.000589882	0.00182577	0.00335508	0.0063563	0.00485019	0.0058798	0.0178845	0.0407886	0.13822	0.248308	0.530988
a88	0.000309989	0.00028884	0.000352812	0.000512243	0.0011154	0.00156962	0.00235933	0.00227553	0.00352923	0.0115548	0.0273568	0.102601	0.244436	0.601738
a66	0.000492144	0.000467063	0.000585715	0.000925776	0.00223719	0.0033018	0.00525924	0.00519778	0.00706122	0.0193656	0.0418006	0.119223	0.232084	0.561999
a93	0.0009928	0.000945507	0.000877452	0.0013081	0.00433407	0.00796923	0.0178461	0.0138622	0.0148885	0.0417261	0.0719907	0.180626	0.259913	0.38272
a4	0.000272226	0.000275578	0.00038113	0.000716703	0.00193838	0.00302575	0.0047293	0.00445836	0.00649468	0.0166814	0.0347551	0.120343	0.259603	0.546326
a57	0.000192959	0.000197977	0.000247715	0.00045083	0.00129387	0.00179522	0.0028367	0.00234384	0.00361818	0.0137076	0.0336623	0.129801	0.272565	0.537286
a54	0.00146715	0.00135184	0.00122331	0.00162663	0.00519696	0.00862877	0.0180445	0.0134081	0.0140522	0.0413377	0.0713375	0.181816	0.242579	0.39793
a47	6.6986e-05	5.77718e-05	6.18575e-05	8.94392e-05	0.000232351	0.000245366	0.000465426	0.000499527	0.000814213	0.00337263	0.00969585	0.071234	0.225649	0.687515
a7	0.00012585	0.000114782	0.000132561	0.000171015	0.000403871	0.000452311	0.000698893	0.000649484	0.00140308	0.00590248	0.0145474	0.0719479	0.223219	0.680231
a26	0.00133687	0.0013165	0.00115943	0.00104277	0.00253157	0.00296399	0.00487944	0.00314427	0.00487908	0.0198421	0.0426463	0.131945	0.278713	0.5036
a84	0.0337875	0.0297468	0.0271254	0.0208413	0.0395322	0.0507307	0.0564415	0.0282459	0.0259875	0.0641682	0.0862513	0.137023	0.149792	0.250327
a57	0.0629248	0.0449982	0.0369448	0.0303688	0.0503522	0.0907555	0.112585	0.085189	0.0612695	0.0772647	0.0721807	0.0754096	0.0747006	0.125056
a87	0.0651306	0.0373296	0.0208272	0.0175869	0.0414046	0.0972283	0.150939	0.154816	0.087916	0.0751676	0.0612939	0.0516783	0.0569504	0.0817319
a23	0.0437882	0.0252631	0.0164276	0.0200633	0.0582739	0.116697	0.170897	0.173575	0.0794582	0.0621818	0.0485542	0.0439487	0.0523483	0.0885231
a97	0.0180354	0.0103209	0.0058411	0.00510141	0.0113939	0.0157638	0.0232289	0.0201773	0.0192418	0.0294289	0.0398645	0.090154	0.191854	0.519594
</S>	0.0355916	0.0203699	0.013451	0.0159636	0.0349305	0.0471578	0.0725547	0.0707833	0.0468354	0.0453616	0.0448353	0.0671624	0.12308	0.361923
