 	ibhoyi	a	reçu	beaucoup	de	gratifications	lorsqu'	elle	chantait	</S>
a66	0.154905	0.166419	0.154292	0.128054	0.128507	0.111563	0.0845981	0.0359448	0.0202349	0.0154826
a87	0.245432	0.193867	0.151598	0.110134	0.0708474	0.0573954	0.0727688	0.0399828	0.0259791	0.0319958
a23	0.427057	0.191871	0.112716	0.0696846	0.0577219	0.0687052	0.0360914	0.0140274	0.0084493	0.0136762
a99	0.461967	0.165773	0.166653	0.0704208	0.0509033	0.0433001	0.0203478	0.00723735	0.00497076	0.00842753
a18	0.428216	0.188385	0.141318	0.0629807	0.0499513	0.0503315	0.0302251	0.0146734	0.0137217	0.0201975
a9	0.488568	0.227148	0.100502	0.0497992	0.0334043	0.025225	0.0300741	0.0156528	0.0119565	0.0176694
a82	0.462039	0.208347	0.0842151	0.0482502	0.0412854	0.0376619	0.0517138	0.0274503	0.0188786	0.0201585
a30	0.450813	0.192363	0.100077	0.0525991	0.0420692	0.0388271	0.0471098	0.0295976	0.0231165	0.0234279
a93	0.513943	0.189563	0.101751	0.0484152	0.0340313	0.0287757	0.0333912	0.0189507	0.0158661	0.0153122
a94	0.490366	0.221571	0.113457	0.0532673	0.0336734	0.0190837	0.020429	0.0154813	0.0144372	0.0182346
a62	0.373601	0.25364	0.144807	0.0701853	0.0454825	0.026004	0.0279568	0.0215026	0.0173919	0.0194279
a21	0.28794	0.222666	0.156988	0.0974514	0.0739551	0.0535814	0.0441071	0.0266159	0.0180614	0.0186343
a85	0.180137	0.175399	0.186167	0.130728	0.104521	0.0755472	0.0627126	0.0416806	0.0240176	0.0190908
a5	0.0873533	0.100237	0.159302	0.127091	0.116202	0.0778613	0.0890756	0.0948597	0.0661398	0.0818771
a12	0.142929	0.148571	0.186835	0.143663	0.123265	0.0983253	0.0757686	0.0423966	0.0215103	0.0167362
a62	0.0586722	0.0976589	0.169999	0.161686	0.155183	0.149243	0.103703	0.0531391	0.0277901	0.0229263
a70	0.0379542	0.0660108	0.145878	0.176173	0.192345	0.169876	0.112776	0.0490207	0.0243124	0.0256547
a90	0.0222801	0.0418446	0.101951	0.15864	0.199606	0.202026	0.147286	0.0583011	0.0289671	0.0390985
a98	0.0173802	0.0330257	0.0719234	0.125059	0.163628	0.176545	0.149832	0.0925901	0.0623468	0.107669
a85	0.0105205	0.0214834	0.0568523	0.11281	0.174762	0.163731	0.12667	0.115784	0.0866336	0.130753
a47	0.0104339	0.0185017	0.0462153	0.102585	0.163784	0.137015	0.0993905	0.122875	0.126449	0.172751
a7	0.0128166	0.0201843	0.0439907	0.0874234	0.141163	0.146781	0.0969816	0.10309	0.119057	0.228513
a90	0.016784	0.0262072	0.0430105	0.0962084	0.198713	0.236447	0.126504	0.071044	0.0558919	0.129191
a69	0.00627347	0.0115782	0.0234307	0.0492634	0.111218	0.167031	0.113061	0.116045	0.138398	0.263701
a58	0.0077217	0.0146199	0.0261802	0.0468188	0.102181	0.159617	0.113007	0.123759	0.156652	0.249443
a82	0.0184753	0.0261868	0.0385516	0.0655621	0.138459	0.21594	0.0990519	0.0889957	0.0794934	0.229284
a62	0.0352105	0.0348421	0.0433696	0.0760934	0.154736	0.239432	0.116921	0.0780287	0.0485084	0.172859
a88	0.00355668	0.00666158	0.0125591	0.0279074	0.0715493	0.13777	0.103149	0.122694	0.141155	0.372997
a62	0.00733178	0.0117658	0.0180067	0.038281	0.084818	0.143998	0.0941593	0.120866	0.116873	0.3639
a56	0.00432077	0.00761408	0.0155286	0.0324759	0.0648232	0.102739	0.0847522	0.128352	0.153647	0.405747
a92	0.00383876	0.00575186	0.0105381	0.0199647	0.0390849	0.0639514	0.0526329	0.10127	0.166075	0.536892
a98	0.0036332	0.00461931	0.00706316	0.0121975	0.026462	0.0494267	0.0428552	0.0926466	0.185545	0.575551
a85	0.00295692	0.00401742	0.00624987	0.0104513	0.0219417	0.0372982	0.0296013	0.0872846	0.204879	0.59532
a5	0.00234157	0.00285891	0.0038568	0.0074101	0.0198292	0.0375478	0.0292637	0.0914742	0.229321	0.576097
a47	0.00219164	0.00299645	0.00460321	0.00890603	0.0190909	0.0324085	0.0213624	0.06541	0.238033	0.604998
a34	0.00266683	0.00404861	0.00572145	0.0107715	0.0205724	0.030256	0.0181152	0.0477257	0.182448	0.677675
a98	0.00153538	0.00203044	0.00273387	0.00523249	0.00954211	0.0144248	0.0096405	0.0299746	0.171282	0.753604
a79	0.00053405	0.000611356	0.000970281	0.00176357	0.00356393	0.00507722	0.00330162	0.0147592	0.133489	0.83593
a15	0.000396876	0.000545385	0.000784918	0.0015284	0.00364917	0.00764287	0.00507988	0.0223754	0.144279	0.813718
a7	0.00112176	0.00124767	0.00145777	0.00245944	0.00502183	0.00844294	0.00486484	0.0183331	0.143803	0.813247
a26	0.00315315	0.00300322	0.00255408	0.00400712	0.00593074	0.00740419	0.00478688	0.0192089	0.161348	0.788604
a2	0.0537053	0.0369748	0.0274466	0.0314703	0.0310886	0.0276724	0.0213217	0.0578437	0.271516	0.440961
a57	0.0629819	0.0405534	0.031612	0.0377195	0.0370214	0.0396184	0.0341311	0.0930653	0.306754	0.316543
a87	0.0962543	0.0632626	0.0437938	0.0479723	0.0532425	0.0770556	0.0675708	0.155739	0.244323	0.150786
a23	0.0677212	0.0586472	0.0376397	0.0492309	0.0672354	0.106572	0.111895	0.206611	0.194262	0.100186
a87	0.0225544	0.0192428	0.0104433	0.0130526	0.0147659	0.0231608	0.0424364	0.156826	0.309887	0.387631
</S>	0.0121522	0.0107463	0.00603833	0.00952673	0.0124445	0.0196029	0.0343749	0.127948	0.290648	0.476518
