 	la	maison	que	tu	as	construite	a	une	courte	largeur	</S>
a66	0.158904	0.105848	0.0956406	0.142673	0.165441	0.107489	0.0956273	0.0596462	0.029917	0.0232209	0.0155926
a10	0.172685	0.121725	0.110451	0.146411	0.138812	0.168837	0.0822567	0.0280284	0.0116556	0.013166	0.00597223
a87	0.216111	0.164642	0.121799	0.114579	0.10942	0.142661	0.0637741	0.0219846	0.0106137	0.0236903	0.0107248
a23	0.223591	0.18904	0.132455	0.115019	0.100258	0.10628	0.0634351	0.0270788	0.0153119	0.0198615	0.00767062
a83	0.211795	0.183419	0.137384	0.129629	0.121279	0.123602	0.0434799	0.015233	0.0105633	0.0135357	0.0100806
a62	0.214836	0.167413	0.1365	0.140892	0.116679	0.0912939	0.0336272	0.0218605	0.0227541	0.0319224	0.022222
a21	0.225658	0.212074	0.174965	0.158382	0.100023	0.0558006	0.0286511	0.0166438	0.0117585	0.0105046	0.00553983
a12	0.172371	0.178841	0.158579	0.13753	0.106951	0.0880164	0.0516794	0.0362228	0.0284131	0.0258314	0.0155658
a18	0.126553	0.136053	0.132867	0.128891	0.128373	0.12784	0.0690791	0.0445797	0.0324114	0.0423181	0.0310351
a75	0.0600403	0.0737476	0.0834028	0.0879481	0.111536	0.164639	0.111025	0.0882481	0.059738	0.0946475	0.0650279
a61	0.0569034	0.062308	0.100308	0.126723	0.176461	0.133109	0.0993168	0.0653787	0.0585363	0.0660506	0.0549058
a12	0.0532119	0.0628783	0.106916	0.137696	0.191302	0.172681	0.112029	0.0491259	0.0297209	0.0441184	0.0403192
a75	0.0309964	0.0425899	0.0921506	0.136662	0.195828	0.190947	0.138451	0.0565178	0.0320859	0.0441577	0.0396135
a21	0.0229669	0.0300898	0.073402	0.116049	0.18547	0.193543	0.144313	0.0695684	0.0458688	0.0479472	0.0707817
a12	0.0214371	0.0282483	0.0632653	0.0978077	0.140275	0.161738	0.156562	0.0876792	0.0488618	0.0734006	0.120725
a24	0.0149248	0.0189005	0.042151	0.0715389	0.133356	0.156567	0.150568	0.121047	0.0694709	0.0765697	0.144906
a47	0.0103108	0.0118692	0.0244501	0.0433103	0.110866	0.144634	0.11543	0.121008	0.0988104	0.104699	0.214612
a31	0.0156866	0.0172416	0.032669	0.059619	0.14333	0.133356	0.089929	0.0983734	0.120251	0.0989352	0.19061
a88	0.00575237	0.00631274	0.0114932	0.0185549	0.0493099	0.0893144	0.0701525	0.108932	0.178605	0.159152	0.302422
a47	0.00411927	0.004672	0.00782911	0.0125738	0.0391281	0.0823252	0.047171	0.0900449	0.218241	0.156426	0.337469
a88	0.00451539	0.00550736	0.010143	0.0162862	0.0447491	0.0848022	0.0547323	0.0999472	0.202294	0.185284	0.291739
a0	0.00241301	0.00233846	0.00391714	0.00647191	0.0182371	0.0424807	0.0265428	0.0784501	0.243326	0.163739	0.412084
a31	0.00501169	0.00555667	0.0107442	0.0186748	0.0397281	0.0445196	0.0291273	0.0942143	0.244763	0.138536	0.369125
a21	0.000993905	0.000949329	0.00181215	0.00342749	0.0107408	0.0241177	0.0161547	0.0760666	0.267434	0.141759	0.456544
a12	0.00556075	0.00438153	0.00648352	0.00954086	0.0211089	0.0264804	0.0216012	0.0767779	0.250828	0.103034	0.474203
a18	0.00347046	0.00291511	0.00408151	0.00561403	0.0118987	0.0181629	0.0128895	0.0490899	0.209378	0.121457	0.561043
a71	0.0019157	0.00183452	0.00265231	0.00358431	0.0071485	0.0157014	0.0129427	0.0595222	0.186646	0.148685	0.559368
a3	0.0324024	0.0256603	0.02688	0.0260283	0.0326805	0.0443038	0.0472056	0.101701	0.138127	0.151496	0.373515
a87	0.162469	0.0881199	0.0654947	0.0512457	0.0449245	0.0769061	0.0840415	0.10249	0.100533	0.0769864	0.14679
a23	0.170104	0.0935706	0.0685437	0.0560492	0.0605592	0.0872369	0.0786346	0.0916613	0.0804006	0.0663313	0.146908
a87	0.0743434	0.0508411	0.0305322	0.018466	0.0207059	0.0588714	0.0785425	0.10539	0.126251	0.106944	0.329113
a23	0.0214699	0.0128892	0.00825653	0.00629801	0.0102425	0.0372297	0.041516	0.0665319	0.0943822	0.164918	0.536266
a99	0.0244264	0.0184553	0.0120659	0.00879839	0.014907	0.0527469	0.0622648	0.0920343	0.115622	0.149251	0.449428
a97	0.0313661	0.0228603	0.0182896	0.0156335	0.0233857	0.0462053	0.0468788	0.0772436	0.108495	0.163837	0.445804
a30	0.0417138	0.0252941	0.0198901	0.0174202	0.0213704	0.0328451	0.0318132	0.0537837	0.0874441	0.17592	0.492505
</S>	0.0773049	0.0425193	0.0351465	0.0333764	0.0419763	0.0500823	0.0391362	0.055688	0.0787536	0.175945	0.370072
