 	pendant	la	saison	de	grandes	pluies	la	température	est	souvent	douce	</S>
a23	0.168882	0.0976013	0.0766034	0.113244	0.134309	0.122675	0.11835	0.0744543	0.034466	0.02172	0.0188145	0.0188809
a83	0.306195	0.118816	0.0732641	0.0420025	0.0443165	0.03157	0.0411644	0.080149	0.0796807	0.0677874	0.0575905	0.0574635
a54	0.296793	0.164533	0.0954695	0.0479016	0.035741	0.032957	0.043179	0.0514531	0.0437468	0.0445831	0.0544956	0.089147
a6	0.401538	0.240152	0.101309	0.0518223	0.0324815	0.0344558	0.0320405	0.0304574	0.0229972	0.0167227	0.0152658	0.0207583
a27	0.254291	0.240686	0.148089	0.09696	0.0644976	0.0491842	0.0365456	0.0240244	0.0178649	0.0152155	0.0207713	0.0318698
a11	0.186121	0.222817	0.166485	0.124648	0.0936306	0.0441463	0.0354358	0.0268326	0.0208127	0.0189149	0.0267112	0.0334448
a75	0.212083	0.215257	0.140576	0.094641	0.0698493	0.0399339	0.0397532	0.0397915	0.0325425	0.0263541	0.0378573	0.0513611
a25	0.156636	0.178773	0.16083	0.146252	0.124713	0.0761805	0.0481281	0.0240257	0.0156027	0.0141268	0.0220535	0.0326791
a56	0.108256	0.151714	0.177428	0.184877	0.146051	0.0828513	0.0456824	0.0215885	0.0148664	0.0150101	0.0219006	0.0297734
a75	0.0904098	0.128243	0.184266	0.204324	0.152987	0.0923184	0.0529685	0.0228081	0.0136024	0.0128906	0.0187712	0.0264118
a73	0.0723312	0.0829927	0.110087	0.159303	0.152931	0.124575	0.0831826	0.0417168	0.0280708	0.0300168	0.0472911	0.0675027
a37	0.0322106	0.0426823	0.0713739	0.157181	0.197596	0.160233	0.101159	0.0425371	0.0280978	0.0350579	0.0547664	0.0771048
a47	0.0483687	0.0539895	0.069085	0.138312	0.202018	0.151891	0.0957017	0.0366423	0.0236228	0.0304924	0.056234	0.0936427
a6	0.0588431	0.0581458	0.0619822	0.107559	0.1789	0.15632	0.108376	0.0414352	0.0270024	0.0364737	0.0656469	0.0993157
a43	0.0445587	0.0417825	0.0429825	0.0672237	0.141179	0.163912	0.124343	0.0506494	0.0371324	0.0536589	0.0951106	0.137467
a11	0.0360309	0.0355081	0.0392983	0.0768525	0.178618	0.176306	0.134509	0.0485583	0.0295258	0.0427898	0.078561	0.123443
a75	0.0295837	0.02922	0.0317322	0.064286	0.15641	0.159335	0.137739	0.0545599	0.0363386	0.0544353	0.0996363	0.146724
a85	0.0427221	0.0339531	0.0282562	0.0400556	0.0804886	0.107268	0.0940985	0.050808	0.0518251	0.0884774	0.160117	0.221931
a5	0.0432783	0.0349455	0.0269977	0.0369114	0.0687803	0.102892	0.0922619	0.0582016	0.0647862	0.103596	0.167962	0.199387
a31	0.0594408	0.0527934	0.0456549	0.0650077	0.104099	0.120778	0.0941279	0.0491808	0.0479828	0.0690672	0.131967	0.1599
a21	0.039619	0.034005	0.031028	0.0518205	0.103974	0.133459	0.121074	0.0593375	0.0538376	0.0794318	0.1437	0.148713
a85	0.0435321	0.038369	0.0339253	0.0522682	0.0919814	0.11111	0.101055	0.0565461	0.0602782	0.0965903	0.16104	0.153304
a41	0.046716	0.0317396	0.0221812	0.0299281	0.046983	0.0488336	0.0465982	0.0325594	0.0415854	0.0861579	0.200771	0.365947
a61	0.0326435	0.0235871	0.0185139	0.0272478	0.04901	0.05902	0.0538388	0.0346373	0.0458202	0.0955397	0.216554	0.343588
a66	0.0342434	0.0269585	0.024201	0.0309578	0.0533934	0.0712457	0.0676468	0.0433572	0.0531986	0.103495	0.203861	0.287441
a90	0.00839967	0.00613624	0.00605536	0.0111657	0.0268517	0.0414426	0.0449815	0.0353202	0.0496941	0.102852	0.244593	0.422507
a92	0.0124607	0.00865726	0.00780627	0.0132582	0.0307972	0.0453379	0.0487433	0.034483	0.043538	0.0948507	0.240343	0.419724
a61	0.008601	0.00559806	0.0050219	0.00879908	0.0213308	0.0329593	0.0366654	0.0300269	0.0435237	0.109612	0.254667	0.443195
a83	0.00365477	0.00250145	0.00250179	0.00485583	0.0119529	0.0172345	0.0188572	0.0187061	0.0304799	0.0824817	0.243543	0.563231
a18	0.00204279	0.00136999	0.00133459	0.00264654	0.00678944	0.0113138	0.0145466	0.0169996	0.0317977	0.0902548	0.252942	0.567962
a93	0.00976107	0.00509709	0.00400002	0.0047437	0.00873524	0.0111004	0.0163222	0.023653	0.0518435	0.137148	0.252849	0.474747
a66	0.000537013	0.000340552	0.000381825	0.000814194	0.0025154	0.00472348	0.00663495	0.00900254	0.0204936	0.0758151	0.230572	0.648169
a9	0.000625836	0.000385769	0.000421603	0.000718615	0.0018604	0.003217	0.0054183	0.00988368	0.0254662	0.0914535	0.249775	0.610774
a87	0.0111534	0.0059291	0.00462468	0.00429922	0.00622166	0.00838809	0.0125786	0.0203474	0.0549141	0.14873	0.261779	0.461035
a23	0.052664	0.0271137	0.0164269	0.0101516	0.0105104	0.013572	0.0158812	0.0322359	0.0920748	0.203446	0.235581	0.290342
a87	0.0144165	0.00848723	0.0064086	0.0054693	0.00604554	0.00965806	0.0100975	0.0200631	0.0632245	0.178666	0.273603	0.403861
a23	0.00420949	0.00307693	0.0032208	0.00439821	0.00502716	0.00892182	0.00910659	0.0163192	0.0545547	0.161587	0.280358	0.449221
a97	0.0107187	0.00730538	0.0062976	0.00680494	0.00742891	0.0125678	0.0120585	0.0185138	0.0543574	0.15752	0.265379	0.441048
a3	0.0260603	0.0172688	0.0152324	0.0120417	0.0088794	0.0124695	0.0124504	0.0167138	0.0450007	0.123657	0.209339	0.500888
</S>	0.10132	0.0671871	0.0479127	0.0236171	0.0179009	0.0191454	0.0208353	0.0298861	0.0612513	0.116937	0.166231	0.327776
