 	il	a	boudiné	le	fil	de	fer	</S>
a23	0.272507	0.205402	0.151947	0.132232	0.0876586	0.0592643	0.0501086	0.0408797
a85	0.376249	0.225393	0.210772	0.0987765	0.0425542	0.0208284	0.0128313	0.012596
a87	0.252689	0.203229	0.212022	0.124946	0.0591153	0.0411545	0.0433415	0.0635018
a23	0.295567	0.252444	0.219013	0.111394	0.0504251	0.0257263	0.0195515	0.0258805
a30	0.30042	0.250222	0.22305	0.0842209	0.0366828	0.0270211	0.028684	0.0496997
a20	0.189077	0.209946	0.237351	0.116199	0.0624322	0.0504612	0.0564831	0.0780496
a30	0.311909	0.2761	0.180689	0.0976816	0.0674667	0.0336021	0.0207276	0.0118243
a2	0.272428	0.274332	0.207871	0.126065	0.0728673	0.0260021	0.012968	0.0074665
a57	0.187837	0.181108	0.158348	0.144158	0.124036	0.0868467	0.0634776	0.0541886
a40	0.196563	0.179834	0.146821	0.151112	0.122315	0.0764141	0.0638501	0.0630907
a35	0.24474	0.177941	0.127437	0.141855	0.136969	0.0712983	0.0538964	0.0458638
a26	0.261943	0.206106	0.167827	0.144072	0.0943004	0.0577438	0.0385271	0.0294818
a10	0.198449	0.185278	0.17955	0.177858	0.106196	0.0704053	0.0499464	0.0323181
a26	0.149876	0.167465	0.167133	0.20641	0.132115	0.0794549	0.0583895	0.0391563
a96	0.163906	0.169523	0.147238	0.190966	0.130741	0.0859947	0.0647215	0.0469103
a26	0.112988	0.125468	0.140221	0.177016	0.136028	0.115707	0.100817	0.0917547
a47	0.0772181	0.0769694	0.0729013	0.114091	0.130917	0.148139	0.169388	0.210376
a26	0.0629825	0.0587054	0.0569602	0.092698	0.124872	0.160094	0.197497	0.246191
a75	0.0355276	0.0330814	0.0353279	0.0642528	0.11038	0.189638	0.255635	0.276157
a61	0.0109285	0.0136509	0.0248099	0.0528018	0.100431	0.175633	0.249215	0.37253
a96	0.00780159	0.00957977	0.018377	0.0385866	0.0849399	0.172833	0.25703	0.410852
a66	0.00736659	0.00738389	0.0140589	0.0278477	0.0577851	0.140322	0.253322	0.491914
a75	0.00623326	0.00487151	0.00901679	0.0163759	0.0354669	0.117814	0.255891	0.554331
a30	0.00374142	0.00422448	0.00727771	0.0150787	0.0374212	0.108623	0.237178	0.586455
a26	0.00756983	0.00658358	0.0107142	0.0211291	0.0441614	0.131244	0.245185	0.533413
a57	0.00505098	0.00362115	0.00488162	0.0075246	0.0192514	0.0977587	0.257234	0.604677
a87	0.0524368	0.0452929	0.0449267	0.0441876	0.043177	0.0797066	0.163061	0.527212
</S>	0.0221209	0.0204597	0.02412	0.0373183	0.0581311	0.113244	0.207583	0.517023
