 	on	fabrique	les	nasses	à	l'	aide	de	l'	écorce	du	bambou	</S>
a66	0.211245	0.175478	0.0852309	0.076262	0.0953079	0.0938301	0.0657268	0.0515414	0.0458596	0.0420474	0.0240984	0.0167355	0.0166373
a87	0.168928	0.155058	0.067927	0.0716864	0.100734	0.118767	0.0854788	0.0563133	0.0488866	0.0487064	0.0295175	0.0230169	0.0249805
a23	0.35056	0.202465	0.100639	0.0654054	0.0601501	0.0546742	0.0348443	0.0244782	0.0227639	0.0225822	0.0172871	0.0192376	0.0249135
a54	0.290431	0.165121	0.100456	0.0648858	0.0570807	0.0535584	0.0345557	0.0308589	0.0315997	0.0325506	0.0350846	0.0429335	0.0608841
a47	0.241395	0.194636	0.130843	0.084072	0.0781867	0.0725819	0.049891	0.0336827	0.027893	0.0225977	0.0200606	0.0205385	0.0236225
a36	0.0788627	0.101998	0.134693	0.144152	0.141205	0.136184	0.0988937	0.0441296	0.0307453	0.0202151	0.0189185	0.0197978	0.0302057
a56	0.0563932	0.0624204	0.108266	0.114048	0.111208	0.11904	0.114727	0.080642	0.065833	0.0450605	0.0397319	0.0355062	0.0471235
a37	0.0740894	0.0813142	0.148672	0.135728	0.117508	0.109093	0.0934055	0.0651174	0.0485833	0.0330313	0.0277735	0.0264778	0.0392071
a61	0.0598231	0.0604253	0.106414	0.102807	0.0983579	0.105885	0.111619	0.0977906	0.0766263	0.0553569	0.0407488	0.0367748	0.0473715
a62	0.0608121	0.0595831	0.101258	0.0964161	0.094651	0.107287	0.123686	0.102377	0.0760855	0.0551852	0.0398019	0.0360286	0.0468289
a88	0.0614904	0.0445303	0.0660599	0.0701085	0.0791052	0.100611	0.137349	0.137831	0.104416	0.0744915	0.0441866	0.0365842	0.0432365
a93	0.0298106	0.0173645	0.0298394	0.0393345	0.0533355	0.0755337	0.120611	0.152487	0.143559	0.129178	0.0840508	0.0579994	0.066897
a56	0.0356324	0.0210207	0.031159	0.0386898	0.0495658	0.0708091	0.114464	0.159678	0.156457	0.133606	0.078782	0.0515379	0.058599
a34	0.0212145	0.0117522	0.0170635	0.0218175	0.0256053	0.0374864	0.0764092	0.145258	0.178327	0.170921	0.122972	0.0810719	0.0901005
a96	0.00921483	0.00475599	0.00673517	0.00872295	0.0104288	0.0168782	0.0436188	0.115258	0.180634	0.201415	0.172291	0.111458	0.118589
a34	0.00542458	0.00248661	0.00336212	0.00396106	0.00439094	0.00726964	0.0213006	0.0721557	0.144342	0.186538	0.213009	0.162825	0.172935
a75	0.00234757	0.000933708	0.00129259	0.00145702	0.00152583	0.00258391	0.008721	0.0353635	0.0867641	0.140061	0.22496	0.233816	0.260174
a92	0.000692257	0.000273287	0.000384137	0.000515685	0.00071277	0.00120616	0.00393945	0.0145437	0.0428803	0.0943475	0.241938	0.283106	0.315461
a94	0.000576409	0.000214239	0.000308608	0.00038289	0.000447464	0.000751514	0.00265144	0.0102109	0.0276815	0.056166	0.189483	0.311315	0.399811
a98	0.000689305	0.000216961	0.000341788	0.000462177	0.000507994	0.00085793	0.00270246	0.00827307	0.0177918	0.0293669	0.112517	0.302363	0.523909
a47	0.000320495	0.000130131	0.000202853	0.000254431	0.000303733	0.000591631	0.00240836	0.00790526	0.0171297	0.0273584	0.106372	0.307351	0.529673
a36	0.00132381	0.000714258	0.000806115	0.000959765	0.00113176	0.00202885	0.00543032	0.0152355	0.0264776	0.0354577	0.0847631	0.256313	0.569358
a26	0.0296086	0.0176705	0.0155858	0.019696	0.0219197	0.0244232	0.0302292	0.045423	0.056164	0.0687511	0.102483	0.210175	0.357871
a57	0.112287	0.0758164	0.0545153	0.0652979	0.0541109	0.0466801	0.0443621	0.0498226	0.0521653	0.0553658	0.0716685	0.131567	0.186341
a87	0.20662	0.152477	0.088116	0.0763991	0.0655657	0.0622281	0.0436329	0.0299617	0.0280606	0.03122	0.0408653	0.0743911	0.100463
a10	0.140836	0.11287	0.0734268	0.0621013	0.0564853	0.0612582	0.0568024	0.0396205	0.038538	0.042164	0.0666066	0.0989648	0.150326
a87	0.0806201	0.0570726	0.0432948	0.0363489	0.0347316	0.0418321	0.046786	0.0448529	0.0550971	0.0683417	0.114716	0.148799	0.227508
a23	0.0590115	0.0447495	0.0361701	0.0310415	0.0320287	0.0389204	0.042435	0.0439469	0.0591943	0.0740681	0.122392	0.164623	0.251419
a97	0.0166223	0.0114124	0.00934776	0.0087089	0.00759156	0.00786179	0.00992983	0.0160268	0.0312132	0.0552701	0.140773	0.246873	0.43837
</S>	0.0216456	0.0112611	0.00934116	0.00775795	0.00739971	0.00928158	0.0142986	0.0236663	0.0376882	0.0533961	0.115292	0.210182	0.47879
