 	le	sel	donne	du	goût	à	la	nourriture	</S>
a66	0.301656	0.268953	0.214396	0.122982	0.0393384	0.0174607	0.0121761	0.0120188	0.0110199
a87	0.476643	0.241457	0.077073	0.0458647	0.0324233	0.0437531	0.0326378	0.0280408	0.0221081
a23	0.442573	0.327352	0.123543	0.0359648	0.0112452	0.0143922	0.013386	0.0164397	0.0151041
a79	0.364367	0.239302	0.138569	0.0483229	0.0238945	0.0207425	0.0234434	0.0521721	0.0891869
a58	0.260325	0.110368	0.0714125	0.0555451	0.0639943	0.0903753	0.0858544	0.100117	0.162008
a15	0.179338	0.137924	0.121233	0.114055	0.0996923	0.101764	0.0842623	0.0745283	0.087204
a7	0.0744057	0.0888762	0.120149	0.145209	0.237041	0.196937	0.0796181	0.0326853	0.0250792
a69	0.0370393	0.0515069	0.0935017	0.12677	0.275315	0.248153	0.0971723	0.039093	0.0314487
a15	0.0362197	0.0507417	0.101747	0.13909	0.256942	0.202541	0.109582	0.0563869	0.0467495
a7	0.0456647	0.0632108	0.124536	0.160249	0.27504	0.163438	0.0848603	0.0453767	0.0376237
a44	0.0263654	0.0438179	0.0784936	0.100386	0.181221	0.16567	0.150405	0.122278	0.131364
a4	0.0274139	0.0447519	0.0752175	0.101952	0.149941	0.130001	0.159616	0.15162	0.159488
a13	0.0150264	0.0216936	0.0353179	0.0590392	0.120255	0.127266	0.200702	0.214986	0.205714
a53	0.00404658	0.00535602	0.00795681	0.0132289	0.0411032	0.0644505	0.162471	0.303448	0.397939
a54	0.00527251	0.00672453	0.00985866	0.0176367	0.046336	0.0732902	0.160644	0.297144	0.383094
a79	0.00346037	0.0046739	0.00756	0.0138402	0.0478645	0.0738437	0.146777	0.281494	0.420486
a5	0.00175227	0.00285437	0.00432564	0.00695316	0.0213806	0.0351759	0.106772	0.285631	0.535155
a36	0.000835604	0.0015308	0.00220372	0.00363773	0.0111228	0.0226597	0.0841209	0.271144	0.602745
a2	0.000716697	0.00122143	0.00184865	0.00338708	0.0132102	0.0186703	0.0642887	0.239161	0.657496
a57	0.0203669	0.0151519	0.0155427	0.0190353	0.0390214	0.0479691	0.108965	0.236278	0.49767
a87	0.276775	0.196819	0.116269	0.0609996	0.045023	0.038694	0.0570245	0.0932413	0.115155
a23	0.294553	0.252811	0.167288	0.0787629	0.04754	0.0343363	0.0366759	0.0438579	0.0441747
a87	0.178594	0.148837	0.140079	0.095908	0.107313	0.0707245	0.0857843	0.0920901	0.0806696
</S>	0.0279375	0.0382564	0.0567406	0.0516127	0.0978439	0.092766	0.134929	0.211923	0.287992
