 	mbembe	ikoo	de	tsongo	avait	le	pouvoir	mystique	de	neutraliser	un	fétiche	</S>
a87	0.0649678	0.0503382	0.0507359	0.0855275	0.100471	0.142609	0.127351	0.208874	0.080736	0.0320518	0.0269235	0.0153865	0.0140278
a23	0.163001	0.116948	0.0837936	0.055401	0.0512947	0.0652312	0.0729888	0.116447	0.0801976	0.0438744	0.073932	0.0370714	0.039819
a87	0.145656	0.152265	0.106698	0.0532667	0.0512182	0.0613394	0.0906693	0.10048	0.0533873	0.0361736	0.0511325	0.042849	0.0548649
a23	0.178812	0.118017	0.083959	0.0611295	0.0556442	0.0652006	0.0920087	0.0948608	0.0573485	0.0352891	0.0429025	0.0512523	0.0635757
a18	0.177416	0.126267	0.0745679	0.054358	0.049924	0.061352	0.074702	0.0879713	0.0528861	0.0398659	0.061253	0.0651826	0.0742533
a61	0.205658	0.116874	0.0760841	0.064792	0.0559785	0.0456871	0.0338927	0.0372753	0.0358803	0.0407133	0.0695082	0.0989604	0.118696
a12	0.457133	0.148584	0.102738	0.0656277	0.0529239	0.0397282	0.032152	0.0266767	0.0177499	0.0125301	0.0123843	0.0152061	0.0165663
a83	0.49035	0.146543	0.0922839	0.0588939	0.0504901	0.0423858	0.0415954	0.0308598	0.0145839	0.00718888	0.00673386	0.00855692	0.00953505
a61	0.306003	0.152617	0.115957	0.092779	0.0739284	0.0592396	0.0605859	0.0462637	0.0268495	0.0161733	0.0158648	0.017144	0.0165945
a9	0.177391	0.142575	0.127354	0.110629	0.101808	0.0793026	0.090853	0.0590889	0.0311711	0.0214525	0.0193165	0.0194125	0.0196462
a53	0.0774105	0.114609	0.108699	0.0901604	0.0753035	0.0587701	0.0575001	0.0509916	0.0488113	0.0594329	0.0687271	0.0921799	0.0974047
a76	0.0821136	0.134783	0.132799	0.117026	0.113254	0.0834376	0.0906951	0.0649047	0.0384714	0.0344789	0.0278912	0.0347827	0.045363
a92	0.0563977	0.129413	0.137912	0.121312	0.141559	0.107193	0.0998557	0.0588969	0.0331063	0.0307296	0.0252224	0.0260494	0.0323527
a85	0.0463265	0.12488	0.140179	0.136663	0.147661	0.100757	0.0847559	0.0558342	0.0341779	0.0339688	0.0299357	0.0306541	0.0342067
a26	0.0441745	0.0999104	0.126948	0.135514	0.145394	0.098104	0.088902	0.0520725	0.0300275	0.0302842	0.0360971	0.053215	0.059357
a10	0.0267453	0.0575062	0.0614366	0.0603101	0.06261	0.0533286	0.0413384	0.0859466	0.104694	0.134894	0.0861194	0.0999326	0.125138
a90	0.0177561	0.038731	0.0427756	0.0401852	0.0445908	0.0398155	0.0365875	0.0714041	0.101618	0.163119	0.11403	0.131627	0.15776
