 	il	a	fait	bouillir	de	l'	eau	</S>
a23	0.399553	0.23254	0.108703	0.0588833	0.0484024	0.0427772	0.0502083	0.0589325
a85	0.372594	0.22207	0.116271	0.0882196	0.0645573	0.0495416	0.0385896	0.0481568
a87	0.331416	0.216066	0.108853	0.0745639	0.060297	0.0561216	0.0576051	0.0950769
a23	0.417353	0.262938	0.131888	0.0693479	0.0373283	0.0252488	0.0235055	0.0323902
a40	0.338955	0.254171	0.149271	0.0859769	0.0559185	0.0395737	0.035491	0.0406436
a30	0.352774	0.287948	0.171332	0.090367	0.0434513	0.0231332	0.0165	0.0144949
a35	0.227482	0.243565	0.233073	0.167446	0.0784408	0.0275888	0.0127674	0.00963757
a32	0.208726	0.22004	0.226137	0.176525	0.0967482	0.039769	0.0181394	0.0139153
a25	0.206382	0.214598	0.221466	0.173298	0.0994167	0.0454472	0.0217793	0.0176128
a38	0.147963	0.14577	0.176747	0.19677	0.15999	0.0908286	0.0459015	0.036029
a25	0.127689	0.122338	0.156332	0.188628	0.179801	0.119367	0.059547	0.0462991
a94	0.100972	0.101973	0.135792	0.162406	0.183326	0.151217	0.0919027	0.0724115
a75	0.0982613	0.107562	0.143389	0.158013	0.156993	0.145423	0.104881	0.0854778
a43	0.0705144	0.0628098	0.087511	0.115729	0.154482	0.177212	0.17862	0.153122
a75	0.0314167	0.0273347	0.0347031	0.0517186	0.0951474	0.169503	0.275292	0.314884
a41	0.0299107	0.0218797	0.0247473	0.0355183	0.0782006	0.164469	0.309073	0.336201
a27	0.0246394	0.0186852	0.0215669	0.0322354	0.0777755	0.181032	0.325793	0.318272
a26	0.0121488	0.0088843	0.0121697	0.0195049	0.0411872	0.107856	0.285498	0.512751
a76	0.00443988	0.00293356	0.00392471	0.00753028	0.0205104	0.0676111	0.259386	0.633664
a94	0.0125963	0.00862624	0.0104886	0.01619	0.0411701	0.119405	0.308643	0.482881
a90	0.00485054	0.00391781	0.00594047	0.0108411	0.0241184	0.07344	0.275309	0.601582
a4	0.0115629	0.00911403	0.0115732	0.0171601	0.0318966	0.079938	0.268206	0.57055
a58	0.0111279	0.00804633	0.00827788	0.0124142	0.0268882	0.0737518	0.242167	0.617326
a82	0.00572432	0.00338891	0.00312679	0.00682427	0.0247459	0.0860338	0.231704	0.638452
a87	0.00434621	0.00256306	0.0024156	0.00646871	0.0282871	0.0970461	0.210432	0.648442
</S>	0.0165954	0.0100821	0.008051	0.0118902	0.0341235	0.109845	0.239319	0.570094
