 	nous	avons	traversé	le	fleuve	par	pirogue	</S>
a66	0.386203	0.152206	0.0879086	0.104718	0.094504	0.0840936	0.0511246	0.039242
a87	0.149838	0.159502	0.184343	0.168203	0.135398	0.0898548	0.0579025	0.0549584
a97	0.366036	0.20982	0.1244	0.0775669	0.0612265	0.0534803	0.0539884	0.0534828
a23	0.402111	0.259539	0.131032	0.0653843	0.038391	0.0309126	0.0321566	0.0404745
a24	0.394753	0.269551	0.129083	0.0616649	0.0407802	0.0354197	0.0329038	0.0358444
a0	0.393034	0.240448	0.109273	0.0670764	0.0422867	0.0447245	0.0460425	0.057114
a62	0.408076	0.249766	0.122596	0.0793159	0.0482008	0.0365964	0.0279557	0.0274928
a47	0.339857	0.313146	0.161294	0.0818998	0.0465335	0.0239818	0.0170027	0.0162855
a62	0.254768	0.276933	0.184032	0.102174	0.0660494	0.0430104	0.0365386	0.0364941
a88	0.225286	0.271031	0.208686	0.11948	0.0751849	0.0387204	0.0302017	0.0314105
a62	0.149391	0.18181	0.190127	0.150162	0.125662	0.0780647	0.0614807	0.0633026
a47	0.108316	0.12791	0.178952	0.182817	0.165738	0.103302	0.069573	0.0633925
a62	0.0713072	0.0801507	0.133731	0.176535	0.18968	0.144523	0.104205	0.0998683
a21	0.0389126	0.0326901	0.0671153	0.127594	0.189095	0.21399	0.184803	0.145799
a92	0.0185133	0.0174109	0.0432899	0.0978254	0.174697	0.247435	0.228548	0.17228
a56	0.00560059	0.00590859	0.0184035	0.0559502	0.129226	0.249569	0.281966	0.253377
a44	0.00493946	0.00472376	0.0124569	0.0386678	0.0941365	0.21851	0.318225	0.308341
a98	0.00327122	0.00256028	0.00581409	0.0182624	0.0470676	0.153312	0.329827	0.439885
a85	0.000916103	0.000724439	0.0023124	0.0095145	0.0284871	0.131594	0.348912	0.477539
a5	0.000311494	0.000277833	0.00101978	0.00428358	0.016099	0.0971384	0.333148	0.547722
a37	0.000688833	0.000590754	0.00187384	0.0053778	0.0161573	0.0843711	0.313581	0.57736
a26	0.00124552	0.00146721	0.00372865	0.00770205	0.0167426	0.0631366	0.258336	0.647641
a82	0.028321	0.028491	0.0415455	0.0555318	0.0787906	0.116591	0.204728	0.446002
a3	0.122567	0.067383	0.0801507	0.081278	0.094126	0.115446	0.155296	0.283754
a97	0.242575	0.130093	0.119278	0.0915139	0.078544	0.0772418	0.103318	0.157436
a99	0.21569	0.128733	0.126028	0.106939	0.0968066	0.103369	0.111924	0.11051
a97	0.0902067	0.0588232	0.0662041	0.0731017	0.0900638	0.135044	0.214768	0.271788
</S>	0.056292	0.0387	0.0510655	0.0626284	0.0824489	0.132803	0.235299	0.340763
