 	qui	est	ce	qui	fait	pleurer	mon	fils	</S>
a66	0.292056	0.213881	0.12178	0.0923371	0.0863921	0.0798173	0.0540382	0.0341778	0.0255204
a87	0.296047	0.1726	0.120716	0.113511	0.113586	0.102806	0.0384676	0.0238676	0.0183985
a97	0.314173	0.213199	0.140672	0.119614	0.0739219	0.0587475	0.0317817	0.0243059	0.0235855
a30	0.28836	0.210498	0.145736	0.138101	0.0919888	0.0569464	0.0254815	0.0205536	0.0223349
a93	0.328854	0.220487	0.134846	0.132128	0.0778786	0.0437938	0.0227019	0.0188954	0.0204153
a34	0.417162	0.274635	0.141835	0.088878	0.0343979	0.0159896	0.00857979	0.00838901	0.0101332
a21	0.237298	0.238517	0.196035	0.164803	0.0856281	0.0388017	0.0151809	0.0115999	0.0121364
a47	0.150689	0.175317	0.192606	0.231885	0.145991	0.0586443	0.0181176	0.013444	0.0133063
a43	0.132509	0.144035	0.158465	0.208867	0.180562	0.0950644	0.0323999	0.0234822	0.0246165
a62	0.0927999	0.116341	0.153796	0.209394	0.187423	0.107928	0.0486924	0.0389373	0.0446891
a61	0.0848957	0.104999	0.137999	0.207024	0.219823	0.126641	0.0490818	0.0342842	0.0352519
a75	0.0523054	0.0685242	0.104325	0.181426	0.221208	0.159886	0.0852915	0.062408	0.0646261
a47	0.0238723	0.0316325	0.0520822	0.102206	0.176074	0.186787	0.154091	0.141152	0.132103
a98	0.0158966	0.0163411	0.0226805	0.0445852	0.104586	0.163936	0.188233	0.200582	0.24316
a92	0.0117623	0.0105407	0.0134758	0.0225758	0.0493045	0.0963589	0.188394	0.253718	0.353871
a85	0.00569383	0.00520135	0.00714441	0.0142358	0.0367272	0.0933532	0.234681	0.279259	0.323705
a92	0.00180698	0.00156692	0.00242802	0.00524052	0.0159376	0.0546488	0.203679	0.308293	0.4064
a93	0.00165332	0.00136634	0.00197967	0.00406254	0.0113843	0.0449645	0.196348	0.325515	0.412726
a56	0.00195801	0.00131726	0.00166359	0.00222058	0.00475164	0.0177371	0.131482	0.304846	0.534024
a96	0.000920296	0.000662921	0.000929354	0.00143362	0.00406927	0.018204	0.122982	0.311014	0.539785
a75	0.000896201	0.000763083	0.00125985	0.00204016	0.00594213	0.0253115	0.118969	0.29079	0.554028
a36	0.000248309	0.000190849	0.000301392	0.000564518	0.00212374	0.0117567	0.0782125	0.276524	0.630078
a27	0.00202092	0.00152308	0.00218979	0.00230703	0.00522999	0.021197	0.101949	0.280575	0.583009
a82	0.0370952	0.0262516	0.0290353	0.0240408	0.0350495	0.0603963	0.127258	0.216727	0.444146
a3	0.182961	0.0884655	0.0561807	0.0393286	0.0396088	0.0654618	0.116327	0.150126	0.261541
a97	0.242092	0.146496	0.0974142	0.0741747	0.0586441	0.067622	0.0895882	0.10021	0.123759
</S>	0.16825	0.110336	0.0841134	0.0723429	0.0628148	0.0785422	0.143621	0.142522	0.137457
