 	les	habits	de	cet	enfant	sont	infestés	des	poux	</S>
a66	0.115592	0.148792	0.20243	0.202904	0.152485	0.108432	0.0425599	0.0157136	0.00771302	0.00337772
a87	0.34218	0.204425	0.135845	0.11112	0.0832449	0.0758985	0.0260497	0.00812405	0.00769633	0.00541695
a23	0.404245	0.20726	0.112856	0.106779	0.0670717	0.0538448	0.0280705	0.00998852	0.00578925	0.00409607
a83	0.391023	0.20008	0.0956386	0.0850653	0.0492124	0.0475457	0.0321972	0.0219151	0.0228553	0.0544678
a9	0.200848	0.193773	0.0989181	0.0887022	0.0907881	0.0858175	0.0862614	0.058502	0.0402367	0.0561531
a75	0.225993	0.185454	0.126163	0.112337	0.100579	0.101655	0.0939825	0.0239915	0.0171319	0.0127124
a85	0.187346	0.147507	0.0843248	0.0730234	0.0929162	0.10477	0.162642	0.0692485	0.0490189	0.0292036
a6	0.0797654	0.0919692	0.0572204	0.0479679	0.0722365	0.0953644	0.193003	0.156547	0.141012	0.0649151
a85	0.103122	0.0890397	0.0636789	0.0583662	0.0599325	0.0613841	0.155826	0.160938	0.179505	0.0682079
a92	0.0801876	0.0822298	0.0581471	0.05162	0.0649528	0.0736004	0.134348	0.16085	0.203317	0.0907474
a34	0.107227	0.115992	0.0972093	0.0952203	0.0928741	0.0823209	0.0947568	0.112324	0.139785	0.0622907
a12	0.0511929	0.114403	0.155775	0.176297	0.176706	0.126225	0.0689175	0.0519866	0.0482349	0.030262
a96	0.0258935	0.0739547	0.12498	0.144301	0.180585	0.152213	0.081814	0.0734414	0.0804795	0.0623377
a34	0.0203406	0.0423537	0.090861	0.120583	0.15929	0.162619	0.0852296	0.0933737	0.114448	0.110901
a75	0.0182884	0.0349601	0.0771829	0.108996	0.158396	0.162203	0.0873467	0.101255	0.130096	0.121277
a85	0.00344458	0.0075855	0.0170586	0.0267744	0.045664	0.0622265	0.0748637	0.165808	0.267527	0.329048
a47	0.00144682	0.00290263	0.00737664	0.0126834	0.0216712	0.0311179	0.0441482	0.141674	0.292118	0.444861
a37	0.00287142	0.00335683	0.00823417	0.0146585	0.0210425	0.0224778	0.0286062	0.141837	0.260096	0.496819
a47	0.00398934	0.00323752	0.0077665	0.0123143	0.0127762	0.0105609	0.0161062	0.100781	0.20171	0.630758
a6	0.00955479	0.00567591	0.0102353	0.0151998	0.0152336	0.0152139	0.0388931	0.144197	0.211817	0.53398
a36	0.00350783	0.00252468	0.00452104	0.00584073	0.00829433	0.0118313	0.0377277	0.135591	0.226268	0.563894
a2	0.0114532	0.0057372	0.00962747	0.0127479	0.0130396	0.0183979	0.047243	0.167021	0.254134	0.4606
a57	0.0745498	0.039573	0.0561313	0.0675707	0.06085	0.0603414	0.0590418	0.114668	0.179276	0.287997
a87	0.135294	0.0923076	0.125435	0.162766	0.160443	0.124578	0.045342	0.0381659	0.0479949	0.0676745
a23	0.195358	0.111199	0.134171	0.156134	0.144889	0.122768	0.0575873	0.0298215	0.0273009	0.020772
a87	0.134503	0.0751786	0.0874321	0.10789	0.105265	0.109344	0.0634769	0.0625346	0.102144	0.152233
</S>	0.0362975	0.0166151	0.0176834	0.0233359	0.0294226	0.0421212	0.0396057	0.0790891	0.222541	0.493289
