 	apporte-moi	un	peu	de	vin	</S>
a66	0.413516	0.18106	0.133797	0.124791	0.0891811	0.0576553
a87	0.495733	0.238307	0.13861	0.0680621	0.0358012	0.023486
a23	0.509888	0.197946	0.105205	0.0692871	0.0597975	0.0578772
a62	0.452754	0.202604	0.110134	0.061765	0.0708217	0.101922
a5	0.469273	0.240949	0.0955949	0.0567521	0.0595414	0.0778896
a6	0.387735	0.321926	0.161947	0.0625609	0.0382379	0.0275934
a5	0.293414	0.246712	0.188438	0.133384	0.0838707	0.0541815
a23	0.165082	0.149246	0.195261	0.179131	0.179202	0.132077
a21	0.102489	0.150926	0.201035	0.166094	0.191977	0.187478
a12	0.118946	0.162832	0.188639	0.146225	0.185408	0.197951
a31	0.0520186	0.0928717	0.166557	0.18701	0.231038	0.270505
a47	0.022208	0.0334697	0.0794111	0.18015	0.313832	0.37093
a56	0.0256991	0.0395343	0.0777302	0.181048	0.312413	0.363575
a94	0.00378934	0.00661389	0.0251152	0.1155	0.328069	0.520913
a66	0.00191662	0.00289095	0.00938506	0.0523467	0.235246	0.698214
a3	0.00677281	0.00772733	0.0151075	0.0698119	0.238256	0.662324
a87	0.148754	0.107966	0.0977663	0.130686	0.187516	0.327312
a23	0.346053	0.235541	0.149867	0.103078	0.0798719	0.0855892
a99	0.159316	0.0914359	0.0728757	0.106966	0.20126	0.368146
a97	0.0417324	0.0340584	0.0549806	0.125937	0.278184	0.465107
</S>	0.0128144	0.0120286	0.023391	0.0767944	0.262771	0.6122
