 	l'	enfant	s'	est	fermément	saisi	sa	mère	</S>
a15	0.47602	0.247856	0.109223	0.0574327	0.0366786	0.0191763	0.0155466	0.018239	0.0198284
a66	0.520619	0.19235	0.0738522	0.0480353	0.0285485	0.0378386	0.0327629	0.0315186	0.0344751
a87	0.454819	0.190873	0.080243	0.0512751	0.0317334	0.0394496	0.0354845	0.0452084	0.0709143
a23	0.488836	0.224756	0.0971612	0.0560494	0.0328607	0.0275439	0.0249869	0.0221837	0.0256225
a38	0.370902	0.128123	0.0748734	0.0590762	0.0402979	0.0619621	0.064848	0.0851433	0.114774
a20	0.218635	0.124035	0.106952	0.0920538	0.0907005	0.0679503	0.0594591	0.105211	0.135003
a6	0.178125	0.149914	0.159183	0.147411	0.141433	0.0851591	0.0448356	0.043495	0.0504438
a36	0.0933328	0.10745	0.197521	0.218838	0.198901	0.101525	0.0275159	0.0246291	0.0302863
a6	0.075077	0.0855239	0.201175	0.241289	0.201426	0.104591	0.0308439	0.0260732	0.034001
a36	0.0541691	0.0792105	0.188529	0.235782	0.21495	0.102332	0.041756	0.0376908	0.0455803
a24	0.0713899	0.0895452	0.160752	0.191819	0.16431	0.101543	0.0664666	0.0659274	0.088247
a31	0.0254306	0.0367516	0.0662801	0.118552	0.129955	0.123191	0.162157	0.147446	0.190236
a18	0.0277591	0.0356124	0.0508059	0.0776096	0.0712236	0.0861864	0.190759	0.212126	0.247919
a96	0.0198313	0.0205719	0.0224019	0.0254108	0.01813	0.0266878	0.158684	0.31722	0.391062
a90	0.015501	0.0154665	0.0174932	0.0228266	0.0217295	0.0341157	0.15263	0.312471	0.407767
a93	0.0075753	0.00778348	0.00876663	0.0138517	0.0163159	0.0293165	0.157478	0.327372	0.431541
a96	0.00477678	0.00480954	0.00546555	0.00805096	0.00800195	0.0158876	0.103648	0.294751	0.554609
a66	0.000961047	0.00104327	0.00145942	0.00239814	0.00320045	0.00773521	0.0741103	0.278506	0.630586
a38	0.00688306	0.00570274	0.00661511	0.00941792	0.00958891	0.018418	0.113418	0.28302	0.546936
a21	0.020583	0.0163514	0.0180292	0.0247151	0.0314817	0.0467903	0.134841	0.264046	0.443163
a12	0.00102889	0.00104285	0.00148112	0.00246165	0.00381667	0.0106131	0.099245	0.285213	0.595098
a18	0.000931598	0.00105554	0.00149957	0.00245395	0.00414936	0.00979182	0.0836586	0.276456	0.620003
a25	0.0163174	0.01807	0.0202697	0.0272442	0.0263343	0.0460996	0.180347	0.28055	0.384767
a87	0.214442	0.133013	0.0902903	0.0845628	0.0660492	0.0629181	0.0878379	0.102476	0.15841
a23	0.415534	0.27696	0.124888	0.0690578	0.0342684	0.0214496	0.019713	0.0185765	0.0195529
a87	0.220594	0.159544	0.0930696	0.0734587	0.0397928	0.0377267	0.0681261	0.115203	0.192485
</S>	0.0340653	0.0294333	0.0238792	0.0298094	0.0225032	0.0381262	0.102881	0.234971	0.484331
