 	j'	enfonce	une	pointe	dans	la	planche	</S>
a66	0.264818	0.211128	0.196667	0.155188	0.0966417	0.049306	0.0141717	0.0120794
a87	0.266391	0.163675	0.104607	0.122378	0.166089	0.117087	0.0429837	0.016789
a23	0.386461	0.239321	0.118848	0.0737325	0.0465467	0.0529	0.0492609	0.0329296
a87	0.361538	0.271712	0.158255	0.100581	0.0438469	0.0257123	0.0134296	0.0249243
a23	0.324444	0.244455	0.166075	0.118775	0.0706637	0.0384648	0.0176367	0.0194853
a99	0.287045	0.262357	0.194691	0.111333	0.0570343	0.0365579	0.0220264	0.0289555
a83	0.275437	0.241478	0.237609	0.120323	0.0598119	0.0324671	0.0184075	0.0144663
a36	0.193878	0.193605	0.2679	0.181409	0.0975573	0.0381639	0.0160714	0.0114159
a5	0.125167	0.148729	0.233881	0.213888	0.158318	0.082335	0.0225601	0.0151219
a62	0.0469225	0.0657531	0.192519	0.277498	0.20397	0.121133	0.045122	0.0470813
a88	0.0361983	0.0507398	0.161411	0.279556	0.235769	0.164981	0.0381442	0.0332009
a9	0.0345463	0.0415961	0.135189	0.253381	0.261465	0.201761	0.0430121	0.0290499
a75	0.0337193	0.042562	0.110966	0.17562	0.189654	0.263301	0.131453	0.0527258
a21	0.0105457	0.0083987	0.0319909	0.11721	0.256029	0.354507	0.121915	0.0994045
a12	0.0229965	0.0233813	0.0581709	0.134892	0.201929	0.279365	0.169294	0.109971
a31	0.0110176	0.00954938	0.0200319	0.0784936	0.166374	0.306535	0.217168	0.19083
a21	0.00727618	0.00512615	0.00907837	0.0421954	0.107493	0.256208	0.286943	0.28568
a12	0.0119436	0.00863694	0.00939885	0.0251885	0.0563101	0.153404	0.333683	0.401435
a31	0.00390638	0.00260901	0.00261166	0.00655539	0.0207102	0.0908398	0.349953	0.522815
a24	0.000622984	0.000391287	0.00044538	0.00159247	0.00739707	0.0469931	0.245605	0.696953
a88	0.00103041	0.00071893	0.000813881	0.00268463	0.0117341	0.0715964	0.270118	0.641303
a75	0.00119235	0.000768723	0.000957782	0.00320898	0.0120121	0.0635634	0.238914	0.679383
a5	0.000455719	0.000245938	0.00031522	0.00100129	0.00437738	0.0266707	0.130312	0.836622
a43	0.00045214	0.000238559	0.000243542	0.0005907	0.00202157	0.0129796	0.0982616	0.885212
a27	0.000630846	0.000216453	0.000189265	0.000685477	0.0041334	0.0258142	0.0914982	0.876832
a10	0.0187156	0.0105824	0.0148906	0.0258157	0.0502441	0.105121	0.165075	0.609556
a87	0.370341	0.142438	0.0778897	0.052502	0.0512438	0.0558259	0.0757898	0.17397
a23	0.342127	0.150792	0.0672503	0.0542837	0.0668951	0.0634696	0.09158	0.163602
a87	0.088555	0.0347278	0.0145272	0.011704	0.023649	0.0441203	0.135069	0.647647
</S>	0.009401	0.00405746	0.0030107	0.00438763	0.0127363	0.0400108	0.173344	0.753052
