 	la	manière	dont	il	monte	sur	les	palmiers	est	celle	des	récolteurs	de	vin	de	palme	</S>
a66	0.109838	0.0641945	0.0427353	0.0568119	0.0689579	0.108128	0.118207	0.101611	0.0879723	0.0959332	0.0524847	0.0229948	0.0182823	0.0120877	0.0124111	0.0133256	0.0140243
a87	0.266788	0.203985	0.115453	0.0640831	0.0757476	0.0909963	0.0590708	0.033633	0.0204896	0.0176977	0.00842242	0.00485082	0.00532548	0.00578914	0.00789606	0.0090376	0.0107339
a23	0.297433	0.219817	0.113831	0.0690581	0.0749891	0.0699457	0.0573419	0.0381979	0.0204824	0.0133797	0.00494919	0.00277555	0.00196734	0.00236968	0.00312273	0.00436596	0.00597293
a50	0.313999	0.251455	0.132956	0.0660706	0.0745534	0.0444128	0.0399394	0.0153047	0.00908061	0.00665044	0.00341961	0.00307545	0.00298957	0.00401391	0.00660829	0.0104432	0.0150287
a83	0.252135	0.145083	0.101291	0.0918729	0.143563	0.0906651	0.0865215	0.0313931	0.0150477	0.0110986	0.00429522	0.00300164	0.00306701	0.00364812	0.00430431	0.0056793	0.00733355
a24	0.372864	0.20266	0.145028	0.0828347	0.0813994	0.0428825	0.0384818	0.0123003	0.00597221	0.00496786	0.00269748	0.0014463	0.00123327	0.00131038	0.00125422	0.00125386	0.00141427
a31	0.139815	0.174669	0.203153	0.119221	0.13818	0.0738842	0.0596862	0.0275735	0.0160095	0.015024	0.0103328	0.00500607	0.00393416	0.00382674	0.00323679	0.00288856	0.00355856
a12	0.146352	0.172472	0.198173	0.112647	0.130596	0.0714453	0.0607056	0.0328325	0.0212353	0.017309	0.0105618	0.00613099	0.00459667	0.00424484	0.00365115	0.00328123	0.00376629
a31	0.140101	0.154909	0.178948	0.102224	0.13074	0.0878814	0.0706243	0.0413899	0.0281435	0.0226431	0.013426	0.00816903	0.00530604	0.0045023	0.00381013	0.0033964	0.00378538
a24	0.0926925	0.123539	0.159339	0.108991	0.133876	0.0962757	0.0810443	0.0574543	0.0409779	0.0329741	0.0218383	0.0135064	0.00880837	0.00789698	0.00677404	0.00655565	0.00745617
a31	0.0520703	0.066949	0.0924529	0.101123	0.123194	0.107856	0.0917569	0.0704701	0.0519206	0.0449477	0.0384729	0.0284737	0.0220569	0.0254252	0.0256223	0.02797	0.0292384
a47	0.0408034	0.0641781	0.0984407	0.112734	0.123343	0.109209	0.10539	0.086204	0.0675204	0.0567232	0.0394934	0.0238965	0.0169941	0.0145447	0.0130384	0.0133578	0.0141295
a31	0.0241289	0.0380018	0.0588149	0.100733	0.121486	0.11463	0.102513	0.0915182	0.0824175	0.069678	0.0496167	0.03314	0.0266554	0.0214888	0.0205054	0.0214231	0.0232495
a21	0.0121659	0.0187549	0.0267831	0.064502	0.0885669	0.115672	0.0981925	0.125923	0.129583	0.115329	0.078471	0.0408147	0.0259503	0.0160632	0.0135113	0.013917	0.0158006
a98	0.00828436	0.0122792	0.014959	0.0298779	0.0344676	0.0444126	0.048964	0.0817869	0.117874	0.161442	0.17032	0.0866917	0.0543018	0.0334033	0.0306547	0.0342162	0.0360655
a79	0.003588	0.0052084	0.0076882	0.0200303	0.0206201	0.0279716	0.0290574	0.0579888	0.0917234	0.141822	0.202927	0.125517	0.0933715	0.0510184	0.0422034	0.0384516	0.0408133
a98	0.00487123	0.00475422	0.00707495	0.0241554	0.0312367	0.0472012	0.0408841	0.0967011	0.145268	0.162615	0.148091	0.0812496	0.0579737	0.0346529	0.0333127	0.0380243	0.0419329
a47	0.00227686	0.00343561	0.00524215	0.0186957	0.0216743	0.0325217	0.0362529	0.0703824	0.107334	0.144376	0.166714	0.0928348	0.0826599	0.0526892	0.0501387	0.0525909	0.0601805
a7	0.00477678	0.00717035	0.00943276	0.0289505	0.0317625	0.047573	0.0526654	0.0889467	0.102869	0.12211	0.12815	0.0619397	0.069714	0.0508984	0.0531075	0.060467	0.0794661
a43	0.00683668	0.00860677	0.0111118	0.0375399	0.060274	0.0978891	0.0726926	0.135758	0.141599	0.127927	0.0895352	0.0414782	0.0356908	0.0242906	0.0254676	0.0339998	0.0493028
a21	0.0146086	0.0179044	0.0222925	0.0501852	0.0643246	0.0861322	0.0718017	0.100695	0.0904358	0.0824009	0.060708	0.0424349	0.0436898	0.0379737	0.046745	0.0707868	0.0968804
a85	0.00283858	0.0027425	0.00386556	0.0117358	0.0153771	0.0202964	0.0217699	0.0415936	0.0723634	0.112064	0.142036	0.106815	0.0898331	0.0740798	0.07651	0.0935578	0.112521
a6	0.00177406	0.00183312	0.00227656	0.00733589	0.0104777	0.0141346	0.0142036	0.0251894	0.0399738	0.0501265	0.0878932	0.0737581	0.090117	0.0942783	0.111886	0.152629	0.222113
a36	0.00347481	0.00471149	0.00589099	0.0135069	0.016351	0.0207408	0.0239982	0.0429787	0.0619207	0.0862766	0.136485	0.0934014	0.108111	0.088181	0.0824771	0.0903861	0.121109
