 	je	n'	ai	pas	pu	le	supporter	à	cause	de	ses	caprices	</S>
a66	0.245467	0.162635	0.124726	0.114912	0.095978	0.0824515	0.0722817	0.0377375	0.0223607	0.0141249	0.0114043	0.00821811	0.00770399
a10	0.197624	0.136704	0.11406	0.0993691	0.07391	0.0454837	0.0435683	0.0343814	0.0347273	0.0375633	0.0452264	0.0503598	0.0870214
a87	0.296498	0.227367	0.15346	0.0516652	0.028065	0.0209895	0.0278793	0.0232006	0.0296679	0.0366369	0.0386074	0.0307788	0.035185
a23	0.256524	0.214255	0.157084	0.0589184	0.0322192	0.0238588	0.0313142	0.0258456	0.0323551	0.0414304	0.0475311	0.0370214	0.0416434
a83	0.27419	0.205799	0.133496	0.0545668	0.0391464	0.0306042	0.0340618	0.0250195	0.0305921	0.0372606	0.0445349	0.034858	0.0558704
a75	0.238513	0.202324	0.159516	0.0928401	0.0760454	0.0512231	0.0412617	0.0233247	0.0220736	0.02462	0.0238186	0.0179253	0.0265146
a47	0.174454	0.20047	0.205689	0.139032	0.0930553	0.0523691	0.0397127	0.0237818	0.0186744	0.0151068	0.0138726	0.0106612	0.0131212
a36	0.13431	0.162363	0.166089	0.120455	0.096635	0.0639117	0.0545236	0.0458431	0.0371336	0.0287958	0.0279736	0.028144	0.0338224
a98	0.129135	0.145557	0.140682	0.100122	0.0811037	0.0627127	0.057948	0.0536683	0.0488258	0.0408697	0.0421353	0.0466024	0.0506375
a79	0.0740702	0.0918023	0.109238	0.121681	0.126203	0.0965205	0.0767444	0.0689296	0.049707	0.038255	0.0392139	0.0494045	0.0582312
a25	0.104148	0.110477	0.119777	0.108437	0.0976091	0.0768766	0.0727299	0.0636451	0.0522148	0.045657	0.0484038	0.047808	0.0522182
a79	0.0816166	0.097337	0.111141	0.122214	0.107402	0.0858619	0.0866275	0.0712357	0.0536409	0.0436054	0.0449139	0.0439368	0.0504671
a56	0.0511191	0.0582469	0.0638193	0.0877364	0.106009	0.102625	0.112698	0.0963104	0.075424	0.0616035	0.0612945	0.0586752	0.0644385
a12	0.0304601	0.0353759	0.0387673	0.0643359	0.0786015	0.0895975	0.112702	0.107259	0.0953132	0.0886656	0.095986	0.0831995	0.0797368
a47	0.0133258	0.0138521	0.0131413	0.0275421	0.0426699	0.0623034	0.0781054	0.0968206	0.109025	0.123261	0.151743	0.133619	0.134592
a31	0.0170362	0.0158038	0.0119405	0.0203061	0.0332964	0.0589699	0.0803465	0.116755	0.13658	0.132214	0.139267	0.119273	0.118212
a34	0.00941058	0.00881347	0.00671609	0.0111252	0.0191982	0.04125	0.0640981	0.112053	0.14993	0.149758	0.164434	0.135428	0.127786
a56	0.00306738	0.00305166	0.00271109	0.00555893	0.0104921	0.0235835	0.0376452	0.0778267	0.122985	0.151368	0.195293	0.177134	0.189284
a93	0.00146413	0.00151837	0.00150397	0.00324542	0.00607939	0.0130074	0.0215731	0.0518788	0.104137	0.157549	0.214754	0.204786	0.218504
a4	0.00127933	0.0011612	0.00102463	0.00191286	0.00368063	0.00827399	0.0164556	0.0419022	0.0910776	0.14519	0.202328	0.226603	0.259111
a13	0.00051681	0.000405612	0.000346281	0.000655952	0.00128049	0.00256436	0.00553942	0.0192455	0.0619491	0.139268	0.225454	0.264994	0.277781
a57	0.000486964	0.000329158	0.00027133	0.00053956	0.00131316	0.00285426	0.00530513	0.0167769	0.0473987	0.0812419	0.144448	0.307869	0.391166
a13	0.00112573	0.000815444	0.000789785	0.00154298	0.00388363	0.00852014	0.0148779	0.0346811	0.068734	0.0902475	0.136381	0.294937	0.343464
a3	0.00261084	0.00195826	0.00188077	0.00335907	0.00728866	0.0152248	0.0231727	0.0481161	0.0799508	0.0997804	0.139172	0.28685	0.290635
a87	0.0317454	0.0206207	0.0164123	0.0169992	0.0221732	0.0325629	0.0469079	0.071369	0.0910892	0.105133	0.136547	0.226602	0.181838
a97	0.154554	0.0941164	0.0581497	0.0359824	0.0315993	0.0352146	0.0487599	0.063446	0.0718565	0.0798868	0.0949324	0.125101	0.1064
a3	0.065427	0.0437295	0.0297909	0.0201816	0.0191115	0.0273863	0.044238	0.0722847	0.0974242	0.118859	0.140224	0.167339	0.154004
a97	0.0464645	0.0319889	0.0245774	0.0194394	0.0223085	0.0352334	0.054023	0.0776418	0.0963639	0.115304	0.135959	0.159255	0.18144
a99	0.0515327	0.0347112	0.0261293	0.0204364	0.0237224	0.0354922	0.0540374	0.0760151	0.0913195	0.110174	0.134719	0.160843	0.180867
a97	0.0120985	0.00950437	0.00832215	0.008614	0.010166	0.0101613	0.0114988	0.0226703	0.0376355	0.0895954	0.167399	0.254256	0.358079
</S>	0.0292361	0.023028	0.0195097	0.0172982	0.0164212	0.0156165	0.0165557	0.0282794	0.0433325	0.0846078	0.137875	0.217946	0.350295
