 	son	nez	est	bouché	</S>
a23	0.356645	0.260305	0.183601	0.106774	0.0926754
a87	0.515843	0.213092	0.109591	0.0702803	0.0911942
a30	0.436026	0.228071	0.131884	0.0919279	0.112091
a53	0.418127	0.180168	0.112397	0.0865349	0.202773
a15	0.507246	0.176531	0.103895	0.0905646	0.121764
a7	0.62041	0.201846	0.0801464	0.0463285	0.051269
a84	0.453576	0.25861	0.132036	0.0766006	0.0791775
a75	0.280499	0.23975	0.17085	0.150397	0.158503
a61	0.341365	0.27265	0.159122	0.10752	0.119344
a47	0.34968	0.292842	0.14902	0.0997024	0.108756
a61	0.318676	0.317719	0.166186	0.102189	0.0952298
a47	0.262207	0.332507	0.210313	0.111482	0.0834916
a83	0.273159	0.345936	0.195918	0.104718	0.0802688
a71	0.192317	0.309845	0.247075	0.144854	0.105909
a62	0.111517	0.19891	0.21871	0.231675	0.239188
a61	0.0821844	0.164819	0.232177	0.274798	0.246022
a75	0.0622343	0.115897	0.214008	0.30358	0.304281
a5	0.0681014	0.0886115	0.148211	0.288048	0.407028
a27	0.0422053	0.0636646	0.127938	0.301914	0.464279
a24	0.0111806	0.0154898	0.0503254	0.232894	0.690111
a83	0.0101749	0.0148022	0.0493475	0.236827	0.688848
a18	0.00834151	0.0128693	0.0439557	0.214146	0.720687
a27	0.0187564	0.0170764	0.0484847	0.209775	0.705908
a57	0.0524865	0.0309749	0.0625844	0.197565	0.656389
a87	0.0870919	0.0490301	0.0864165	0.219792	0.55767
a82	0.0972888	0.0757722	0.142342	0.26153	0.423067
a3	0.113115	0.0894836	0.141367	0.230538	0.425497
a99	0.150364	0.10521	0.139287	0.208836	0.396303
a38	0.155232	0.0966512	0.127315	0.194196	0.426605
a9	0.0991576	0.0838328	0.121048	0.208042	0.487919
a82	0.0724657	0.059259	0.0865778	0.17784	0.603857
</S>	0.0954699	0.0682825	0.0892459	0.160649	0.586353
