 	la	danse	unit	les	gens	dans	le	village	</S>
a66	0.304509	0.199132	0.163338	0.0723735	0.0858393	0.0706342	0.0506879	0.0309217	0.022564
a87	0.446214	0.212324	0.192024	0.0570217	0.0478776	0.0212243	0.010024	0.00725495	0.00603482
a23	0.427942	0.231982	0.237634	0.0552365	0.0246278	0.00942293	0.00496787	0.00393388	0.00425246
a99	0.362958	0.26978	0.289792	0.036237	0.0125436	0.0046296	0.00434633	0.00672255	0.0129907
a83	0.260399	0.220247	0.339963	0.0753496	0.0292685	0.0145435	0.0137151	0.018187	0.0283271
a9	0.242699	0.235379	0.25519	0.113345	0.0569072	0.0263503	0.0206788	0.0224222	0.0270287
a24	0.214626	0.191846	0.252764	0.150281	0.0983919	0.0385965	0.0209181	0.0166277	0.0159482
a62	0.119603	0.192559	0.27497	0.188423	0.115737	0.047883	0.0243812	0.0193036	0.0171396
a21	0.0793859	0.176304	0.206509	0.222093	0.143285	0.0733638	0.0396603	0.0319847	0.0274142
a5	0.0753507	0.117099	0.161322	0.217712	0.182396	0.104013	0.0615017	0.0448122	0.0357932
a12	0.0696244	0.0925133	0.136764	0.203439	0.184743	0.130618	0.081213	0.0577654	0.0433204
a62	0.0734078	0.0798019	0.126662	0.211404	0.199601	0.139649	0.0766673	0.0533132	0.0394944
a88	0.0488593	0.0459637	0.0901056	0.187478	0.220197	0.196174	0.100415	0.0636809	0.0471259
a43	0.0241204	0.0245091	0.0499168	0.132777	0.189796	0.241237	0.158072	0.102112	0.077458
a94	0.0227869	0.022498	0.0463084	0.116023	0.181421	0.250835	0.177849	0.107947	0.0743316
a70	0.0247419	0.0233716	0.0427515	0.0808448	0.139857	0.223127	0.208583	0.146317	0.110406
a94	0.0215482	0.0187988	0.0317977	0.0502767	0.0956563	0.197841	0.242418	0.192885	0.148778
a11	0.0121262	0.0103084	0.0170827	0.0293912	0.0568964	0.152292	0.264709	0.250762	0.206432
a75	0.0127393	0.0104104	0.0122599	0.0198628	0.0361515	0.104574	0.237929	0.290586	0.275487
a79	0.00161539	0.00118886	0.00181233	0.00452165	0.0116451	0.054067	0.188036	0.322313	0.4148
a98	0.0008566	0.000679251	0.000907946	0.00225806	0.00624539	0.0350649	0.159658	0.34367	0.450659
a92	0.00130492	0.00107891	0.00117498	0.00273212	0.00825401	0.0401997	0.157056	0.342369	0.44583
a12	0.000800283	0.000527142	0.000728091	0.00206117	0.00638449	0.0325319	0.129192	0.308259	0.519515
a43	0.000818958	0.000437821	0.000470662	0.00110064	0.00303602	0.0186349	0.0958192	0.273257	0.606425
a75	0.00168413	0.000873591	0.000652871	0.00136245	0.00309983	0.0121096	0.0590196	0.228999	0.692199
a79	8.55307e-05	5.22535e-05	7.0428e-05	0.000230069	0.000845004	0.00545257	0.0490503	0.22455	0.719664
a7	6.07739e-05	3.64857e-05	4.77105e-05	0.000152452	0.000507955	0.00383463	0.0376666	0.205463	0.752231
a13	0.000275967	0.000197842	0.000178329	0.000511872	0.00126607	0.00588633	0.0391044	0.214858	0.737721
a57	0.00365728	0.00247515	0.00166967	0.00430102	0.00735066	0.0181988	0.0607628	0.231137	0.670447
a82	0.0635301	0.0324504	0.027322	0.0309557	0.0389154	0.0592051	0.112117	0.226038	0.409466
a87	0.273493	0.137144	0.0952475	0.0363796	0.0345266	0.0374924	0.0646702	0.118305	0.202741
a23	0.294499	0.166412	0.137579	0.0603549	0.0536526	0.0443241	0.0588434	0.0838464	0.100489
a87	0.141643	0.111827	0.0932239	0.0332143	0.0324311	0.039439	0.10137	0.199053	0.247799
</S>	0.0304005	0.0231423	0.0190167	0.0124296	0.0201097	0.0499563	0.132172	0.283166	0.429606
