 	l'	écolier	s'	est	trompé	dans	le	calcul	de	l'	argent	</S>
a66	0.235136	0.152619	0.117002	0.114534	0.110973	0.0967232	0.0651694	0.0368093	0.0179917	0.0161614	0.0178032	0.0190787
a87	0.562985	0.111775	0.0531112	0.0379702	0.0295645	0.0237117	0.0168766	0.0162636	0.0221747	0.0382486	0.0402083	0.0471103
a23	0.31607	0.137543	0.077964	0.0582044	0.0432707	0.0394398	0.0375222	0.0507922	0.0435091	0.0592613	0.0613254	0.0750984
a20	0.159033	0.0902807	0.0752469	0.088225	0.0548671	0.032752	0.0241398	0.0422171	0.063932	0.097615	0.114067	0.157624
a36	0.305907	0.146093	0.0876875	0.0876147	0.0702468	0.0581195	0.0452602	0.0532082	0.0324314	0.036981	0.0370107	0.0394397
a5	0.338951	0.286866	0.10736	0.0752261	0.0550279	0.031102	0.014422	0.0101481	0.014258	0.0184415	0.0208889	0.0273088
a37	0.309049	0.230264	0.0954106	0.0942115	0.0678851	0.0402988	0.0210556	0.0115212	0.024024	0.029386	0.0321487	0.044745
a36	0.229248	0.195842	0.11029	0.13194	0.0998122	0.0665958	0.0384944	0.0215357	0.0237	0.0255261	0.0254517	0.0315637
a90	0.133753	0.132387	0.0980348	0.127987	0.10468	0.0850041	0.0668132	0.0581368	0.0467417	0.0472526	0.0459026	0.0533077
a98	0.152069	0.152455	0.102691	0.126656	0.100749	0.0907722	0.0745849	0.066524	0.0324009	0.0304258	0.0312009	0.0394705
a85	0.0937755	0.131936	0.109685	0.127036	0.0847874	0.0694543	0.0584127	0.0531744	0.0562717	0.0546107	0.066004	0.0948528
a6	0.0569986	0.0962422	0.0996113	0.119717	0.0806986	0.0758406	0.0745408	0.0679625	0.068342	0.0675527	0.0846209	0.107873
a37	0.0418545	0.0985598	0.11401	0.145474	0.109923	0.11282	0.102638	0.0721899	0.0472534	0.0430735	0.0489151	0.0632892
a18	0.0102444	0.0279412	0.0853202	0.138599	0.130881	0.165169	0.133835	0.120533	0.0460482	0.0429125	0.0447638	0.0537534
a12	0.00765777	0.0131856	0.0424878	0.0911981	0.100481	0.145531	0.146896	0.189896	0.0655033	0.0591367	0.0620584	0.0759678
a43	0.00843083	0.0101657	0.0228467	0.0570241	0.0715882	0.118955	0.148544	0.206419	0.0909824	0.0816852	0.0866712	0.0966881
a11	0.0082605	0.0140389	0.0296426	0.0678182	0.0865614	0.130525	0.158739	0.20997	0.0747341	0.0644905	0.0696134	0.0856061
a75	0.0113275	0.0198352	0.0381752	0.0734513	0.0929847	0.131712	0.164063	0.188922	0.0719655	0.059847	0.0657497	0.0819665
a5	0.002656	0.00414754	0.0120701	0.0235458	0.0245068	0.0446657	0.0752137	0.106701	0.124112	0.136441	0.19587	0.250071
a43	0.00646339	0.0061702	0.0125445	0.0239642	0.0282396	0.0479572	0.0826307	0.167232	0.120953	0.12423	0.170534	0.209081
a24	0.00325477	0.00408171	0.00980135	0.0203241	0.0234496	0.0435552	0.0847105	0.191373	0.146649	0.130573	0.154388	0.18784
a62	0.00335741	0.00527075	0.00882855	0.0141434	0.0155251	0.0256662	0.0452946	0.108716	0.115503	0.156031	0.21382	0.287843
a88	0.00237395	0.00439285	0.00899843	0.0174378	0.0201611	0.0299624	0.0508438	0.120119	0.13435	0.158773	0.20081	0.251777
a98	0.00183542	0.00381397	0.00885747	0.0144614	0.0150621	0.0207902	0.0321936	0.0728684	0.104275	0.167806	0.243628	0.314409
a47	0.000126271	0.000256673	0.000839815	0.00164781	0.00190431	0.0032472	0.00848624	0.0432544	0.102106	0.168938	0.274403	0.39479
a85	0.000510424	0.000993624	0.00270476	0.00428437	0.00501459	0.0066137	0.0115745	0.0400752	0.104701	0.184977	0.28129	0.35726
a47	0.000188372	0.000468248	0.00136641	0.00204335	0.00225598	0.00350459	0.008473	0.0341912	0.136642	0.203698	0.283066	0.324103
a7	0.000545764	0.00093678	0.00220236	0.00274234	0.00293636	0.00415443	0.00819874	0.0272705	0.12865	0.197437	0.287079	0.337848
a69	0.000262452	0.000686862	0.00170065	0.00201879	0.00218947	0.0033988	0.00774403	0.0272348	0.131954	0.212972	0.289442	0.320397
a58	0.000304561	0.00090261	0.00264269	0.00330171	0.00366955	0.00694791	0.017254	0.0403217	0.147434	0.223438	0.277395	0.276388
a82	0.000623006	0.00156872	0.00271206	0.00326245	0.00379934	0.00614226	0.0113897	0.0297212	0.148118	0.24718	0.287238	0.258245
a87	0.0164417	0.0325231	0.0382483	0.0359894	0.0402352	0.0517238	0.0680842	0.090755	0.163375	0.159898	0.159046	0.14368
</S>	0.185217	0.139374	0.120343	0.0756382	0.0668095	0.0636763	0.0606824	0.0481995	0.0716832	0.059745	0.0542132	0.0544196
