 	il	a	mouillé	ses	habits	</S>
a87	0.284047	0.246352	0.32108	0.0986549	0.0325246	0.0173411
a23	0.34169	0.216671	0.218853	0.0940933	0.0718414	0.0568505
a53	0.242595	0.236986	0.223231	0.112772	0.0869368	0.0974792
a15	0.370695	0.198514	0.154703	0.138539	0.0751605	0.0623884
a73	0.405424	0.266689	0.140866	0.0927915	0.0555774	0.0386522
a44	0.385711	0.286075	0.173522	0.0818399	0.0420978	0.0307541
a13	0.409246	0.334008	0.152618	0.0523434	0.0284	0.0233852
a90	0.241624	0.255106	0.208857	0.123586	0.0880693	0.0827569
a25	0.21671	0.245522	0.159211	0.118122	0.12511	0.135326
a92	0.219952	0.255502	0.162618	0.11895	0.121465	0.121513
a11	0.167641	0.161325	0.144338	0.162239	0.175709	0.188749
a24	0.141109	0.146115	0.153783	0.151768	0.192749	0.214476
a9	0.107589	0.107779	0.152684	0.177249	0.241369	0.213331
a38	0.0145553	0.0181464	0.0782803	0.139696	0.315048	0.434274
a75	0.0163108	0.0170302	0.0638853	0.154299	0.301153	0.447321
a85	0.0174322	0.0157596	0.051746	0.166169	0.309476	0.439417
a37	0.00767695	0.0082662	0.0245418	0.0870591	0.286151	0.586305
a83	0.00371093	0.00382398	0.0129121	0.0450479	0.254279	0.680227
a75	0.00128965	0.00187396	0.0111147	0.0440444	0.259105	0.682572
a47	0.0017945	0.0027859	0.0136115	0.0433744	0.23664	0.701794
a36	0.00174447	0.00238873	0.0110648	0.0381459	0.254114	0.692542
a57	0.00591949	0.00797407	0.0359179	0.098894	0.266735	0.584559
a87	0.231761	0.161319	0.114873	0.0928329	0.14768	0.251533
a23	0.280979	0.215283	0.23739	0.121523	0.0825019	0.0623228
a87	0.229246	0.174457	0.131029	0.120823	0.164942	0.179503
a23	0.027493	0.0302538	0.0539338	0.0864778	0.282679	0.519163
a99	0.0504096	0.058307	0.0926221	0.116627	0.276881	0.405153
a87	0.0483492	0.0596854	0.0698857	0.0846921	0.24921	0.488177
</S>	0.0127374	0.0174628	0.0285151	0.0672558	0.278739	0.59529
