 	dans	ce	village	les	enfants	sont	atteints	de	la	varicelle	</S>
a66	0.171201	0.165963	0.16133	0.135718	0.115812	0.104879	0.0565422	0.0347807	0.0239025	0.0183119	0.0115603
a87	0.398144	0.236428	0.130888	0.0699994	0.0381357	0.0391268	0.0277296	0.0266366	0.0200799	0.00767467	0.00515786
a23	0.394576	0.20615	0.150672	0.0815214	0.0534597	0.0482202	0.0248166	0.0129571	0.0124187	0.00715151	0.0080571
a10	0.368814	0.192449	0.135189	0.0713358	0.0432817	0.0527534	0.0401809	0.0218911	0.0243434	0.021082	0.0286802
a38	0.300696	0.163559	0.126561	0.0809711	0.0505331	0.0563468	0.0544426	0.0345998	0.0444876	0.0410121	0.0467908
a36	0.166609	0.0978682	0.0866541	0.0840254	0.0782043	0.0899458	0.0718619	0.0362959	0.0522736	0.088803	0.147458
a2	0.153339	0.139156	0.133242	0.122408	0.0953972	0.0841621	0.0554947	0.0383563	0.0565647	0.0608804	0.0610002
a26	0.126178	0.129304	0.130962	0.11914	0.0988412	0.098214	0.0979551	0.0659284	0.0594988	0.041474	0.0325037
a4	0.0626103	0.0695055	0.0935061	0.121938	0.12401	0.145269	0.151378	0.0864088	0.0593567	0.041498	0.0445196
a94	0.0365705	0.0601145	0.0929723	0.14004	0.141573	0.178246	0.177171	0.0669771	0.0378419	0.0352115	0.0332825
a62	0.0260635	0.0450828	0.0758103	0.131725	0.146013	0.188353	0.200251	0.0647717	0.0358051	0.0427544	0.0433703
a12	0.0172623	0.0309132	0.0565104	0.114126	0.163157	0.197744	0.194351	0.0658935	0.0404731	0.0546132	0.0649563
a5	0.0129075	0.0209129	0.0381768	0.0798276	0.156834	0.211408	0.211091	0.08378	0.0496281	0.0644961	0.0709391
a6	0.0102967	0.0163655	0.0296357	0.0616301	0.115218	0.1715	0.196423	0.105612	0.0730242	0.114864	0.105431
a36	0.00460262	0.00713727	0.0131792	0.0319898	0.0784696	0.126125	0.172734	0.153277	0.125733	0.169832	0.116919
a37	0.0194907	0.0264219	0.0442337	0.0620351	0.0975475	0.129242	0.129168	0.106837	0.0837508	0.130536	0.170736
a61	0.0236747	0.0301899	0.0437686	0.0593129	0.0931784	0.120071	0.0987896	0.0900279	0.0869032	0.14575	0.208334
a43	0.0110032	0.0150305	0.021708	0.0395616	0.0770601	0.0999179	0.0997332	0.121436	0.135648	0.183054	0.195848
a75	0.0083339	0.0106569	0.0151018	0.0294123	0.0655938	0.0883503	0.0847511	0.108077	0.166362	0.197332	0.226028
a47	0.00220519	0.0029548	0.00457596	0.00834708	0.0192508	0.0354334	0.0576062	0.105599	0.18779	0.306234	0.270003
a7	0.000910638	0.00104065	0.00156362	0.00255216	0.0080817	0.0171622	0.0256317	0.0500442	0.156516	0.397423	0.339074
a44	0.00245505	0.00239456	0.00292206	0.00340807	0.00630252	0.00957297	0.0115149	0.0179675	0.0705056	0.322364	0.550593
a4	0.00291081	0.00321371	0.00424576	0.00591873	0.010587	0.0137418	0.0143862	0.0272045	0.104274	0.310512	0.503006
a57	0.00052519	0.000609112	0.00081208	0.00142269	0.00321055	0.00514944	0.00663156	0.0156119	0.0706559	0.239225	0.656147
a13	0.000691515	0.000736689	0.000918412	0.00138937	0.00226611	0.00292203	0.00313788	0.00981445	0.047124	0.179189	0.75181
a40	0.00228764	0.00223307	0.00215126	0.00176546	0.00179162	0.00177812	0.00174669	0.00644823	0.0394853	0.197198	0.743115
a26	0.000301302	0.000297779	0.00041726	0.000730665	0.00141127	0.00170797	0.00221724	0.00939136	0.0602815	0.204071	0.719172
a57	0.00228865	0.00209538	0.00206435	0.00171508	0.00168398	0.00125636	0.00132224	0.00510114	0.0315943	0.194672	0.756206
a87	0.0137329	0.0100401	0.00970107	0.00989847	0.0102242	0.00689522	0.00680541	0.0165932	0.05428	0.198301	0.663528
a23	0.298817	0.145284	0.0995268	0.0766833	0.0654733	0.046008	0.0286973	0.0348595	0.0534994	0.0688329	0.082318
a87	0.132997	0.0845396	0.0721499	0.0764987	0.0963827	0.0772284	0.054449	0.06474	0.0968548	0.121543	0.122617
</S>	0.0232666	0.0140753	0.014417	0.0178628	0.0311928	0.0258607	0.0269767	0.043878	0.120282	0.313977	0.368212
