 	ces	feuillles	sont	larges	</S>
a66	0.432774	0.203622	0.114055	0.126129	0.12342
a82	0.432712	0.239579	0.151789	0.100235	0.0756854
a87	0.656148	0.248953	0.0511556	0.024446	0.0192977
a97	0.607535	0.287667	0.0658801	0.024951	0.0139663
a3	0.587187	0.278686	0.0810498	0.0346067	0.0184709
a9	0.581209	0.266814	0.0878159	0.0413295	0.0228312
a99	0.527948	0.241064	0.106739	0.0753337	0.048916
a97	0.318219	0.264596	0.184038	0.130558	0.102589
a87	0.220938	0.245061	0.236833	0.166013	0.131155
a97	0.238938	0.242214	0.228316	0.167145	0.123387
a79	0.208783	0.232588	0.240543	0.170761	0.147324
a54	0.307237	0.307928	0.171824	0.102444	0.110568
a56	0.316311	0.284386	0.16612	0.119172	0.114012
a0	0.228703	0.254499	0.245802	0.152445	0.11855
a11	0.178803	0.207745	0.253132	0.187565	0.172754
a70	0.121138	0.132443	0.201076	0.250031	0.295313
a62	0.0649578	0.0686574	0.156417	0.295272	0.414696
a98	0.0397488	0.0393867	0.10498	0.290344	0.525541
a50	0.0609554	0.0351964	0.0850408	0.29455	0.524258
a93	0.00759616	0.00503314	0.0185573	0.191347	0.777466
a70	0.0120751	0.00829749	0.0256719	0.203496	0.75046
a54	0.00497494	0.00336007	0.0127494	0.178444	0.800471
a44	0.0108819	0.00483044	0.0106831	0.142234	0.831371
a70	0.00340089	0.0022305	0.00793321	0.115211	0.871224
a94	0.00389688	0.00243656	0.00948619	0.148307	0.835873
a36	0.00417997	0.00315834	0.0111732	0.129839	0.851649
a26	0.00709631	0.00836957	0.0242953	0.144174	0.816065
a57	0.0348002	0.0270861	0.0487423	0.171553	0.717818
a99	0.181412	0.0997791	0.0892833	0.204761	0.424765
a97	0.271456	0.126281	0.0815669	0.190901	0.329795
a99	0.252745	0.158657	0.10739	0.209673	0.271534
a87	0.273349	0.159844	0.121803	0.22547	0.219534
a97	0.302722	0.152432	0.104101	0.212103	0.228642
a87	0.345441	0.182657	0.12669	0.178335	0.166877
a23	0.308217	0.174775	0.130602	0.197674	0.188732
a97	0.164373	0.137363	0.152861	0.287216	0.258188
a87	0.271519	0.146596	0.145233	0.223451	0.2132
</S>	0.211019	0.133989	0.1559	0.263684	0.235408
