 	il	a	un	bec-de-lièvre	</S>
a23	0.545602	0.259139	0.069302	0.0507024	0.0752547
a87	0.601381	0.229196	0.0859288	0.0385862	0.0449079
a23	0.476115	0.247442	0.131803	0.0680246	0.0766155
a20	0.339523	0.166445	0.109069	0.120433	0.26453
a44	0.423557	0.263295	0.145397	0.101109	0.0666407
a58	0.416561	0.345651	0.168913	0.0475437	0.0213317
a38	0.354915	0.354065	0.195072	0.0624277	0.0335193
a20	0.312324	0.354045	0.215496	0.0740355	0.0440993
a94	0.308179	0.355277	0.210681	0.080548	0.0453155
a20	0.279363	0.345738	0.23558	0.094434	0.0448859
a94	0.264128	0.336803	0.238509	0.103621	0.0569385
a75	0.176306	0.259795	0.283632	0.185931	0.0943351
a24	0.146471	0.178551	0.219587	0.25738	0.198011
a66	0.0728754	0.0900458	0.160614	0.350077	0.326387
a25	0.0933245	0.0851277	0.119459	0.294747	0.407342
a0	0.0464896	0.0466303	0.0805982	0.283057	0.543225
a75	0.0219933	0.0208205	0.0408416	0.225499	0.690846
a41	0.0140063	0.0175857	0.0438264	0.26301	0.661572
a0	0.00419779	0.00643147	0.0241338	0.219687	0.74555
a11	0.0113432	0.0119762	0.026865	0.17659	0.773226
a24	0.0162427	0.01464	0.0250714	0.142942	0.801104
a9	0.0126068	0.0121324	0.0292185	0.168208	0.777835
a87	0.00568289	0.00702514	0.0169108	0.117854	0.852527
</S>	0.00555528	0.00687512	0.0151421	0.116012	0.856416
