 	il	s'	en	va	</S>
a23	0.426493	0.228062	0.127965	0.122409	0.0950711
a30	0.43101	0.198706	0.127502	0.125989	0.116793
a53	0.339951	0.220164	0.14734	0.150457	0.142088
a20	0.430776	0.218404	0.142395	0.112084	0.0963417
a30	0.49166	0.281577	0.12537	0.0622951	0.039098
a44	0.497837	0.288744	0.122287	0.0564282	0.0347037
a26	0.407256	0.277968	0.164385	0.0890514	0.0613398
a38	0.28324	0.21379	0.19401	0.165496	0.143464
a11	0.264559	0.211697	0.199712	0.174414	0.149618
a34	0.187332	0.169482	0.200553	0.219285	0.223349
a35	0.142131	0.150019	0.204284	0.240057	0.26351
a83	0.0669354	0.0941544	0.169415	0.281976	0.387519
a9	0.0472483	0.0615068	0.128274	0.272604	0.490367
a87	0.019803	0.0293865	0.07807	0.241512	0.631228
a23	0.0224646	0.0337625	0.0872573	0.25554	0.600975
a87	0.0421653	0.0537622	0.113202	0.282705	0.508165
</S>	0.0410899	0.0669176	0.153708	0.319909	0.418376
