 	il	est	dans	l'	atelier	de	menuiserie	</S>
a23	0.262557	0.158791	0.110102	0.0977962	0.152707	0.0763718	0.0462923	0.0953837
a87	0.445476	0.26575	0.13105	0.055432	0.0291126	0.0181238	0.0168776	0.0381779
a23	0.25393	0.237674	0.199458	0.131064	0.053948	0.0356614	0.0344721	0.0537926
a20	0.295722	0.226356	0.145733	0.0804666	0.0354822	0.0355831	0.0503431	0.130314
a73	0.489485	0.249629	0.122799	0.0452033	0.0286527	0.0229847	0.0211055	0.0201408
a26	0.291575	0.235968	0.21372	0.14298	0.0718585	0.0250283	0.0105741	0.00829595
a11	0.223252	0.206342	0.220817	0.202544	0.0902719	0.0310336	0.0141913	0.0115485
a43	0.190577	0.199697	0.231355	0.217399	0.100728	0.0325982	0.0148296	0.0128168
a11	0.151648	0.178698	0.232689	0.23157	0.133314	0.042493	0.0161778	0.0134097
a41	0.136034	0.167533	0.226617	0.230423	0.150668	0.0495063	0.0212882	0.0179289
a2	0.12255	0.149485	0.20884	0.244008	0.165095	0.052328	0.0273609	0.0303342
a75	0.0733677	0.0871281	0.116347	0.159691	0.202042	0.110647	0.0944544	0.156323
a41	0.0829059	0.100914	0.14052	0.177862	0.17713	0.113525	0.0951814	0.111961
a26	0.081034	0.0948475	0.139046	0.195698	0.193219	0.119633	0.089658	0.0868635
a75	0.0878376	0.0899025	0.114227	0.183132	0.216742	0.116821	0.0892764	0.10206
a41	0.0536781	0.055362	0.0700938	0.122293	0.207706	0.158298	0.160491	0.172077
a30	0.0546496	0.0572608	0.0711603	0.114452	0.246604	0.178337	0.136862	0.140674
a35	0.0723132	0.0725824	0.0788787	0.104162	0.237962	0.161837	0.121226	0.151037
a73	0.0470443	0.047315	0.0544787	0.0772296	0.178048	0.178616	0.180954	0.236314
a25	0.0392177	0.0396942	0.0473704	0.0662459	0.184892	0.170645	0.209098	0.242837
a32	0.0361829	0.0346982	0.0404051	0.0526674	0.165474	0.198515	0.226201	0.245855
a41	0.0263267	0.0245258	0.0282916	0.0408617	0.124017	0.211382	0.27254	0.272055
a35	0.0332175	0.0310828	0.0359489	0.0534056	0.152912	0.231255	0.244351	0.217828
a41	0.0278888	0.0277149	0.0320351	0.0406922	0.100632	0.188054	0.292258	0.290725
a26	0.0208723	0.0198458	0.0228732	0.0346767	0.1033	0.195315	0.285437	0.31768
a98	0.0166647	0.0134097	0.0122377	0.0146157	0.0349188	0.0836785	0.257083	0.567392
a41	0.0410527	0.0338181	0.0324534	0.0344659	0.0826767	0.141232	0.24294	0.391361
a73	0.0243832	0.0217712	0.0232264	0.031993	0.0840031	0.161852	0.273738	0.379033
a2	0.0311006	0.0261237	0.0247429	0.025834	0.0637355	0.123412	0.243951	0.461101
a57	0.0166856	0.012572	0.0114528	0.0098274	0.0208506	0.0658927	0.21021	0.652509
a87	0.0214036	0.0121205	0.011261	0.0102845	0.0227329	0.0518844	0.176184	0.69413
</S>	0.0117308	0.00524717	0.00413846	0.00401705	0.0201413	0.0545205	0.198899	0.701306
