 	il	faut	que	cela	soit	bien	cuit	</S>
a23	0.348684	0.263188	0.125734	0.0933125	0.0597286	0.038982	0.0361007	0.03427
a85	0.370945	0.235874	0.141445	0.105337	0.0663515	0.0250393	0.0225507	0.0324573
a87	0.236843	0.195382	0.145282	0.149629	0.0940042	0.0531715	0.0476832	0.078005
a23	0.25238	0.21741	0.196076	0.133581	0.0582016	0.0277151	0.037213	0.0774242
a40	0.201466	0.128206	0.101856	0.0847146	0.0473822	0.0474899	0.101028	0.287858
a20	0.313783	0.196276	0.114763	0.163938	0.100042	0.0555866	0.0320854	0.023526
a26	0.247301	0.224606	0.192401	0.221667	0.0843068	0.0166441	0.00718825	0.00588672
a38	0.19195	0.173442	0.174936	0.202888	0.143715	0.0539701	0.0309251	0.0281731
a43	0.183337	0.168174	0.168585	0.167724	0.141898	0.0805882	0.0462848	0.0434085
a41	0.147588	0.159126	0.17494	0.166954	0.140246	0.105165	0.0588212	0.0471589
a18	0.116227	0.134714	0.144826	0.133449	0.147671	0.15639	0.0898679	0.076854
a61	0.0758055	0.0947338	0.13101	0.140904	0.151725	0.161891	0.127852	0.11608
a24	0.101237	0.111056	0.145848	0.141505	0.131413	0.132097	0.121507	0.115337
a31	0.0465912	0.0460626	0.0429987	0.040731	0.0747087	0.183626	0.256569	0.308713
a24	0.0829781	0.0729069	0.0557759	0.0479323	0.0826997	0.194195	0.214477	0.249035
a88	0.0606153	0.0501435	0.0335615	0.0272054	0.0451867	0.16274	0.247784	0.372764
a24	0.097951	0.0813913	0.0501105	0.0336355	0.0371186	0.125148	0.206395	0.36825
a76	0.0522985	0.0397272	0.0240343	0.0179602	0.0270491	0.122391	0.251872	0.464667
a94	0.0162527	0.0099818	0.00705347	0.00660295	0.019148	0.11687	0.304109	0.519983
a58	0.0159345	0.00909853	0.00561238	0.00470399	0.0109633	0.0888711	0.273778	0.591039
a82	0.0124741	0.00646121	0.00415323	0.00336226	0.00736053	0.0648564	0.249093	0.652239
a10	0.00591895	0.00271467	0.00158915	0.00135279	0.00267639	0.0292627	0.186999	0.769487
a38	0.004771	0.00273842	0.00163098	0.00145651	0.00281196	0.0297052	0.198746	0.75814
a41	0.00158319	0.000834992	0.00045359	0.000392408	0.00109596	0.0215386	0.228443	0.745658
a18	0.00260414	0.00141862	0.00131733	0.00159189	0.00464642	0.0640782	0.28631	0.638034
a25	0.000675877	0.000321503	0.000258507	0.000312457	0.0012278	0.026748	0.223675	0.746781
a87	0.000894135	0.000431777	0.000388008	0.000499538	0.00121217	0.0178175	0.186073	0.792683
</S>	0.00223453	0.00138317	0.00105302	0.000998138	0.00235716	0.0209448	0.175533	0.795496
