 	l'	homme	partit	et	aussitôt	la	femme	se	changea	en	oiseau	</S>
a23	0.207324	0.164857	0.169467	0.14056	0.0929813	0.0589184	0.0392028	0.0344956	0.0325413	0.0235755	0.0197235	0.0163545
a87	0.367814	0.201773	0.125339	0.073841	0.0540165	0.0358303	0.0235553	0.0187697	0.0164547	0.0224249	0.0299265	0.0302551
a23	0.18936	0.130032	0.113262	0.082287	0.0934843	0.0687324	0.0510237	0.0388992	0.0307238	0.0442058	0.0716596	0.0863304
a50	0.27372	0.178722	0.142221	0.106154	0.116202	0.0397293	0.0205575	0.0150375	0.0127352	0.0205519	0.0322145	0.0421558
a13	0.343422	0.301742	0.138006	0.109599	0.0611289	0.0151852	0.00732669	0.00565778	0.00455825	0.00453571	0.00437089	0.00446798
a38	0.321086	0.239722	0.107808	0.103248	0.0891909	0.0359741	0.022746	0.0193734	0.0157474	0.0155931	0.0143992	0.0151121
a15	0.182722	0.173577	0.120531	0.129791	0.126916	0.0677917	0.0492947	0.0399879	0.0314117	0.0247878	0.0242685	0.0289218
a73	0.119579	0.131847	0.126669	0.158952	0.169261	0.09411	0.0595478	0.0417868	0.0305322	0.0220416	0.0214375	0.0242357
a90	0.0958674	0.119733	0.120797	0.142745	0.162848	0.105714	0.0684887	0.0506139	0.0406059	0.029939	0.0296656	0.0329832
a57	0.0757721	0.0973988	0.110144	0.132682	0.14284	0.114182	0.0849802	0.0646449	0.0499796	0.0341922	0.0396713	0.0535128
a10	0.0862973	0.11294	0.120331	0.131661	0.133274	0.110561	0.0847575	0.064846	0.0489771	0.0304274	0.0336091	0.0423186
a24	0.0482531	0.0718702	0.109265	0.125664	0.139948	0.126582	0.10499	0.0781131	0.0610178	0.0386827	0.0422822	0.0533323
a9	0.0457059	0.0664752	0.129072	0.156606	0.170363	0.137479	0.105305	0.0729868	0.0460902	0.0203025	0.0215988	0.0280161
a87	0.0320235	0.0428593	0.0976605	0.122566	0.163731	0.1569	0.125334	0.0891258	0.0614288	0.0299587	0.0322032	0.0462084
a23	0.0363366	0.0472575	0.103816	0.128179	0.1575	0.137521	0.103501	0.0864196	0.0679875	0.0347058	0.03834	0.0584368
a53	0.0370023	0.0360097	0.0683514	0.0898015	0.104867	0.11443	0.108476	0.0998109	0.0985305	0.0637046	0.065127	0.113889
a13	0.0510477	0.0501574	0.0757053	0.106094	0.126273	0.112233	0.0819719	0.0701322	0.0648925	0.0695641	0.0850414	0.106887
a38	0.0322996	0.0340979	0.062451	0.0853322	0.11521	0.135763	0.115849	0.100633	0.0888074	0.0648936	0.0703372	0.0943263
a90	0.0220572	0.0242714	0.046971	0.0685486	0.103383	0.139152	0.133626	0.121636	0.110825	0.0722222	0.0690968	0.0882116
a94	0.015605	0.0159417	0.0259688	0.0411412	0.0652189	0.102816	0.108511	0.105793	0.11736	0.110717	0.12938	0.161547
a98	0.0259907	0.0247395	0.0388401	0.0602873	0.0970451	0.124044	0.11428	0.103409	0.10001	0.0823709	0.096987	0.131996
a73	0.0189758	0.0198782	0.0336711	0.0556361	0.0851512	0.106395	0.0938043	0.082147	0.081554	0.0898132	0.13059	0.202384
a84	0.0193551	0.0173014	0.028407	0.0499106	0.0764826	0.0914157	0.0819697	0.0728351	0.0791921	0.101507	0.145144	0.23648
a40	0.0171714	0.0149358	0.027801	0.0419679	0.0667838	0.0890958	0.0948462	0.0895008	0.100809	0.0979137	0.127239	0.231935
a98	0.045572	0.0314009	0.0339159	0.0512113	0.0591134	0.0627169	0.0656109	0.0619402	0.0770541	0.108628	0.153539	0.249297
a73	0.0228067	0.0204291	0.0289967	0.0515315	0.0672546	0.0653874	0.0683229	0.0681473	0.0832615	0.116538	0.166254	0.24107
a84	0.0119786	0.0114092	0.0205782	0.0362561	0.0487011	0.0619976	0.0628219	0.0627002	0.0737771	0.112556	0.186685	0.310538
a87	0.00845333	0.00703737	0.0118392	0.0182394	0.030959	0.0477646	0.0574574	0.0588795	0.0772535	0.120383	0.199521	0.362213
a23	0.00632662	0.00387058	0.00458254	0.00546577	0.00848123	0.0157953	0.0161666	0.0199199	0.031121	0.114377	0.281264	0.492629
a79	0.00906644	0.00417653	0.0047249	0.00439938	0.00682106	0.0136985	0.0139396	0.0185475	0.0289036	0.117513	0.286832	0.491377
a4	0.0309877	0.0135505	0.0140662	0.0171551	0.0209873	0.0245312	0.0243938	0.0288726	0.0432109	0.1268	0.234973	0.420472
a70	0.0116611	0.00906266	0.0138331	0.0190053	0.0258504	0.0387986	0.042283	0.0466339	0.0595874	0.133429	0.250775	0.34908
a88	0.0112749	0.00971697	0.0123638	0.0166396	0.0225211	0.0339158	0.035862	0.0390361	0.0506977	0.116988	0.251444	0.399541
a90	0.00847627	0.00672531	0.0092156	0.0109169	0.0152753	0.0220902	0.0249326	0.0284633	0.0401004	0.110047	0.270159	0.453598
a15	0.0206466	0.0173254	0.0218556	0.0285542	0.0324995	0.0397325	0.0483948	0.0545206	0.074993	0.124565	0.208004	0.32891
