 	la	hotte	en	question	est	cassé	prends-la	et	ramène-la	</S>
a66	0.305772	0.222776	0.123257	0.122238	0.082764	0.0759227	0.0365823	0.012476	0.0113599	0.00685321
a87	0.521187	0.221859	0.0640693	0.0616858	0.044993	0.0345249	0.0203353	0.0114837	0.0103944	0.00946751
a23	0.505951	0.256999	0.0808189	0.0552874	0.0346392	0.0270599	0.0134143	0.00833608	0.007029	0.0104657
a38	0.320946	0.178947	0.0868253	0.0788841	0.05824	0.059979	0.0380981	0.0520532	0.0495028	0.0765247
a94	0.13185	0.086781	0.0658839	0.0853506	0.075665	0.084098	0.066539	0.0977681	0.15765	0.148414
a20	0.163513	0.198863	0.161277	0.133275	0.0947468	0.074791	0.0352157	0.0310595	0.0500444	0.0572144
a79	0.134903	0.187533	0.197351	0.154093	0.119294	0.090665	0.0355724	0.0199254	0.0314694	0.0291943
a76	0.0986797	0.165834	0.237519	0.158708	0.125055	0.0913976	0.0502229	0.0209281	0.0279573	0.0236991
a15	0.0682201	0.110586	0.184951	0.147041	0.135118	0.0984184	0.0893718	0.0422867	0.0616176	0.0623904
a79	0.0522431	0.0766965	0.11682	0.0986534	0.108119	0.086234	0.122619	0.0679136	0.11032	0.160382
a85	0.0556153	0.0797914	0.14157	0.130743	0.147276	0.128088	0.115326	0.0454844	0.0615764	0.0945285
a5	0.0257476	0.03761	0.0710917	0.103418	0.136104	0.130494	0.162063	0.0944164	0.105722	0.133334
a23	0.0313883	0.0404261	0.0743067	0.135276	0.176896	0.187526	0.15563	0.0740933	0.0682708	0.0561868
a94	0.0157102	0.0214884	0.0444759	0.114896	0.169705	0.200065	0.172128	0.097433	0.0906424	0.0734567
a96	0.00915714	0.0133921	0.0221782	0.0597897	0.119885	0.233939	0.202936	0.120006	0.112913	0.105805
a66	0.0157141	0.0214103	0.0286593	0.0589414	0.097927	0.177059	0.189313	0.125529	0.115922	0.169525
a43	0.0306331	0.0454126	0.0661345	0.130515	0.163251	0.224218	0.151774	0.0712404	0.0495971	0.0672252
a56	0.0345403	0.0376922	0.0478651	0.0868285	0.114418	0.18214	0.169891	0.121237	0.0885145	0.116874
a12	0.0175125	0.0212377	0.0271971	0.0550008	0.0747469	0.118293	0.13358	0.146587	0.170445	0.235401
a47	0.00762199	0.0101719	0.0147318	0.0348877	0.0567915	0.0968879	0.145489	0.177523	0.190701	0.265194
a21	0.00823797	0.0111342	0.0166081	0.0376408	0.0573885	0.0918037	0.127524	0.160921	0.162849	0.325893
a6	0.00474916	0.00564344	0.00721585	0.015738	0.0291524	0.0570839	0.118453	0.183749	0.187691	0.390524
a36	0.00138639	0.00192241	0.00327387	0.00941034	0.0222691	0.0436789	0.112232	0.20597	0.201028	0.398829
a2	0.00480053	0.00580368	0.00865325	0.0191202	0.0306285	0.0434365	0.0739305	0.188778	0.180268	0.444581
a57	0.0366059	0.0325426	0.031776	0.0451476	0.0574374	0.0670902	0.0923265	0.133241	0.135447	0.368386
a87	0.0739648	0.0477584	0.0414093	0.0519411	0.0575788	0.0608709	0.0781743	0.107558	0.144211	0.336533
a23	0.0916452	0.0392995	0.0276506	0.0293359	0.0290325	0.0277897	0.0470457	0.0689129	0.181421	0.457866
a13	0.0167326	0.00719875	0.00634922	0.0101578	0.0134826	0.0189916	0.0719663	0.134804	0.211623	0.508694
a53	0.00165019	0.00111955	0.00220786	0.00842395	0.014715	0.0271501	0.0694096	0.166003	0.281637	0.427684
a20	0.00152954	0.00160339	0.00424428	0.0160939	0.0262792	0.045168	0.0658665	0.0950771	0.309081	0.435057
a94	0.00229063	0.00229306	0.00550182	0.0123129	0.0174083	0.0267354	0.0534796	0.0933018	0.260031	0.526645
a76	0.000320139	0.000392386	0.000952032	0.00273224	0.00476165	0.00989474	0.0239583	0.0661209	0.207434	0.683434
a25	0.00194452	0.00218282	0.00468565	0.00890872	0.0117045	0.018019	0.0476746	0.107906	0.194017	0.602957
a69	0.000140352	0.000182266	0.000409465	0.00141646	0.00327074	0.00651342	0.0279042	0.0941218	0.149711	0.716331
a93	0.000137481	0.000150121	0.000200361	0.000566267	0.00140362	0.00300778	0.0119502	0.0472303	0.0997626	0.835591
a4	0.000402994	0.000457594	0.000607482	0.00142393	0.00289479	0.00618643	0.0178769	0.0528265	0.114199	0.803125
a94	0.00042405	0.000411698	0.000532991	0.00145305	0.00305359	0.00588421	0.016096	0.0520132	0.134396	0.785735
a43	0.000493544	0.000467069	0.000604976	0.00181896	0.00377364	0.00667461	0.0177359	0.0586176	0.148626	0.761187
a75	0.000711793	0.000726077	0.00107616	0.00340983	0.00698815	0.0121687	0.0256042	0.0760893	0.183326	0.6899
a92	0.00019077	0.000176988	0.000295227	0.000883365	0.00213336	0.00402518	0.0178823	0.0800206	0.122063	0.772329
a85	0.00021673	0.000222147	0.000352402	0.000899786	0.00192291	0.00370542	0.0147439	0.0666543	0.0903733	0.820909
a6	0.000298668	0.000356899	0.00063809	0.00164701	0.00431555	0.00843106	0.0327738	0.110715	0.10626	0.734563
a37	0.000265783	0.000303291	0.000521618	0.0013725	0.00356095	0.00662704	0.0252691	0.088508	0.117067	0.756505
a79	0.000431026	0.000526703	0.000896164	0.00243687	0.00601709	0.00964177	0.03155	0.0943213	0.155132	0.699048
a7	0.000376895	0.000426782	0.000719194	0.00193697	0.00490774	0.00765108	0.0248135	0.0864201	0.157144	0.715604
a84	0.000676387	0.000597306	0.000861234	0.00186046	0.00426606	0.00623602	0.0209501	0.0888399	0.208854	0.666858
a87	0.0295106	0.0174379	0.0155907	0.0229767	0.0302975	0.0331986	0.0710148	0.197877	0.224875	0.357221
a23	0.392484	0.22977	0.106238	0.0796108	0.0515837	0.0331296	0.0288059	0.0205716	0.027916	0.0298906
a87	0.114852	0.0742102	0.0435158	0.0471635	0.0403151	0.0366638	0.0825567	0.122655	0.178013	0.260055
</S>	0.0156107	0.00832786	0.00550661	0.00621584	0.00827677	0.0111669	0.0502885	0.136129	0.206791	0.551687
