 	il	pleut	et	il	y	a	des	éclairs	</S>
a23	0.141351	0.134869	0.157543	0.168121	0.177432	0.11553	0.0536682	0.0297111	0.0217748
a18	0.10935	0.0595991	0.0782616	0.10055	0.156151	0.193198	0.128869	0.0918889	0.0821336
a11	0.231515	0.159369	0.10318	0.082531	0.0717678	0.0662154	0.0665174	0.0961474	0.122756
a90	0.405578	0.290246	0.11463	0.0689345	0.0436324	0.0251963	0.0164507	0.0150815	0.0202511
a76	0.470962	0.260678	0.0850839	0.0552115	0.0433393	0.0272928	0.0208226	0.0187391	0.0178707
a85	0.294348	0.211499	0.0991347	0.0848433	0.0833331	0.0629846	0.0568334	0.0542532	0.0527704
a61	0.264695	0.243702	0.123847	0.0908348	0.0766468	0.0501485	0.0448169	0.0528218	0.0524873
a75	0.230401	0.277282	0.16579	0.111026	0.0834756	0.0453526	0.0289268	0.0271249	0.0306218
a73	0.209259	0.221407	0.153546	0.115062	0.0912597	0.0542364	0.0399798	0.0487123	0.0665376
a84	0.164796	0.195104	0.175739	0.127892	0.100844	0.0566427	0.0433221	0.0574849	0.0781755
a57	0.109374	0.118446	0.158814	0.131042	0.103996	0.0864654	0.0784511	0.0709655	0.142446
a83	0.0884007	0.083124	0.123586	0.108499	0.0893368	0.0896519	0.104332	0.111883	0.201187
a9	0.141929	0.135961	0.162251	0.130947	0.0917573	0.0667323	0.059394	0.0685191	0.142509
a57	0.0538765	0.0543656	0.0964636	0.0952626	0.0813158	0.0839849	0.122941	0.157443	0.254348
a53	0.0443963	0.0423512	0.0787495	0.0842563	0.087427	0.105817	0.145774	0.178028	0.2332
a93	0.0616703	0.0626926	0.0940324	0.0975978	0.100981	0.110723	0.114362	0.134699	0.223242
a75	0.0368683	0.0335066	0.0551597	0.0600936	0.0693485	0.101334	0.145081	0.209353	0.289255
a61	0.0346469	0.032401	0.0530859	0.0556233	0.0595134	0.0723001	0.0989324	0.191729	0.401767
a47	0.0117579	0.010365	0.0189808	0.0223842	0.0292876	0.0531272	0.10858	0.273464	0.472053
a62	0.0075389	0.00592518	0.0105922	0.0139225	0.0199784	0.042916	0.105878	0.327844	0.465406
a21	0.00645381	0.00494874	0.00889358	0.012143	0.0182136	0.0383287	0.0871355	0.276241	0.547642
a61	0.00781135	0.00535449	0.0101142	0.0122871	0.0177029	0.034105	0.0757213	0.221785	0.615119
a83	0.0060547	0.00339115	0.00905958	0.014051	0.0219569	0.0480766	0.103992	0.209793	0.583626
a62	0.00492853	0.00256866	0.00844953	0.0133126	0.0203121	0.0445833	0.10056	0.190932	0.614353
a50	0.00543309	0.00289424	0.007838	0.0125335	0.0193169	0.0414674	0.102823	0.234456	0.573237
a98	0.00557375	0.00330586	0.00907568	0.0135866	0.0195152	0.0383636	0.0914881	0.22898	0.590111
a71	0.00507507	0.00331728	0.00697092	0.00890727	0.0128877	0.0266235	0.0533618	0.141166	0.741691
a9	0.0377423	0.0167863	0.0285205	0.0344312	0.0488749	0.073589	0.101209	0.158035	0.500811
a87	0.0626643	0.0194198	0.0241284	0.0287329	0.0444277	0.0650729	0.099356	0.151135	0.505063
a23	0.074242	0.0295913	0.0424777	0.0546531	0.0846064	0.0981073	0.104937	0.167195	0.34419
a87	0.039486	0.0166209	0.017454	0.0223535	0.0314818	0.0511546	0.106849	0.261658	0.452942
</S>	0.00948834	0.00466115	0.00884989	0.0113017	0.0211347	0.0430377	0.0981339	0.271134	0.532258
