 	ma	mère	rentre	du	champ	chaque	soir	</S>
a23	0.396062	0.323437	0.165555	0.0656195	0.0222012	0.0100834	0.00783364	0.00920786
a99	0.307543	0.261006	0.231989	0.0754494	0.0445474	0.0312644	0.0236638	0.024536
a53	0.0872313	0.111708	0.144759	0.0984182	0.114567	0.143166	0.129739	0.170411
a15	0.26582	0.206912	0.261879	0.0837914	0.0578402	0.0369041	0.0385127	0.0483404
a79	0.148149	0.159859	0.271939	0.120566	0.0963519	0.0669455	0.0638516	0.0723382
a85	0.142704	0.143862	0.226273	0.105752	0.088025	0.0912115	0.0859747	0.116197
a47	0.165745	0.132563	0.190225	0.0961879	0.082737	0.0988446	0.108234	0.125463
a79	0.26418	0.168177	0.142731	0.0793817	0.0688291	0.0796314	0.095975	0.101095
a92	0.175709	0.140513	0.1665	0.10754	0.0811855	0.0964559	0.112935	0.119162
a85	0.0959721	0.0735823	0.0831621	0.0795776	0.0940436	0.154744	0.209105	0.209814
a47	0.0624962	0.0467099	0.0592151	0.0901851	0.122626	0.168826	0.222247	0.227696
a37	0.0463237	0.0336596	0.0347439	0.0427735	0.0659858	0.180868	0.268128	0.327517
a56	0.0215444	0.0217011	0.0346906	0.0453721	0.0677326	0.169184	0.270581	0.369194
a34	0.00427895	0.00454609	0.00979594	0.0233421	0.0501151	0.135624	0.295221	0.477077
a92	0.000803999	0.00104948	0.00254822	0.0111676	0.0402745	0.142099	0.320938	0.48112
a36	0.00140814	0.00180312	0.00426878	0.0113136	0.0337882	0.144826	0.32044	0.482152
a90	0.00295182	0.00565151	0.0141087	0.0480727	0.110134	0.236003	0.26883	0.314248
a44	0.00100029	0.00195421	0.00508785	0.0189828	0.0534206	0.156578	0.304196	0.45878
a53	0.000610401	0.00131724	0.00457877	0.0185278	0.0515278	0.196866	0.297563	0.429009
a4	0.00068048	0.00134301	0.00335753	0.0127206	0.0359097	0.14706	0.306219	0.49271
a57	0.0016719	0.0025911	0.00523236	0.0115935	0.0307356	0.139347	0.316237	0.492591
a82	0.00165189	0.00274638	0.0073198	0.0250111	0.0595512	0.143474	0.281553	0.478693
a87	0.0461251	0.0404373	0.0568007	0.0683204	0.081824	0.107977	0.225475	0.37304
a23	0.20951	0.255967	0.169447	0.0986879	0.0560504	0.0527773	0.0646468	0.0929138
a99	0.0250779	0.0302208	0.0348414	0.0650588	0.137102	0.168981	0.252542	0.286176
a9	0.00437318	0.00427185	0.00637978	0.0237681	0.0979614	0.222522	0.317336	0.323388
</S>	0.000989212	0.00125729	0.00394783	0.0267182	0.118857	0.237971	0.30314	0.307119
