 	les	pêcheurs	ont	rapporté	beaucoup	de	poisson	</S>
a85	0.410086	0.251847	0.0785888	0.0403807	0.0416209	0.0441924	0.0630687	0.0702151
a87	0.183382	0.0988504	0.0658483	0.0603724	0.0631275	0.0883099	0.180417	0.259693
a23	0.346606	0.184798	0.0839177	0.0455123	0.0446304	0.0563306	0.0993861	0.138819
a40	0.156272	0.110063	0.0405996	0.0194207	0.033029	0.0803375	0.203833	0.356445
a73	0.263801	0.164251	0.069152	0.0390132	0.0764459	0.10228	0.138265	0.146793
a94	0.312326	0.242881	0.164465	0.0858691	0.0737466	0.0455002	0.0411131	0.0340989
a20	0.303062	0.207596	0.149986	0.0966783	0.0771662	0.0562546	0.0559025	0.0533539
a69	0.193263	0.138805	0.126953	0.12595	0.137231	0.0977115	0.0927402	0.0873465
a94	0.233938	0.156481	0.128609	0.0945894	0.117253	0.0878174	0.0888809	0.0924304
a98	0.142493	0.0933482	0.0871212	0.139345	0.170593	0.120388	0.121401	0.125309
a71	0.134061	0.0941476	0.0849095	0.141145	0.202875	0.12078	0.113221	0.108861
a25	0.171873	0.120266	0.0775481	0.107121	0.142569	0.113974	0.127488	0.139161
a87	0.126889	0.0990298	0.0709801	0.0865969	0.140012	0.11397	0.15791	0.204612
a23	0.0513734	0.0415048	0.0517222	0.0771767	0.138908	0.139514	0.222554	0.277247
a40	0.0547074	0.0340869	0.0314946	0.0399722	0.111831	0.150844	0.250212	0.326852
a41	0.029497	0.0266334	0.0371193	0.0827727	0.175745	0.172657	0.215271	0.260305
a43	0.026293	0.0257203	0.0343764	0.071693	0.180351	0.210789	0.241753	0.209025
a24	0.0119226	0.0124265	0.0125693	0.0311911	0.113962	0.203189	0.305309	0.309432
a41	0.0149568	0.0158277	0.015613	0.0330337	0.099193	0.18084	0.292553	0.347982
a94	0.0204587	0.0196426	0.0180811	0.0240732	0.078295	0.163341	0.292208	0.3839
a20	0.0263837	0.0236048	0.0173022	0.0195648	0.0620653	0.134116	0.285411	0.431552
a73	0.0145389	0.012655	0.0119589	0.0158372	0.0641231	0.152662	0.314048	0.414178
a0	0.00521955	0.00459697	0.00508093	0.00775802	0.0386369	0.116341	0.305096	0.51727
a11	0.00433494	0.003857	0.00279757	0.00333987	0.0171668	0.0647593	0.240221	0.663524
a41	0.0117024	0.00929614	0.00622811	0.00563357	0.0204656	0.0609724	0.217706	0.667996
a18	0.00603971	0.00471332	0.00423072	0.0047756	0.0197777	0.0737672	0.248377	0.638319
a71	0.00794442	0.00565522	0.00344864	0.00444228	0.0284942	0.0980752	0.266224	0.585716
a62	0.0105115	0.00704699	0.00373081	0.00438652	0.0286905	0.0869055	0.239155	0.619573
a24	0.012997	0.0079948	0.00473009	0.00549543	0.0199793	0.0699112	0.243372	0.63552
a98	0.0103564	0.00730753	0.00459105	0.00494871	0.0206603	0.0753654	0.252312	0.624459
a71	0.00730854	0.00385923	0.00315628	0.00405429	0.0208702	0.0786535	0.258096	0.624002
a9	0.00733443	0.00518772	0.00260296	0.002149	0.0148708	0.0669148	0.243761	0.65718
a87	0.00946391	0.00684878	0.00444985	0.00402886	0.0221758	0.0665334	0.222262	0.664237
</S>	0.00852631	0.00651245	0.00681487	0.00777281	0.0302874	0.0907669	0.257937	0.591383
