 	j'	ai	pressé	des	citrons	hier	</S>
a66	0.244803	0.133425	0.0927485	0.105224	0.180988	0.162599	0.0802118
a82	0.143637	0.127028	0.109014	0.144186	0.278958	0.118442	0.0787345
a83	0.395128	0.254279	0.127358	0.0836649	0.08004	0.0309651	0.0285645
a31	0.532608	0.291348	0.0931444	0.042027	0.0171374	0.0118532	0.011882
a61	0.422311	0.301159	0.119318	0.0742089	0.0308944	0.0288566	0.0232522
a24	0.327681	0.344463	0.191818	0.0894229	0.0226207	0.0138635	0.0101311
a21	0.241143	0.315751	0.273049	0.123804	0.0207056	0.0136028	0.0119454
a85	0.284433	0.291846	0.242193	0.114538	0.0344969	0.0210237	0.0114696
a61	0.201151	0.240043	0.245175	0.200158	0.0513035	0.0383145	0.0238548
a85	0.16051	0.177925	0.251929	0.218686	0.0862095	0.0615961	0.0431441
a47	0.101582	0.108067	0.132663	0.243636	0.166846	0.147251	0.0999553
a36	0.0898081	0.0695233	0.0830257	0.161447	0.199366	0.216859	0.179971
a26	0.0444916	0.0359148	0.0381584	0.0633154	0.137136	0.259026	0.421958
a90	0.024495	0.0192214	0.015007	0.021001	0.082643	0.250125	0.587507
a20	0.012913	0.00929778	0.0081365	0.019061	0.11369	0.38073	0.456171
a7	0.0166501	0.0100478	0.00444849	0.0116003	0.0511597	0.292897	0.613196
a26	0.00589911	0.00401334	0.00199671	0.00438938	0.0346896	0.222481	0.726531
a58	0.0209561	0.0142864	0.00635696	0.0127367	0.0642744	0.241168	0.640221
a82	0.0428657	0.026497	0.0125923	0.0231527	0.0844747	0.246327	0.564091
a3	0.208695	0.089789	0.0476301	0.0493286	0.0735661	0.186526	0.344466
a82	0.297503	0.112837	0.0427626	0.0319249	0.0464631	0.166976	0.301533
a97	0.247926	0.11908	0.045996	0.0342781	0.0604158	0.197926	0.294377
a82	0.211019	0.113976	0.0382165	0.0352454	0.0856682	0.205023	0.310851
a10	0.245804	0.165761	0.0548425	0.0513139	0.0807503	0.160671	0.240858
a82	0.281685	0.200619	0.0712786	0.0578548	0.075258	0.132343	0.180962
a10	0.290994	0.18984	0.0706476	0.066993	0.0829716	0.119245	0.179309
</S>	0.301596	0.182261	0.0668003	0.0587689	0.0792851	0.126348	0.184941
