 	vous	dansez	mal	</S>
a66	0.532994	0.169989	0.148144	0.148873
a10	0.419087	0.256815	0.15923	0.164868
a87	0.353975	0.369788	0.158109	0.118127
a97	0.437073	0.371687	0.120347	0.0708931
a62	0.424005	0.353948	0.131606	0.0904403
a21	0.692081	0.237424	0.0448648	0.0256303
a47	0.631016	0.320674	0.0317698	0.0165407
a21	0.534686	0.388185	0.0496592	0.0274697
a56	0.602249	0.343384	0.0350461	0.019321
a75	0.538354	0.369267	0.0557569	0.0366225
a43	0.366239	0.46539	0.101989	0.0663817
a21	0.086195	0.210394	0.302889	0.400521
a5	0.0813072	0.223466	0.311034	0.384193
a36	0.0250563	0.0997887	0.328715	0.54644
a54	0.00376018	0.0165869	0.235178	0.744475
a6	0.00371938	0.0169919	0.212725	0.766563
a36	0.00334495	0.0147957	0.196563	0.785297
a2	0.00574236	0.024577	0.269204	0.700476
a57	0.0941206	0.182504	0.272753	0.450623
a97	0.179031	0.218444	0.261354	0.341171
a10	0.120709	0.1106	0.318131	0.450559
a97	0.092684	0.124313	0.322428	0.460575
</S>	0.085889	0.161767	0.295058	0.457287
