 	il	se	trouve	là	où	on	vend	la	viande	</S>
a15	0.255229	0.150923	0.106025	0.107079	0.118767	0.0931494	0.0720751	0.0388201	0.0297603	0.0281718
a10	0.16426	0.109448	0.0980342	0.138458	0.102864	0.0813296	0.0882743	0.0698401	0.0708408	0.0766516
a30	0.20407	0.131512	0.0987969	0.0985352	0.0713461	0.0552695	0.060066	0.0657413	0.0845634	0.1301
a53	0.293588	0.219348	0.147414	0.0899019	0.0533701	0.0369135	0.0304974	0.0300213	0.0379237	0.0610219
a98	0.228684	0.146529	0.0857596	0.0750081	0.0700097	0.0799773	0.0810489	0.0650002	0.0747125	0.0932705
a92	0.353327	0.270969	0.149491	0.0510487	0.035012	0.0306657	0.01883	0.0251688	0.0287959	0.0366922
a37	0.33465	0.307533	0.19728	0.0544947	0.0331297	0.0254042	0.0120487	0.0105285	0.0110139	0.0139165
a21	0.268127	0.292679	0.229445	0.0763894	0.0424882	0.0338307	0.0162715	0.0126579	0.0131624	0.0149492
a96	0.303283	0.288587	0.218899	0.0740928	0.0422791	0.0319152	0.0145896	0.0087704	0.00829084	0.00929332
a70	0.177914	0.20598	0.23995	0.135015	0.0757792	0.0610159	0.0289856	0.021538	0.0244949	0.0293278
a21	0.131911	0.164649	0.233346	0.179269	0.102226	0.0804612	0.0343569	0.0224709	0.0234004	0.02791
a47	0.154417	0.175021	0.214666	0.160374	0.105042	0.0800103	0.0419072	0.0238785	0.0213878	0.0232965
a21	0.0911658	0.105934	0.153062	0.189604	0.139067	0.11594	0.075617	0.0440867	0.0414549	0.0440676
a47	0.134119	0.138756	0.157772	0.151599	0.12031	0.0951849	0.068303	0.0474487	0.0430784	0.0434289
a88	0.0602543	0.0633879	0.0890169	0.160482	0.150754	0.139647	0.118099	0.0754085	0.0700906	0.0728601
a71	0.0313927	0.0322588	0.0437626	0.101403	0.135666	0.154749	0.171313	0.121231	0.104687	0.103536
a62	0.0182188	0.0188276	0.0208411	0.0462409	0.0813869	0.0927285	0.111363	0.141958	0.210471	0.257965
a21	0.0181364	0.0181237	0.0192626	0.0385745	0.0647463	0.079085	0.118527	0.145049	0.215587	0.282909
a85	0.0241523	0.024177	0.0290611	0.0554707	0.0877891	0.105481	0.171671	0.165602	0.172163	0.164432
a44	0.020503	0.0180497	0.0180382	0.0329069	0.047114	0.0550549	0.104538	0.140044	0.242435	0.321317
a98	0.00392664	0.00360149	0.00431126	0.0111125	0.019657	0.0259358	0.0609823	0.120135	0.284877	0.46546
a47	0.00364428	0.00309155	0.00360449	0.00733415	0.0116797	0.0160156	0.043009	0.118391	0.310449	0.482781
a5	0.0045449	0.00396047	0.00432298	0.00766258	0.0126422	0.0161106	0.0409351	0.121834	0.307386	0.480601
a61	0.00450525	0.00401156	0.00486652	0.0113232	0.0185306	0.0228392	0.0639561	0.14004	0.294783	0.435144
a41	0.000999954	0.000844758	0.00111736	0.00353953	0.00714711	0.0109788	0.0425503	0.122939	0.310464	0.499419
a6	0.00127781	0.00100564	0.00124387	0.00360087	0.00735214	0.0113548	0.0429323	0.13212	0.319167	0.479946
a37	0.000912969	0.00077549	0.00107567	0.00333527	0.00713289	0.0111835	0.0424641	0.142359	0.323074	0.467687
a66	0.000729385	0.00051829	0.000617471	0.00179476	0.00413175	0.00688346	0.0295909	0.0970379	0.284747	0.573949
a7	0.0111857	0.00645433	0.00560192	0.00978821	0.0189408	0.0255193	0.0712105	0.135075	0.273174	0.44305
a26	0.0170794	0.00981623	0.0091415	0.0155329	0.0255547	0.0350287	0.0883328	0.141679	0.24928	0.408555
a57	0.0597238	0.0298243	0.0245722	0.0405847	0.0601654	0.0708662	0.139409	0.148346	0.18492	0.241588
a10	0.0775087	0.0418195	0.0309394	0.0409635	0.0641984	0.0721845	0.139044	0.16421	0.179202	0.18993
a99	0.057789	0.0299306	0.0212181	0.0297164	0.047262	0.0531927	0.111319	0.177781	0.227326	0.244465
a87	0.0286751	0.0152715	0.0118316	0.0253312	0.0374096	0.0441808	0.0864464	0.160261	0.268811	0.321782
a23	0.0174439	0.0110383	0.0117351	0.0269124	0.0386175	0.0440824	0.0836749	0.14683	0.250069	0.369596
a97	0.00830432	0.00518464	0.00651411	0.0186094	0.0251029	0.0313386	0.0734119	0.15804	0.285127	0.388367
a87	0.00614829	0.00397741	0.00535467	0.0151866	0.0178668	0.0228053	0.0608917	0.126933	0.286718	0.454118
a97	0.0136453	0.00765811	0.0080615	0.0173578	0.0210139	0.0247905	0.0598552	0.121143	0.273265	0.453209
</S>	0.055057	0.0263087	0.020763	0.0306769	0.0309887	0.033158	0.0618477	0.117006	0.239245	0.384948
