 	si	je	vends	ma	parcelle	qui	boudera	contre	moi	</S>
a66	0.225787	0.151927	0.21112	0.130559	0.119631	0.0765988	0.0466099	0.0189301	0.0103542	0.00848349
a87	0.432235	0.298976	0.0876936	0.0456736	0.0420222	0.0336022	0.0323777	0.0113151	0.00842466	0.00768006
a23	0.525866	0.264531	0.106119	0.0376925	0.0183217	0.0127226	0.0152758	0.00715656	0.00629022	0.00602416
a13	0.426092	0.216616	0.0754845	0.0483899	0.0347279	0.0298843	0.035963	0.0256451	0.042931	0.0642664
a53	0.321224	0.194028	0.0946108	0.0585171	0.0376061	0.0303783	0.0441588	0.0446952	0.0696409	0.10514
a15	0.305458	0.249096	0.109691	0.0766642	0.0570648	0.040087	0.0405525	0.0343715	0.0432118	0.0438027
a79	0.185237	0.195248	0.0787142	0.0910258	0.0997462	0.0867914	0.0883967	0.0540074	0.0632846	0.0575487
a21	0.243172	0.276443	0.0887583	0.0827942	0.088659	0.0681849	0.0660003	0.0287444	0.0314952	0.0257482
a12	0.181829	0.203569	0.129876	0.116822	0.114213	0.0886979	0.0686123	0.0303086	0.0350267	0.0310459
a96	0.125243	0.168311	0.148816	0.160888	0.153244	0.10316	0.0658653	0.0280556	0.023878	0.022538
a18	0.0750957	0.115753	0.171619	0.190728	0.176914	0.112287	0.0679258	0.0315286	0.0278689	0.0302796
a88	0.0890569	0.093733	0.156059	0.165466	0.158812	0.111422	0.0801316	0.0472525	0.0462496	0.0518173
a62	0.0573611	0.0634107	0.136071	0.17087	0.184795	0.131163	0.0861829	0.0490529	0.0545502	0.0665439
a21	0.0340897	0.0478438	0.133965	0.217293	0.240651	0.151892	0.0789636	0.0333722	0.0296223	0.0323069
a5	0.0261412	0.0323693	0.102641	0.15405	0.199651	0.169674	0.121344	0.0594798	0.0578273	0.0768226
a56	0.0126118	0.0197502	0.0604532	0.120294	0.197074	0.180176	0.141599	0.0939407	0.0835841	0.0905174
a43	0.0133351	0.0187159	0.052081	0.099805	0.177903	0.189197	0.16517	0.112247	0.0861539	0.085392
a96	0.0178649	0.0204756	0.0481902	0.079801	0.146993	0.178718	0.161407	0.144451	0.105985	0.0961147
a44	0.0129947	0.0150906	0.0363314	0.0541722	0.0985412	0.134446	0.151121	0.192783	0.155974	0.148546
a75	0.0140267	0.0137424	0.0291022	0.0367854	0.0624464	0.089575	0.12129	0.224117	0.207085	0.20183
a6	0.00448178	0.00496572	0.0204254	0.0313586	0.0602926	0.0921628	0.111757	0.179607	0.208416	0.286533
a37	0.00854701	0.00922782	0.0264722	0.0366738	0.0623122	0.0897905	0.123896	0.187866	0.209741	0.245473
a6	0.0118079	0.00864704	0.0169591	0.0203941	0.0297821	0.046278	0.078191	0.171613	0.259051	0.357276
a36	0.0106263	0.00929483	0.0157877	0.0179351	0.0327076	0.056487	0.0865484	0.150931	0.26293	0.356752
a2	0.0409856	0.0289046	0.0385066	0.0310317	0.0299094	0.0396451	0.066159	0.131908	0.237527	0.355424
a57	0.126296	0.0975081	0.104087	0.103512	0.0943262	0.0725382	0.0535985	0.0634197	0.111843	0.172871
a87	0.128521	0.07342	0.0613002	0.0666954	0.0722651	0.0772851	0.080002	0.118027	0.154175	0.168309
a23	0.354315	0.141743	0.0517682	0.0373225	0.0390761	0.0474278	0.0731547	0.0711408	0.0904842	0.093568
a13	0.0645573	0.0351425	0.0164134	0.0180672	0.0361642	0.074148	0.169042	0.205819	0.201193	0.179454
a38	0.0147247	0.00825271	0.00888683	0.0214386	0.0449509	0.100904	0.169247	0.217839	0.225117	0.188639
a26	0.00491319	0.00271723	0.00406855	0.0115457	0.0277338	0.0633014	0.103412	0.186065	0.283053	0.313189
a70	0.00323442	0.00154406	0.00224437	0.0043626	0.00853886	0.0216744	0.0447753	0.116271	0.290993	0.506362
a56	0.00325348	0.00223201	0.00300249	0.00611359	0.0137384	0.0338899	0.0585002	0.132184	0.281148	0.465938
a92	0.00132558	0.0010009	0.00203755	0.00531201	0.0162038	0.0439951	0.0753995	0.174662	0.287869	0.392194
a37	0.000285823	0.000297753	0.00106054	0.00300784	0.0101229	0.031086	0.0674215	0.171862	0.322846	0.39201
a85	0.000738885	0.000681139	0.00136316	0.00270682	0.0065804	0.0148963	0.0334087	0.123749	0.307366	0.50851
a37	0.000182977	0.00016384	0.000434015	0.00117182	0.00361161	0.0105058	0.0301545	0.106386	0.319535	0.527855
a6	0.000634599	0.000433911	0.000765336	0.00121566	0.00259416	0.00732866	0.0221344	0.0968987	0.277579	0.590416
a36	0.000226299	0.000198578	0.000427062	0.000910672	0.00206239	0.00669488	0.0229332	0.0920753	0.311487	0.562985
a27	0.000592043	0.000455507	0.00070381	0.000930249	0.00171219	0.00479004	0.0167958	0.0769079	0.306514	0.590598
a57	0.0254052	0.0150579	0.014365	0.0158742	0.0182137	0.0263537	0.0487432	0.11649	0.255283	0.464214
a87	0.160735	0.0654757	0.0423633	0.0331552	0.0297369	0.0366056	0.0541953	0.0937163	0.18745	0.296566
a23	0.484746	0.175794	0.0440171	0.0272073	0.0243177	0.0244288	0.0313628	0.0385392	0.0655094	0.0840781
a99	0.131625	0.0730554	0.0213832	0.0286739	0.045756	0.0718605	0.114094	0.117476	0.190485	0.205591
a26	0.0474961	0.0223565	0.0141073	0.0392253	0.0462834	0.0560017	0.0731154	0.095933	0.214924	0.390557
</S>	0.00849836	0.00479892	0.00527662	0.0152303	0.019609	0.0295085	0.0422567	0.0679015	0.197653	0.609267
