 	range	tes	affaires	</S>
a23	0.654652	0.210421	0.0900594	0.0448669
a83	0.479232	0.209325	0.18062	0.130824
a90	0.656375	0.266007	0.0505858	0.0270324
a76	0.647088	0.282344	0.0499731	0.0205949
a35	0.666637	0.256292	0.0564314	0.0206399
a75	0.60182	0.268948	0.0891997	0.0400324
a35	0.381659	0.306756	0.207717	0.103868
a24	0.243838	0.293199	0.282847	0.180116
a41	0.0696248	0.185024	0.388406	0.356945
a30	0.0405141	0.154445	0.385759	0.419281
a35	0.0315136	0.124812	0.381554	0.46212
a94	0.044502	0.13484	0.320233	0.500425
a58	0.0328268	0.102279	0.291421	0.573474
a25	0.0190986	0.0678335	0.29302	0.620048
a87	0.00853942	0.0551681	0.265328	0.670965
</S>	0.0281991	0.14347	0.305796	0.522535
