 	même	s'	il	pleut	aujourd'	hui	j'	irai	en	forêt	</S>
a15	0.360359	0.20809	0.146275	0.0871365	0.0713525	0.0438515	0.0323176	0.0196745	0.0124342	0.00898482	0.0095249
a66	0.411054	0.180392	0.128448	0.0841262	0.0478207	0.0280903	0.032257	0.0379909	0.0212944	0.0149977	0.0135288
a87	0.369293	0.230573	0.159019	0.113007	0.0483212	0.0203263	0.0171658	0.0151452	0.00866975	0.00814855	0.010331
a23	0.308505	0.235811	0.175818	0.154844	0.0715541	0.0198734	0.0115709	0.00800341	0.00433419	0.00417278	0.00551338
a10	0.315078	0.219855	0.155403	0.148408	0.0676536	0.0246239	0.0121315	0.00880383	0.0100046	0.0155236	0.0225148
a24	0.233728	0.158464	0.128259	0.15289	0.0781985	0.03763	0.0272369	0.0296656	0.0380343	0.0546001	0.0612938
a62	0.248794	0.184822	0.161787	0.120274	0.0719268	0.0459846	0.0371517	0.0360506	0.0308517	0.0316288	0.0307295
a70	0.162855	0.177895	0.177062	0.115699	0.0681253	0.055438	0.0612978	0.0643034	0.0460906	0.0381514	0.0330835
a11	0.0844726	0.104947	0.123608	0.152393	0.110997	0.104298	0.115726	0.0905098	0.0469532	0.0347212	0.0313753
a90	0.0490544	0.0591434	0.0747396	0.129274	0.115118	0.127157	0.150519	0.122892	0.0690752	0.0517701	0.0512568
a15	0.0428115	0.0552623	0.0677589	0.0961756	0.0958992	0.130942	0.182209	0.136276	0.0736911	0.059682	0.0592932
a79	0.0190149	0.0231391	0.0336274	0.0435736	0.064234	0.110982	0.167278	0.167219	0.127866	0.118866	0.124199
a25	0.0186422	0.0235115	0.0406092	0.0533488	0.0728191	0.144484	0.204804	0.172425	0.093766	0.08401	0.0915806
a69	0.0125606	0.016871	0.0327527	0.0407815	0.0670672	0.147744	0.187028	0.163396	0.115032	0.104881	0.111886
a94	0.0174584	0.0197132	0.0363416	0.0416535	0.0836364	0.143499	0.123285	0.0953005	0.100608	0.141105	0.197399
a15	0.0228415	0.022196	0.0323981	0.0329217	0.058988	0.101634	0.102039	0.0941116	0.113481	0.164242	0.255148
a79	0.00466034	0.00489156	0.00896716	0.00829181	0.0150742	0.0367664	0.041294	0.0643604	0.168031	0.258328	0.389336
a44	0.00559062	0.0065256	0.0116684	0.0102163	0.0180091	0.0390654	0.0419857	0.063998	0.17155	0.245407	0.385984
a75	0.00887424	0.00985482	0.0152783	0.0108127	0.0188787	0.0339155	0.0300827	0.0395642	0.134629	0.264377	0.433733
a5	0.00260001	0.00303945	0.0049119	0.00356588	0.00507585	0.0121895	0.0142185	0.029894	0.156164	0.321658	0.446683
a61	0.0038864	0.00397576	0.00494598	0.0032254	0.00480002	0.00873154	0.0100871	0.0225721	0.127144	0.338193	0.472439
a18	0.00237373	0.00240619	0.00282005	0.00173499	0.00261802	0.00495391	0.00514538	0.0117597	0.0879544	0.329933	0.548301
a54	0.00799803	0.00658118	0.00663681	0.00361095	0.00468039	0.00798085	0.00926761	0.0241056	0.0854368	0.257683	0.586019
a7	0.00018188	0.00024437	0.000367209	0.000283451	0.000334673	0.000985782	0.00149831	0.00601061	0.0585678	0.2911	0.640426
a58	0.0012364	0.00105179	0.00111609	0.000650876	0.000768278	0.00200283	0.0033951	0.0129673	0.0636926	0.279125	0.633994
a57	0.0413753	0.0300697	0.0239396	0.0119879	0.0184142	0.0396216	0.0469441	0.0663212	0.116523	0.225847	0.378957
a82	0.163104	0.0843814	0.0571182	0.0278983	0.0401802	0.0586179	0.0518805	0.0587356	0.101295	0.154799	0.201991
a87	0.294873	0.172579	0.10894	0.0490375	0.0559367	0.0516616	0.0380903	0.0360264	0.0499377	0.06645	0.0764678
a23	0.316572	0.230468	0.15289	0.0639494	0.047681	0.035681	0.0282608	0.0262821	0.0259493	0.0340915	0.0381753
a87	0.188308	0.166219	0.157355	0.0909269	0.0687927	0.0482097	0.0354024	0.0290522	0.0418787	0.0731611	0.100694
</S>	0.0408933	0.0349504	0.0358684	0.0244067	0.0209322	0.026653	0.0270613	0.0314416	0.0945018	0.232484	0.430807
