 	je	conduis	ce	malade	à	l'	hôpital	</S>
a66	0.252715	0.166819	0.123362	0.13087	0.118406	0.0839185	0.0677228	0.0561865
a87	0.210742	0.20118	0.161823	0.111543	0.102415	0.0765962	0.0726413	0.0630594
a23	0.306758	0.301822	0.21506	0.0937319	0.0452866	0.02015	0.0110399	0.00615162
a10	0.36964	0.256316	0.18236	0.0936314	0.0541896	0.0246316	0.0116177	0.00761389
a87	0.381791	0.230182	0.164911	0.0856918	0.0616415	0.0368395	0.0234631	0.0154805
a23	0.428012	0.241577	0.157755	0.0652276	0.0471283	0.0292583	0.0189858	0.0120568
a18	0.403067	0.201472	0.135517	0.0885979	0.0749677	0.0503184	0.0280519	0.0180083
a53	0.222487	0.118945	0.108339	0.11762	0.15434	0.134609	0.0888632	0.0547974
a94	0.349234	0.183696	0.140902	0.0876245	0.0821506	0.0664136	0.0512069	0.038773
a70	0.195434	0.143303	0.13003	0.101717	0.103413	0.109414	0.124553	0.0921356
a50	0.156205	0.141374	0.128282	0.101534	0.0983685	0.105775	0.143128	0.125334
a83	0.121174	0.127299	0.124291	0.103272	0.0941014	0.0992307	0.14952	0.181112
a50	0.1178	0.131301	0.126977	0.105692	0.0915874	0.0979912	0.15602	0.172631
a98	0.0632494	0.099078	0.0997971	0.105474	0.0900732	0.0984966	0.19981	0.244022
a0	0.120022	0.145628	0.130382	0.130985	0.0983303	0.0869253	0.120925	0.166803
a53	0.0356945	0.0531785	0.054979	0.0880792	0.082553	0.0916048	0.221783	0.372128
a4	0.0481031	0.0755471	0.0765696	0.122858	0.12397	0.124061	0.184659	0.244233
a57	0.0300902	0.054579	0.0587318	0.116851	0.130015	0.141543	0.208507	0.259683
a53	0.0200115	0.0325949	0.0307468	0.0631119	0.0818924	0.130229	0.260108	0.381306
a4	0.0070882	0.012674	0.0121981	0.0394056	0.0650582	0.132456	0.321885	0.409235
a99	0.00111349	0.00141933	0.00143403	0.00510625	0.0150977	0.0695204	0.321997	0.584312
a83	0.00207967	0.00247745	0.00255892	0.0078348	0.0224987	0.0825659	0.298638	0.581347
a18	0.00246392	0.00237252	0.00238605	0.0074984	0.021765	0.0749291	0.267932	0.620653
a83	0.00695208	0.00648498	0.00469855	0.0094233	0.017336	0.0536743	0.211544	0.689887
a94	0.00518316	0.00542055	0.00435767	0.00989391	0.0187634	0.055892	0.207598	0.692892
a99	0.00731331	0.00695618	0.00459346	0.00896336	0.0158401	0.0497117	0.204161	0.702461
a13	0.0332695	0.0320537	0.018131	0.0250407	0.0309	0.0657657	0.187912	0.606927
a18	0.0969972	0.0883718	0.0473288	0.0479132	0.0475159	0.0759419	0.144855	0.451076
a9	0.128878	0.129626	0.0696957	0.0589234	0.0515569	0.0728834	0.127337	0.361099
a38	0.171049	0.164724	0.0937604	0.0769056	0.0641787	0.0845567	0.112425	0.232401
a94	0.210449	0.153796	0.0791588	0.0670783	0.0568914	0.0744184	0.105881	0.252326
a7	0.100586	0.0830047	0.045936	0.0564283	0.0648215	0.104063	0.1791	0.36606
a94	0.0455229	0.0410289	0.025318	0.03641	0.0502139	0.0945002	0.213106	0.4939
a66	0.0398994	0.0370641	0.024732	0.0350027	0.0482297	0.0930432	0.214093	0.507936
a38	0.0375376	0.0356028	0.0221633	0.0331077	0.0423345	0.0810727	0.198391	0.549791
a82	0.0389233	0.0389195	0.022846	0.0289879	0.0331306	0.0636149	0.178632	0.594946
a87	0.0793654	0.0879165	0.0533839	0.0572358	0.0573	0.0888591	0.172939	0.403
a23	0.155823	0.168067	0.11166	0.119745	0.10429	0.112034	0.099925	0.128458
a87	0.114816	0.105518	0.0777205	0.114431	0.121431	0.154845	0.134935	0.176304
a23	0.118083	0.100092	0.0699539	0.102361	0.113829	0.154615	0.141748	0.199319
a87	0.11628	0.0979535	0.0775413	0.120222	0.133767	0.163713	0.132248	0.158276
</S>	0.151261	0.121772	0.0963895	0.134269	0.1358	0.144987	0.0986707	0.116851
