 	avant	que	l'	enfant	ne	voy	age	son	père	l'	a	béni	</S>
a66	0.110454	0.112037	0.135463	0.146128	0.132795	0.100508	0.0865927	0.0600843	0.0614964	0.0297582	0.0133659	0.00681578	0.00450163
a87	0.315515	0.239493	0.155966	0.0790365	0.0479818	0.0319406	0.0207779	0.0161149	0.0148392	0.0172857	0.0191812	0.0246856	0.0171824
a23	0.304508	0.241534	0.186746	0.0937175	0.0612054	0.0328309	0.0172293	0.0113764	0.0115104	0.00971611	0.00845975	0.00928927	0.0118768
a30	0.226347	0.203095	0.150347	0.0978653	0.0854546	0.0847374	0.0353615	0.0181944	0.017776	0.0170001	0.0168106	0.0186312	0.0283794
a13	0.154172	0.189086	0.163602	0.15752	0.134215	0.0806534	0.0412273	0.0196975	0.0188095	0.0140728	0.0111242	0.00853647	0.00728457
a30	0.193745	0.267776	0.182945	0.141518	0.0997421	0.0395312	0.0226488	0.012157	0.0133994	0.0095386	0.00738272	0.00563914	0.00397691
a93	0.185175	0.25725	0.169379	0.130243	0.0904463	0.0455069	0.0340062	0.0236093	0.0237637	0.0165716	0.0115312	0.00747081	0.00504634
a11	0.189801	0.257614	0.186098	0.121763	0.0919651	0.0421441	0.028569	0.0156337	0.0173732	0.0148976	0.0139891	0.0128354	0.00731617
a56	0.140476	0.210023	0.178953	0.127082	0.101945	0.0755235	0.0446407	0.0221589	0.022863	0.0213248	0.0228902	0.0195618	0.0125593
a44	0.11007	0.15627	0.155526	0.138346	0.114075	0.0971173	0.063491	0.0331902	0.0313768	0.0285308	0.0296624	0.0255838	0.0167611
a90	0.113168	0.149947	0.142648	0.133137	0.111415	0.0993178	0.0688018	0.0371924	0.0334743	0.0303812	0.0317606	0.0282668	0.0204896
a44	0.0676927	0.0936302	0.113615	0.126487	0.105673	0.0973393	0.0822094	0.0563309	0.0535218	0.0516086	0.0553925	0.0552975	0.0412014
a75	0.0742711	0.100333	0.11833	0.122244	0.104457	0.105817	0.0976645	0.0511155	0.0426036	0.0368024	0.0407802	0.04778	0.0578009
a56	0.0587104	0.0808398	0.101099	0.116088	0.116175	0.116688	0.0941204	0.0649285	0.0537264	0.0461263	0.0447304	0.0485219	0.0582456
a75	0.0532929	0.070371	0.101985	0.129719	0.135486	0.138688	0.119887	0.0845255	0.0623032	0.0373752	0.0234159	0.0192725	0.0236777
a85	0.0188195	0.0239232	0.0437624	0.08988	0.113253	0.142594	0.114739	0.117036	0.107821	0.0901556	0.0580634	0.0412259	0.0387259
a6	0.0141694	0.0167238	0.0304389	0.0620984	0.0754029	0.118675	0.0966959	0.114254	0.115987	0.112129	0.0928121	0.0807067	0.0699074
a92	0.0142609	0.0199962	0.0411461	0.0862978	0.109792	0.171939	0.151394	0.130905	0.103132	0.070835	0.0419674	0.028425	0.0299097
a90	0.00677957	0.00869903	0.019032	0.0573273	0.0857611	0.154132	0.134489	0.131446	0.110762	0.0950581	0.0735464	0.0622575	0.0607113
a92	0.00498226	0.00637414	0.014173	0.042803	0.0652235	0.15709	0.171997	0.178885	0.129822	0.0921601	0.0514355	0.0363059	0.0487497
a98	0.00327003	0.00398751	0.00806429	0.0261707	0.0447722	0.145579	0.157767	0.172393	0.12734	0.104531	0.0728432	0.0582236	0.0750569
a79	0.00498972	0.00539696	0.00888836	0.0265201	0.0421068	0.131766	0.13773	0.167472	0.123333	0.10463	0.0776515	0.0713013	0.0982142
a7	0.00465946	0.00523842	0.00853007	0.0241734	0.0363403	0.125847	0.140557	0.180444	0.130657	0.113084	0.0755726	0.0637598	0.0911366
a93	0.0049285	0.00555891	0.00723688	0.0133385	0.0148178	0.118343	0.18506	0.222342	0.141135	0.105722	0.0512953	0.0409891	0.089232
a4	0.00419571	0.00361763	0.00443764	0.00906005	0.0125969	0.0800512	0.126401	0.174535	0.12184	0.114574	0.0835286	0.0863234	0.17884
a57	0.00457391	0.00388397	0.00415631	0.00772127	0.00949997	0.0606179	0.115421	0.178077	0.128339	0.134653	0.0948539	0.0890464	0.169156
a3	0.0161392	0.0158267	0.0172778	0.024642	0.0230555	0.110783	0.166226	0.163172	0.108157	0.109208	0.0716126	0.058014	0.115886
a99	0.0218715	0.0185107	0.0218536	0.0264475	0.0253102	0.0921797	0.111147	0.113759	0.115053	0.136853	0.1302	0.0922535	0.0945612
a87	0.0507529	0.0312625	0.0260981	0.0233614	0.0212551	0.0651125	0.0758251	0.0872842	0.0957344	0.122277	0.125353	0.106473	0.169211
a23	0.0976453	0.0582042	0.0469848	0.0361559	0.0306165	0.0788345	0.0697623	0.0874218	0.105903	0.128764	0.120026	0.0768302	0.0628512
a40	0.0266626	0.0201698	0.0219551	0.024929	0.0227632	0.0324091	0.0406945	0.0602058	0.0820089	0.108808	0.140119	0.19549	0.223785
a47	0.0062717	0.00443822	0.00542006	0.00861549	0.0106784	0.0338911	0.0538035	0.0795455	0.106429	0.141749	0.182727	0.195671	0.170759
a7	0.000813243	0.000882395	0.00144503	0.00376937	0.00574572	0.0181146	0.0229205	0.0402832	0.054573	0.11083	0.20898	0.25773	0.273912
a54	0.000870425	0.000955325	0.00162018	0.00372767	0.00547887	0.0184526	0.0242513	0.0355326	0.0415525	0.0787329	0.161784	0.261642	0.365401
a47	0.00346682	0.00341735	0.00572698	0.0135073	0.0197259	0.0566592	0.0717186	0.0918301	0.0820136	0.103762	0.134667	0.169125	0.24438
a44	0.00073588	0.000768502	0.0011765	0.00342828	0.00590145	0.0270052	0.0328796	0.0548655	0.0525461	0.0896826	0.161254	0.240125	0.329631
a93	0.00117283	0.00107655	0.00149861	0.00332654	0.00550633	0.0293379	0.0411355	0.0584986	0.0546141	0.0788561	0.13201	0.222818	0.37015
a90	0.0023286	0.00206484	0.00268649	0.00580634	0.00908222	0.0361741	0.0473818	0.0553445	0.0552565	0.0752308	0.139759	0.241537	0.327348
a98	0.0012896	0.00111859	0.001456	0.00334399	0.00563168	0.0292417	0.0447908	0.0574521	0.0551986	0.0738727	0.127996	0.223802	0.374806
a92	0.000508979	0.000443196	0.000536741	0.00129017	0.00216578	0.0130165	0.0179687	0.0313658	0.0298493	0.0554042	0.112485	0.212718	0.522248
a23	0.000788844	0.00067797	0.000846131	0.00189541	0.00294031	0.0163976	0.0243721	0.0391676	0.0339323	0.052314	0.0880494	0.190007	0.548612
a75	0.000413842	0.000327493	0.00037014	0.000811228	0.00118933	0.00750094	0.0116279	0.0213654	0.0192523	0.0342115	0.0663782	0.177271	0.659281
a36	0.000313325	0.000234717	0.000271378	0.000504816	0.000751444	0.00428994	0.00723456	0.013963	0.0128175	0.0255404	0.0579252	0.176457	0.699697
a27	0.00111289	0.000736229	0.000708425	0.000873557	0.000849212	0.0026044	0.00414716	0.00707845	0.00575991	0.0147268	0.0372368	0.167619	0.756547
a11	0.0191729	0.0152788	0.0152721	0.0149072	0.0100834	0.0227309	0.0304157	0.0361926	0.0357228	0.0650097	0.116333	0.21242	0.406461
a75	0.0135012	0.00928174	0.0085491	0.00854507	0.00665178	0.0139901	0.0203769	0.0262581	0.029112	0.058333	0.108491	0.214156	0.482755
a36	0.000439071	0.000289762	0.000306589	0.000418987	0.000482775	0.00134067	0.00263736	0.00457779	0.0045034	0.0123262	0.0391672	0.176171	0.757339
a27	0.0019393	0.00156513	0.0015656	0.00161004	0.00121321	0.00362864	0.00612662	0.00780599	0.00708691	0.0173417	0.0472252	0.170521	0.732371
a82	0.0308498	0.0194861	0.0175001	0.0159526	0.0113696	0.0181726	0.0227728	0.0309086	0.0309974	0.056045	0.10451	0.212046	0.429389
a97	0.0840332	0.0409495	0.031002	0.0224435	0.0177165	0.0265088	0.0386597	0.0648271	0.0671859	0.0848275	0.10076	0.153918	0.267168
a87	0.0883509	0.0445152	0.033667	0.022425	0.0179959	0.0493434	0.0669586	0.0999721	0.0872919	0.0999818	0.0904654	0.117917	0.181116
a23	0.103823	0.0606649	0.047517	0.0273282	0.0197665	0.0570134	0.0687581	0.0922015	0.0784001	0.0949897	0.0833338	0.10824	0.157964
a87	0.0239959	0.0102058	0.00681721	0.00322157	0.00220194	0.00437185	0.0054483	0.0121698	0.0150459	0.0357433	0.0664621	0.171374	0.642942
</S>	0.0198803	0.00893112	0.00786799	0.00698496	0.00550866	0.0100017	0.0089068	0.0158077	0.0172181	0.0324474	0.0568916	0.159381	0.650173
