 	le	défrichage	est	une	besogne	trop	difficile	pour	les	femmes	</S>
a23	0.266875	0.175922	0.115575	0.0808881	0.070227	0.0778337	0.0595301	0.0485347	0.0359971	0.0326736	0.0359433
a83	0.317891	0.205348	0.108527	0.0882304	0.086805	0.0737063	0.0363566	0.0234817	0.0172233	0.0201473	0.0222836
a9	0.321144	0.225534	0.16697	0.104106	0.0666445	0.050075	0.0134201	0.0103811	0.00876544	0.0125973	0.0203629
a99	0.324903	0.230851	0.177956	0.108844	0.0610698	0.0449446	0.0108982	0.00862479	0.00751251	0.00965952	0.0147367
a23	0.176995	0.184177	0.171024	0.141361	0.101681	0.0757336	0.0264973	0.0251815	0.0244035	0.0311179	0.0418275
a50	0.168315	0.186798	0.171466	0.146324	0.0986889	0.0652864	0.021758	0.0221833	0.0252974	0.0384439	0.0554384
a4	0.200581	0.232254	0.153245	0.121047	0.0991127	0.0592395	0.0272817	0.0249501	0.0237428	0.0253921	0.0331529
a66	0.127072	0.167393	0.140783	0.149361	0.152824	0.0838319	0.0443477	0.0349417	0.0300408	0.0308871	0.0385188
a53	0.106957	0.153686	0.113654	0.142596	0.180875	0.0998769	0.0514678	0.0419525	0.0348866	0.0342875	0.0397598
a15	0.0665145	0.106507	0.123731	0.179864	0.185861	0.0931664	0.0483755	0.0373077	0.0364302	0.0486074	0.0736346
a44	0.0714856	0.111208	0.121253	0.150185	0.165491	0.0858651	0.0609894	0.0467212	0.0476041	0.058249	0.0809484
a20	0.0583254	0.106108	0.108057	0.152756	0.196923	0.103311	0.0612848	0.0457631	0.04279	0.0533989	0.0712829
a15	0.0445993	0.0781511	0.0999123	0.129709	0.146749	0.10371	0.0865648	0.0779261	0.0713735	0.0747072	0.0865965
a94	0.0370243	0.0701283	0.0877308	0.11854	0.135458	0.0990191	0.0899982	0.089164	0.08551	0.0844064	0.103022
a32	0.0463871	0.0776467	0.099233	0.143324	0.160704	0.10684	0.0760413	0.0670173	0.0640297	0.0694271	0.0893495
a90	0.0747032	0.0971496	0.109403	0.146015	0.153941	0.105717	0.0685013	0.0584261	0.0538849	0.057398	0.0748615
a4	0.0615536	0.0846244	0.097687	0.138111	0.146348	0.104269	0.0759911	0.0724357	0.0663642	0.066228	0.0863878
a53	0.0498742	0.0781472	0.105309	0.142479	0.14065	0.100047	0.069234	0.0701181	0.0699782	0.0738484	0.100315
a90	0.0365282	0.0666822	0.0915798	0.142696	0.163462	0.105482	0.0736134	0.0744258	0.0730027	0.072873	0.099655
a56	0.0393857	0.0668971	0.0931281	0.137663	0.143926	0.0941295	0.0698624	0.073163	0.079546	0.085143	0.117157
a98	0.036339	0.0616013	0.0996601	0.151945	0.154232	0.100124	0.0666973	0.073031	0.0753524	0.079749	0.101269
a71	0.050554	0.0724642	0.092811	0.112682	0.119455	0.0793159	0.0676784	0.0754707	0.089739	0.104492	0.135337
a9	0.044097	0.0519187	0.0783321	0.131485	0.167699	0.112004	0.0824665	0.0851124	0.0792215	0.0743979	0.0932661
a87	0.052274	0.0485256	0.0682374	0.124818	0.157304	0.109297	0.0814206	0.0836175	0.0818919	0.0809906	0.111623
a23	0.0256059	0.0207174	0.0281067	0.0677453	0.0943173	0.0927864	0.095435	0.106394	0.135922	0.155062	0.177908
a94	0.0308392	0.0255328	0.0262115	0.0514636	0.085984	0.0832383	0.0823415	0.0889292	0.114927	0.177745	0.232788
a98	0.0592499	0.054161	0.0758917	0.0999368	0.0992017	0.0771379	0.0484133	0.0621585	0.0824703	0.138651	0.202728
a71	0.0297679	0.0355722	0.0584629	0.0947188	0.111833	0.0822262	0.0608076	0.0772535	0.0975318	0.147662	0.204164
a24	0.0194898	0.0250629	0.0465869	0.0800845	0.0982887	0.0710876	0.0649215	0.0887882	0.133655	0.179104	0.19293
a62	0.0142487	0.019684	0.0396779	0.0752976	0.103693	0.0692645	0.0619207	0.080649	0.121497	0.198478	0.21559
a93	0.0151614	0.0206231	0.0430021	0.0836129	0.117091	0.0791863	0.0650775	0.0824526	0.112938	0.179288	0.201567
a4	0.0293799	0.0404382	0.0632736	0.0878841	0.105218	0.0679148	0.0638343	0.0849608	0.117646	0.163058	0.176392
a53	0.020916	0.0279749	0.0429325	0.061257	0.075413	0.0533846	0.0601831	0.0898864	0.143257	0.203411	0.221385
a69	0.0256538	0.0365131	0.0555402	0.0777974	0.0815215	0.0614281	0.0663934	0.097129	0.133652	0.16679	0.197581
a76	0.025078	0.0362416	0.0575321	0.0867609	0.0770798	0.0485315	0.0449788	0.0627039	0.0999884	0.177648	0.283457
a90	0.0381103	0.037043	0.0545795	0.0846868	0.0858783	0.0487383	0.0489748	0.0600931	0.0850814	0.174111	0.282704
a15	0.0120436	0.0177661	0.0354653	0.0705537	0.0763158	0.046736	0.0464852	0.0688845	0.110456	0.202524	0.31277
a41	0.0304475	0.0330384	0.0557279	0.0957823	0.0885606	0.048054	0.040147	0.0523182	0.0855136	0.176802	0.293608
a18	0.00942386	0.0102233	0.0223956	0.0526616	0.0628921	0.0364593	0.0358993	0.0574701	0.110576	0.234751	0.367248
a11	0.00699837	0.00613679	0.00883255	0.0183334	0.0230355	0.0140986	0.0196284	0.0364551	0.0976195	0.264326	0.504536
a21	0.00777305	0.00597922	0.0072657	0.0133572	0.0182745	0.0130206	0.0206396	0.0392301	0.10173	0.272515	0.500216
a12	0.00832664	0.00903883	0.0146737	0.0236764	0.0300608	0.0256422	0.0289749	0.0572846	0.113999	0.275567	0.412755
a75	0.00868665	0.00773302	0.0128234	0.0234469	0.0268395	0.0210036	0.0233471	0.0484866	0.10824	0.285921	0.433473
a56	0.0129673	0.013338	0.0243354	0.0464178	0.0469326	0.035178	0.0341093	0.0592073	0.111631	0.247049	0.368834
a98	0.00630896	0.00548202	0.00887283	0.018339	0.0245005	0.0197161	0.0297354	0.0569146	0.11915	0.284041	0.42694
a73	0.00562451	0.00550784	0.0107034	0.0233101	0.025903	0.019164	0.0250214	0.0448049	0.101154	0.273245	0.465562
a75	0.00235312	0.00203212	0.00330438	0.00740331	0.00935012	0.0062894	0.0105487	0.0204412	0.064143	0.255231	0.618904
a61	0.00480693	0.00605685	0.00967464	0.0214907	0.0308719	0.019737	0.0280788	0.05059	0.116059	0.274533	0.438101
a96	0.00379969	0.0035592	0.00547257	0.0100274	0.0124786	0.0106322	0.0151146	0.033755	0.090219	0.289611	0.52533
a70	0.00318323	0.00336518	0.00522584	0.00879456	0.0104535	0.0079959	0.0115778	0.0269962	0.0823402	0.289149	0.550919
a4	0.00355486	0.00365596	0.00533413	0.00872786	0.0104595	0.00793728	0.0126279	0.0290288	0.0846439	0.284448	0.549582
a13	0.00318301	0.00315759	0.00406824	0.0063931	0.00758501	0.00587143	0.0110867	0.025579	0.0811135	0.280544	0.571418
a3	0.00402093	0.00288695	0.00351387	0.00528485	0.00606679	0.00523817	0.0115313	0.0260277	0.0873379	0.288195	0.559897
a87	0.00630157	0.00304142	0.00292855	0.00468874	0.00711262	0.00623157	0.0162145	0.0321481	0.0903671	0.294487	0.536479
</S>	0.0447147	0.0222582	0.0211239	0.0278046	0.0321944	0.0313982	0.0491758	0.0668739	0.107789	0.245196	0.351471
