 	pourquoi	boudes-tu	</S>
a23	0.739523	0.219243	0.0412341
a83	0.701303	0.227016	0.0716809
a56	0.598266	0.257022	0.144712
a93	0.768079	0.183359	0.0485627
a13	0.658224	0.262209	0.0795668
a61	0.37294	0.389699	0.237361
a34	0.280035	0.396275	0.32369
a75	0.162215	0.389063	0.448722
a85	0.128801	0.423297	0.447902
a36	0.126544	0.429804	0.443653
a11	0.0404554	0.305254	0.654291
a62	0.0129723	0.225981	0.761047
a75	0.0193359	0.242058	0.738606
a61	0.0336048	0.302451	0.663944
a83	0.0163281	0.190156	0.793516
a62	0.0149387	0.186163	0.798898
a83	0.0191602	0.19193	0.78891
a9	0.0151215	0.190162	0.794716
a10	0.023107	0.231349	0.745544
a87	0.181381	0.312349	0.50627
a23	0.254098	0.353297	0.392605
a87	0.185583	0.384592	0.429826
</S>	0.110759	0.376608	0.512633
