 	l'	oiseau	donne	la	becquée	à	ses	petits	</S>
a23	0.44219	0.245225	0.0924215	0.0440726	0.0351736	0.0263498	0.02321	0.0342778	0.0570797
a57	0.35604	0.240634	0.114827	0.103378	0.0695882	0.0408013	0.024765	0.0226182	0.0273482
a87	0.280071	0.24988	0.175097	0.124292	0.0630557	0.0337013	0.0215598	0.0206633	0.0316794
a23	0.219755	0.191869	0.172365	0.158231	0.0885546	0.0534821	0.0376357	0.0317186	0.0463902
a13	0.315825	0.210625	0.113894	0.085056	0.0613722	0.0575379	0.0456498	0.0413977	0.0686422
a94	0.235871	0.253301	0.224016	0.125718	0.0857238	0.0335044	0.0156376	0.010921	0.0153077
a76	0.185454	0.224813	0.265946	0.191262	0.0910909	0.024168	0.00878596	0.00445066	0.00402942
a94	0.155655	0.181352	0.222448	0.214119	0.141957	0.0448068	0.0207221	0.0107465	0.00819373
a32	0.150938	0.166916	0.218974	0.21956	0.153552	0.0473546	0.0212673	0.0118099	0.0096279
a24	0.127047	0.140011	0.198273	0.239595	0.181096	0.0645294	0.0267361	0.0130675	0.00964499
a43	0.104894	0.117999	0.164092	0.227381	0.198148	0.0989243	0.0493409	0.0236547	0.015567
a20	0.0622384	0.0704269	0.102888	0.210208	0.256019	0.159208	0.08014	0.0364927	0.0223795
a73	0.0957219	0.0902906	0.100727	0.188279	0.257778	0.134032	0.067464	0.0387002	0.0270068
a26	0.0918332	0.0770147	0.0788856	0.146272	0.245822	0.161547	0.0948287	0.0592906	0.0445073
a75	0.077612	0.0608594	0.060419	0.108202	0.202965	0.184159	0.136809	0.0942721	0.074703
a41	0.0860882	0.0567851	0.0476832	0.0697993	0.156216	0.167616	0.149253	0.134839	0.13172
a27	0.0585932	0.0380418	0.0310031	0.0445734	0.110111	0.177002	0.192761	0.179288	0.168627
a98	0.0169002	0.0119485	0.0116396	0.0176373	0.0467059	0.124119	0.225876	0.274684	0.27049
a73	0.0298529	0.0191356	0.0145743	0.0165964	0.0400679	0.0827489	0.159497	0.241789	0.395738
a94	0.0107493	0.00641173	0.00514069	0.00775178	0.0260649	0.084155	0.185793	0.301741	0.372192
a54	0.0136737	0.00756689	0.00515322	0.00821169	0.0211182	0.0507778	0.140625	0.301802	0.451072
a73	0.0422555	0.0192627	0.0101973	0.0147721	0.0381127	0.0796598	0.144687	0.260707	0.390346
a26	0.0144621	0.00663637	0.00393987	0.00650147	0.0201275	0.0548808	0.118268	0.28932	0.485864
a38	0.00357829	0.00167681	0.000999218	0.00190645	0.00539272	0.0213052	0.068963	0.271205	0.624973
a21	0.00862537	0.00393983	0.00153347	0.0021184	0.00526364	0.0222208	0.067621	0.265936	0.622741
a41	0.0143996	0.00790098	0.00459694	0.00594217	0.0124795	0.0305146	0.0822239	0.259533	0.582409
a98	0.0157861	0.00858527	0.00597442	0.0104084	0.021575	0.0478959	0.100013	0.281223	0.508539
a73	0.0154958	0.00837313	0.00555982	0.0100778	0.0214394	0.0543034	0.110421	0.293964	0.480365
a94	0.00656004	0.00329709	0.00206949	0.00403275	0.00922488	0.0271422	0.0660369	0.255713	0.625923
a76	0.00682174	0.0030492	0.00133453	0.00251815	0.00672094	0.0225464	0.0546446	0.206098	0.696267
a90	0.0192648	0.0102179	0.00451979	0.00669304	0.0145329	0.0425263	0.0859545	0.228236	0.588055
a4	0.00983748	0.00590503	0.00439179	0.00928579	0.0165519	0.0362933	0.0731041	0.217155	0.627476
a57	0.0120797	0.00576248	0.00301469	0.00625374	0.0128737	0.0274474	0.0569511	0.181668	0.693949
a38	0.00949971	0.00475321	0.00153445	0.00247306	0.00580172	0.0232513	0.0495327	0.190719	0.712435
a90	0.0145978	0.00854136	0.00272134	0.00334804	0.00523748	0.0199299	0.04605	0.178245	0.72133
a4	0.0280074	0.0149503	0.00513262	0.00629104	0.00800555	0.020527	0.0411553	0.154314	0.721617
a58	0.0185552	0.0101979	0.00286661	0.00330634	0.0046529	0.015278	0.0379062	0.166291	0.740945
a82	0.0215201	0.0109644	0.00274051	0.0034321	0.00529109	0.023913	0.0599646	0.2058	0.666374
a87	0.0130424	0.00611071	0.00179569	0.00255171	0.00572153	0.0243738	0.0604226	0.190858	0.695124
</S>	0.0098914	0.00634946	0.00296101	0.00381255	0.00752685	0.0303006	0.0737821	0.203475	0.661901
