 	le	chasseur	a	pisté	des	sangliers	dans	la	forêt	</S>
a87	0.106985	0.0949501	0.111127	0.240284	0.219989	0.155071	0.0356349	0.0158095	0.0114699	0.00868017
a23	0.183475	0.101166	0.0949355	0.09127	0.103362	0.0935283	0.0737901	0.0591908	0.0883683	0.110914
a87	0.171871	0.174868	0.157899	0.157699	0.0865878	0.0703713	0.0352722	0.0295404	0.0457865	0.0701043
a79	0.171637	0.217822	0.170637	0.132937	0.0681028	0.0664787	0.0408601	0.038159	0.0453524	0.0480143
a93	0.235431	0.178327	0.109119	0.128763	0.0746693	0.0616324	0.0386968	0.0422416	0.063515	0.0676041
a4	0.389032	0.25308	0.134236	0.0878314	0.0367398	0.0196575	0.0136607	0.0174403	0.0229788	0.0253443
a75	0.343221	0.270176	0.175569	0.100663	0.031179	0.0171589	0.0108423	0.0130389	0.0167527	0.0213996
a21	0.261702	0.239775	0.192071	0.125794	0.0477362	0.025427	0.0197385	0.0227442	0.0289932	0.0360196
a47	0.260373	0.262305	0.217729	0.124304	0.0441863	0.0233021	0.0165191	0.0158773	0.0170316	0.0183732
a12	0.240154	0.287381	0.224353	0.112602	0.0405614	0.0220287	0.0177523	0.017364	0.0182416	0.0195623
a75	0.194194	0.236434	0.229411	0.143077	0.0694529	0.0362766	0.0251353	0.0211752	0.0216703	0.0231743
a85	0.200175	0.237605	0.196405	0.129939	0.0809471	0.0451537	0.0288475	0.0242405	0.0263448	0.0303434
a37	0.139083	0.186125	0.185041	0.138472	0.107703	0.0630678	0.0512618	0.0418705	0.0428363	0.0445391
a11	0.122495	0.213709	0.257953	0.181785	0.0977126	0.0447623	0.023454	0.0186951	0.0191177	0.0203165
a93	0.0731847	0.147501	0.248227	0.210124	0.114733	0.0545219	0.0377693	0.0336178	0.0379684	0.0423523
a25	0.0804868	0.129386	0.208944	0.20535	0.132545	0.0718804	0.0429743	0.0376383	0.0426043	0.0481914
a73	0.0375556	0.0729254	0.134479	0.19097	0.145102	0.0898243	0.0765472	0.0671998	0.085153	0.100244
a56	0.0461069	0.0665762	0.111133	0.137299	0.105292	0.0644599	0.0719227	0.0885388	0.136143	0.172528
a96	0.0439943	0.0640188	0.0941605	0.128472	0.105873	0.0770154	0.0837042	0.0954406	0.133006	0.174315
a93	0.0541891	0.07011	0.0907283	0.117089	0.099872	0.087526	0.102621	0.0987302	0.123515	0.155619
a56	0.0268116	0.0420842	0.0606941	0.072732	0.0633723	0.0598201	0.0918683	0.11071	0.185244	0.286664
a21	0.0301895	0.0344496	0.0445852	0.0715681	0.0816916	0.0919385	0.133254	0.134615	0.169566	0.208142
a5	0.0449729	0.0441943	0.0514797	0.0636587	0.0735219	0.0759952	0.108268	0.123953	0.183215	0.230741
a43	0.0349302	0.0352826	0.0429468	0.0486453	0.0537575	0.0609797	0.114349	0.141163	0.209898	0.258048
a11	0.00737507	0.0108763	0.0155646	0.0180101	0.0179155	0.0303258	0.125731	0.167779	0.249547	0.356875
a75	0.00691211	0.0100316	0.0120717	0.0116633	0.0121402	0.0214869	0.0910124	0.150928	0.262757	0.420996
a44	0.00768903	0.0100921	0.0130102	0.0123964	0.0174598	0.0217198	0.0686663	0.118431	0.276993	0.453543
a84	0.00337027	0.00528356	0.00843015	0.00930079	0.0112188	0.0189321	0.0859004	0.152305	0.274082	0.431176
a53	0.00319134	0.00277694	0.0039482	0.0027308	0.00317041	0.004355	0.0177473	0.0565894	0.239408	0.666083
a90	0.0011559	0.00147017	0.00244561	0.00260337	0.00380545	0.00792656	0.041584	0.0833369	0.256902	0.59877
a57	0.00241757	0.00296899	0.00478099	0.00574445	0.010007	0.0180894	0.0608721	0.114016	0.282135	0.498969
a82	0.000414651	0.000579464	0.00147909	0.00157521	0.00216653	0.00425621	0.0258398	0.068879	0.254421	0.640389
a87	0.001471	0.00128688	0.00229679	0.0020039	0.00262347	0.0043462	0.0252951	0.0836848	0.288897	0.588095
a23	0.0224528	0.0129594	0.0183383	0.0277082	0.0546105	0.0697421	0.10413	0.113911	0.224645	0.351502
a87	0.013968	0.00763035	0.0114803	0.0181987	0.043385	0.0569421	0.125467	0.167703	0.25937	0.295855
</S>	0.00521637	0.00359475	0.0081365	0.0166523	0.0448445	0.0469564	0.0976142	0.126326	0.259771	0.390888
