 	son	discours	fut	bref	</S>
a10	0.490649	0.252626	0.0909458	0.101713	0.0640662
a9	0.213008	0.19069	0.231066	0.256014	0.109222
a38	0.258532	0.199966	0.178978	0.243953	0.118571
a75	0.423018	0.190059	0.108848	0.161234	0.116842
a98	0.499585	0.20513	0.0863311	0.119373	0.0895811
a73	0.539816	0.239845	0.0829349	0.0773383	0.0600661
a41	0.503045	0.223114	0.113561	0.0875706	0.072709
a27	0.304949	0.230594	0.170758	0.155941	0.137758
a11	0.210825	0.16905	0.209619	0.205988	0.204518
a43	0.135077	0.132434	0.227357	0.247329	0.257803
a0	0.0735133	0.0953491	0.204888	0.276121	0.350129
a9	0.0263664	0.0390596	0.128107	0.283418	0.52305
a82	0.00997414	0.0181127	0.0776193	0.245301	0.648993
a38	0.013266	0.0166031	0.0565394	0.225457	0.688134
a13	0.00754546	0.00938824	0.0467314	0.232049	0.704286
a57	0.00281805	0.00355748	0.0239861	0.157327	0.812311
a9	0.0101653	0.0106584	0.0431967	0.216708	0.719272
a10	0.0280778	0.0319533	0.104339	0.300189	0.53544
</S>	0.0591706	0.064578	0.144386	0.28985	0.442015
