 	a	côté	du	village	il	y	a	une	grande	bananeraie	</S>
a23	0.281479	0.123513	0.0952074	0.0935843	0.0997024	0.0991737	0.0846417	0.0569914	0.0302515	0.0172511	0.0182038
a85	0.475627	0.143796	0.0616257	0.0440665	0.0460413	0.0639565	0.0518228	0.0391564	0.0268672	0.0171486	0.0298921
a87	0.172317	0.137853	0.0948406	0.0861129	0.0772474	0.0838649	0.0764584	0.0628427	0.0556234	0.0553685	0.0974713
a23	0.140372	0.147551	0.110794	0.102193	0.08253	0.0793325	0.0801641	0.0652921	0.0574351	0.0526876	0.0816481
a53	0.172183	0.130165	0.0677516	0.0478504	0.0315827	0.0274815	0.0253531	0.0274525	0.0531464	0.13897	0.278063
a5	0.490977	0.229231	0.0970521	0.0510673	0.0281685	0.0184906	0.015606	0.0134425	0.0145821	0.0211444	0.0202386
a66	0.225491	0.213542	0.153661	0.114688	0.0712065	0.058664	0.05673	0.0405323	0.0293108	0.0200486	0.0161252
a75	0.180202	0.194037	0.154034	0.123159	0.0785499	0.063234	0.061559	0.0421035	0.0335123	0.0330993	0.0365095
a5	0.0921282	0.130614	0.136354	0.128549	0.0949107	0.087212	0.0915736	0.0725277	0.0555808	0.0495382	0.0610123
a37	0.137424	0.170301	0.150344	0.124976	0.0841407	0.0760783	0.0720152	0.0505412	0.0385093	0.0399725	0.0556985
a54	0.0920391	0.126357	0.126771	0.120793	0.0879747	0.0793915	0.0904588	0.0713403	0.0571057	0.0628394	0.0849298
a73	0.0396759	0.0535915	0.0815518	0.103207	0.0964403	0.0995122	0.120179	0.0972694	0.0764349	0.0829464	0.149192
a7	0.0347408	0.0454702	0.0776423	0.101787	0.0981254	0.100837	0.106861	0.087415	0.0832138	0.0938215	0.170085
a84	0.0198397	0.0266681	0.051008	0.093898	0.116582	0.119082	0.13755	0.0994789	0.0694638	0.0769992	0.189431
a53	0.0228518	0.0313034	0.0498371	0.0964704	0.140205	0.143203	0.146133	0.0925236	0.0462815	0.0654034	0.165788
a90	0.0191615	0.0207124	0.0262003	0.0397361	0.0509471	0.0543482	0.0771801	0.0813167	0.0920663	0.177214	0.361117
a69	0.025554	0.025972	0.0384181	0.0579165	0.0732308	0.0908217	0.117574	0.125868	0.120667	0.126683	0.197294
a58	0.0206972	0.021055	0.0301339	0.0438838	0.0534919	0.0663429	0.0906676	0.109616	0.122685	0.159643	0.281784
a5	0.0216408	0.0202763	0.0289844	0.0466188	0.0609205	0.0741001	0.0882406	0.104844	0.116192	0.123626	0.314556
a18	0.0218549	0.0193425	0.0248712	0.0355985	0.0397178	0.0428919	0.0564172	0.071251	0.103187	0.226595	0.358273
a61	0.0166635	0.0151255	0.0174864	0.0256161	0.0316785	0.0398766	0.045625	0.0618934	0.102746	0.179733	0.463556
a24	0.0269951	0.0269756	0.0309197	0.0408752	0.045084	0.05178	0.0636083	0.08617	0.136176	0.187555	0.303861
a12	0.0115777	0.0120845	0.0138052	0.01969	0.023757	0.0310464	0.0346424	0.0438842	0.0783757	0.20995	0.521187
a98	0.0160498	0.0189998	0.0224575	0.0322155	0.0375003	0.0458763	0.0520527	0.0638441	0.0984764	0.211523	0.401005
a79	0.00517773	0.00556012	0.00829661	0.0130313	0.0151642	0.0180815	0.0207531	0.0262007	0.0530548	0.220067	0.614613
a94	0.00229716	0.00258932	0.00439653	0.00797271	0.0106357	0.0136089	0.0149374	0.0189096	0.0400445	0.200167	0.684441
a53	0.00172599	0.00173633	0.00256512	0.00464517	0.00715153	0.0102074	0.00956338	0.0108454	0.0210007	0.154066	0.776493
a90	0.00219872	0.002089	0.0036516	0.00749369	0.0130394	0.018462	0.0180652	0.0192424	0.0322466	0.161454	0.722058
a70	0.00161313	0.00164739	0.00271518	0.0052469	0.0083293	0.0117713	0.0110249	0.0115974	0.0223083	0.142998	0.780748
a75	0.0024137	0.00218251	0.00353407	0.00621172	0.00998959	0.0143678	0.0130001	0.0130541	0.0226213	0.149445	0.76318
a85	0.00231103	0.00192283	0.0031682	0.00641657	0.0107665	0.0155721	0.0147057	0.0152128	0.0276439	0.186785	0.715495
a41	0.00322321	0.00361252	0.00667579	0.0121347	0.0180928	0.0247359	0.0227133	0.0239932	0.0470796	0.248973	0.588766
a7	0.00284475	0.00318937	0.00560591	0.0110476	0.0175272	0.0235678	0.0228658	0.0248745	0.0474827	0.269377	0.571617
a2	0.000341725	0.000403479	0.000887627	0.00220919	0.00472633	0.00816477	0.00836408	0.00993936	0.0203292	0.152824	0.79181
a7	0.00337213	0.00219848	0.00282898	0.00463824	0.00832901	0.0116405	0.0121249	0.0162822	0.0315681	0.203699	0.703319
a53	0.00782443	0.00470417	0.00508191	0.00681745	0.0103935	0.015633	0.015698	0.0214397	0.0447179	0.212831	0.654859
a69	0.00256903	0.00169916	0.00273591	0.00453835	0.00779838	0.0132535	0.0135972	0.0179661	0.0372751	0.20568	0.692887
a58	0.0010484	0.000844521	0.00176301	0.00325312	0.00570661	0.00993588	0.00956646	0.0114359	0.0243583	0.174939	0.757149
a82	0.000650762	0.000553045	0.00111333	0.00210272	0.00372378	0.00594096	0.00666724	0.0104731	0.0262769	0.188002	0.754496
a87	0.0241076	0.015326	0.0158776	0.0215453	0.0306302	0.0372858	0.0382419	0.0480189	0.0835906	0.219594	0.465782
</S>	0.17509	0.106273	0.0908123	0.075468	0.0675766	0.0803056	0.0621373	0.0524809	0.059276	0.091083	0.139497
