 	son	oncle	est	mort	il	y	a	deux	ans	</S>
a87	0.247805	0.15667	0.0924469	0.085545	0.0730401	0.0734836	0.0702687	0.0726963	0.0623051	0.065739
a23	0.31391	0.140944	0.0852551	0.0826196	0.0708942	0.0728696	0.0678782	0.0643528	0.0516106	0.0496665
a4	0.255985	0.186397	0.119305	0.101396	0.072499	0.0627028	0.0526229	0.0484293	0.0490754	0.0515878
a13	0.518833	0.270901	0.0771237	0.0330844	0.0242952	0.0157148	0.0125669	0.0120868	0.0141989	0.0211954
a53	0.523701	0.258074	0.085417	0.0410733	0.02553	0.0172692	0.0126669	0.0101913	0.0107592	0.0153188
a76	0.217536	0.218452	0.136439	0.104414	0.0693293	0.0557212	0.0472203	0.0412774	0.0465182	0.0630924
a35	0.236129	0.198649	0.131345	0.0962785	0.0702413	0.0603445	0.0537035	0.048202	0.0492407	0.0558669
a76	0.227402	0.21794	0.141677	0.102014	0.0694786	0.055496	0.0465789	0.0419467	0.0459047	0.0515625
a94	0.232208	0.199323	0.139818	0.104505	0.0818978	0.0663242	0.0530003	0.0419768	0.0396867	0.0412596
a35	0.164624	0.197706	0.16236	0.129901	0.085516	0.064622	0.0517983	0.0427377	0.0478225	0.0529127
a41	0.148866	0.17868	0.158255	0.132334	0.0989388	0.0750342	0.0584025	0.0446895	0.0500344	0.0547651
a14	0.122532	0.159121	0.150573	0.136337	0.109486	0.0873617	0.0683999	0.0504837	0.0553261	0.0603792
a69	0.109428	0.142873	0.141188	0.127968	0.112254	0.0952996	0.0764367	0.0568874	0.0638065	0.0738583
a53	0.0499156	0.0815935	0.120681	0.165038	0.151213	0.112193	0.0890453	0.0625986	0.0767847	0.0909365
a20	0.0511284	0.080431	0.116707	0.157608	0.14277	0.107958	0.091364	0.0654993	0.0841652	0.102369
a73	0.061198	0.0883097	0.104955	0.139051	0.122354	0.107056	0.0993335	0.0831013	0.093612	0.10103
a84	0.0498906	0.0825043	0.106996	0.156734	0.137061	0.112756	0.0963834	0.0730788	0.0855059	0.0990903
a57	0.0432551	0.0657662	0.0990114	0.133927	0.137317	0.102722	0.0903068	0.0700391	0.106733	0.150923
a40	0.0313727	0.0399143	0.0650241	0.105318	0.110545	0.101867	0.0992112	0.0872044	0.136791	0.222752
a30	0.0338035	0.0421591	0.0528803	0.0907839	0.107655	0.0905936	0.102222	0.104427	0.167321	0.208154
a35	0.0271658	0.0580063	0.0940944	0.138448	0.141955	0.114232	0.110598	0.0899444	0.111069	0.114487
a83	0.0433368	0.0605506	0.0828948	0.120162	0.121058	0.101309	0.100396	0.0859601	0.131087	0.153246
a62	0.0277978	0.0401788	0.0597456	0.110088	0.117802	0.104939	0.1131	0.102841	0.154578	0.168931
a24	0.0423383	0.0514189	0.0664453	0.109044	0.108074	0.0910145	0.0937675	0.0876221	0.155464	0.194812
a35	0.0285982	0.0361803	0.0458673	0.0802601	0.0895262	0.0880073	0.105232	0.113938	0.192161	0.22023
a94	0.0455012	0.0538038	0.0609717	0.097318	0.100245	0.0932389	0.102224	0.0980185	0.159903	0.188776
a53	0.0291587	0.0441445	0.0546309	0.0877315	0.0969086	0.096949	0.113293	0.112258	0.170341	0.194585
a76	0.0387157	0.0563421	0.0622777	0.0844925	0.09004	0.0887013	0.106796	0.106965	0.164182	0.201488
a73	0.080365	0.0925117	0.0792346	0.0827238	0.0709283	0.064096	0.0775	0.0887583	0.158133	0.20575
a57	0.0386996	0.04913	0.0495102	0.0635565	0.0696946	0.072931	0.094773	0.115563	0.193325	0.252817
a87	0.0221052	0.0201411	0.022927	0.0338911	0.0470412	0.0523908	0.0839173	0.118197	0.241747	0.357642
a23	0.0415703	0.0194128	0.0171492	0.026319	0.0445499	0.0617069	0.0939596	0.162067	0.24121	0.292055
a12	0.0430537	0.0181834	0.0164875	0.0238905	0.0462118	0.0733959	0.112367	0.178712	0.219558	0.26814
a96	0.0622954	0.0367625	0.0355525	0.0465158	0.0560334	0.058555	0.075397	0.113644	0.212126	0.303118
