 	la	maison	mon	père	a	pris	feu	</S>
a66	0.297076	0.22484	0.184336	0.104858	0.0796067	0.0556519	0.0318477	0.0217839
a87	0.318052	0.256827	0.212902	0.0985195	0.0564392	0.0302098	0.0155674	0.011483
a23	0.389895	0.293083	0.197031	0.0539211	0.0214757	0.0152841	0.0134309	0.0158798
a87	0.406449	0.295862	0.157815	0.04343	0.0160651	0.014903	0.0233723	0.0421032
a23	0.387023	0.31133	0.180127	0.0510588	0.0172896	0.0127778	0.0163911	0.0240016
a99	0.371701	0.272335	0.147658	0.0484149	0.0243878	0.0283314	0.0440553	0.0631166
a18	0.297614	0.219528	0.147334	0.0749178	0.0449852	0.0471037	0.0737188	0.0947988
a61	0.328879	0.212038	0.155846	0.100402	0.0643147	0.0469593	0.0485786	0.0429832
a5	0.21162	0.196298	0.18266	0.182336	0.100749	0.0541611	0.0411778	0.0309972
a23	0.103269	0.130505	0.168776	0.242738	0.155099	0.0853386	0.0641104	0.0501643
a85	0.0684613	0.097279	0.136955	0.242416	0.192875	0.103241	0.0824764	0.0762971
a6	0.0499483	0.0675279	0.105734	0.22136	0.248655	0.135061	0.0912886	0.0804245
a21	0.0772991	0.0920253	0.127748	0.202421	0.185298	0.109819	0.0971924	0.108197
a75	0.0653379	0.0686052	0.0991889	0.164402	0.182631	0.163476	0.127609	0.128749
a34	0.0300173	0.0336773	0.0561729	0.113173	0.168627	0.194048	0.197626	0.206658
a93	0.0235913	0.0200858	0.0277591	0.0547392	0.101515	0.199746	0.270969	0.301595
a96	0.0267205	0.0193942	0.0216316	0.0395027	0.0782774	0.170184	0.284241	0.360049
a88	0.0092727	0.00576479	0.00499588	0.00967921	0.0290141	0.121106	0.312796	0.507372
a71	0.00562013	0.00324749	0.0025422	0.00420434	0.0141584	0.0740119	0.284893	0.611322
a9	0.00293239	0.00148008	0.00126512	0.0021521	0.00899759	0.0497151	0.240053	0.693405
a99	0.0293059	0.0166813	0.0149698	0.019449	0.034841	0.070853	0.224134	0.589766
a87	0.164256	0.0938403	0.072576	0.0466612	0.0563327	0.0912665	0.17647	0.298598
a23	0.325425	0.227812	0.17741	0.0781007	0.0467788	0.039379	0.04599	0.0591045
a87	0.213193	0.118267	0.0930329	0.0391852	0.0339788	0.0532566	0.147443	0.301643
</S>	0.0283845	0.0180115	0.0158932	0.0102823	0.0174469	0.0536057	0.229	0.627376
