 	le	petit	balai	symbolise	la	justice	traditionnelle	</S>
a66	0.417191	0.173645	0.0919245	0.0823103	0.0836382	0.0713232	0.0446844	0.0352829
a87	0.430405	0.134163	0.0717402	0.114865	0.11112	0.0644622	0.0376351	0.0356083
a23	0.417373	0.207608	0.119876	0.0718934	0.0455703	0.0384868	0.0454239	0.0537691
a38	0.225131	0.172024	0.176482	0.159929	0.0999736	0.067351	0.0509219	0.0481886
a54	0.257819	0.194485	0.158184	0.114535	0.0748195	0.0762425	0.065401	0.0585143
a79	0.359723	0.266521	0.20266	0.0885557	0.0361068	0.019618	0.0155331	0.0112823
a37	0.318624	0.320707	0.245812	0.0730329	0.0225554	0.00996602	0.00556702	0.00373589
a61	0.226746	0.293783	0.286915	0.11672	0.0365548	0.0161361	0.0138135	0.00933189
a96	0.22951	0.286928	0.254723	0.126855	0.0477045	0.0208663	0.0199524	0.0134609
a90	0.189238	0.246057	0.254111	0.156355	0.0669365	0.0309401	0.0327861	0.0235752
a25	0.141173	0.19049	0.21212	0.192198	0.115404	0.0610648	0.0499515	0.0375981
a56	0.08827	0.121752	0.153792	0.207526	0.194035	0.117649	0.0625895	0.0543863
a21	0.0714121	0.0854664	0.118412	0.193187	0.203047	0.142773	0.103717	0.0819859
a25	0.0194272	0.0298619	0.0521989	0.112975	0.176409	0.220688	0.215226	0.173214
a79	0.00874742	0.0198028	0.0443928	0.0954986	0.16644	0.245091	0.229989	0.190039
a7	0.00358854	0.0063146	0.0161681	0.0389652	0.0909259	0.218114	0.31159	0.314333
a90	0.000866615	0.000972622	0.00224737	0.00816403	0.0311771	0.119548	0.324589	0.512436
a56	0.000998626	0.00134289	0.00275639	0.00822657	0.035029	0.140072	0.329147	0.482427
a37	0.000821363	0.0010296	0.00187494	0.0060319	0.0286108	0.103369	0.316256	0.542006
a18	0.000708234	0.000846446	0.00159192	0.00534153	0.024519	0.0838143	0.268175	0.615004
a25	0.00156238	0.00138011	0.00212871	0.00692776	0.0336577	0.0928686	0.280008	0.581466
a10	0.0100849	0.00803961	0.0103704	0.0279078	0.0927387	0.157539	0.271743	0.421577
a87	0.101585	0.0484731	0.0443397	0.0738104	0.131042	0.16549	0.19535	0.239909
</S>	0.232066	0.0763796	0.0452313	0.0635618	0.108981	0.143801	0.142081	0.187898
