 	cet	enfant	hurlait	dans	la	maison	</S>
a66	0.302229	0.142962	0.197649	0.152766	0.0848833	0.071108	0.0484027
a82	0.23331	0.12389	0.174558	0.197155	0.126776	0.0862737	0.0580383
a87	0.585839	0.18616	0.131681	0.0516356	0.0205796	0.0130378	0.0110676
a97	0.493433	0.199962	0.171766	0.0709646	0.0309755	0.0182159	0.0146824
a82	0.496993	0.186254	0.152821	0.0755951	0.038169	0.0261562	0.0240114
a97	0.451195	0.170187	0.162358	0.0983156	0.0492371	0.0365377	0.0321702
a79	0.470619	0.172312	0.165957	0.0947694	0.0431062	0.0295175	0.0237187
a20	0.411164	0.198771	0.170227	0.0999834	0.0464939	0.0362525	0.0371083
a44	0.399979	0.24097	0.125925	0.0807455	0.0493537	0.0508544	0.0521725
a53	0.248924	0.239795	0.11364	0.110862	0.0888827	0.0986159	0.0992814
a20	0.200272	0.221355	0.111528	0.112814	0.106502	0.121335	0.126194
a44	0.208651	0.19804	0.112166	0.108355	0.0994223	0.132244	0.141121
a94	0.0915819	0.126856	0.0871451	0.103694	0.128794	0.193022	0.268908
a54	0.0538417	0.0825654	0.0753206	0.0989565	0.139146	0.21198	0.33819
a6	0.0494905	0.0803049	0.0967189	0.12313	0.150762	0.20329	0.296304
a94	0.0655602	0.100138	0.117832	0.13762	0.143826	0.182169	0.252854
a12	0.0363372	0.0536841	0.0849275	0.131583	0.158983	0.206683	0.327803
a94	0.025139	0.0363613	0.0631081	0.111325	0.153901	0.222626	0.38754
a66	0.0240254	0.0323991	0.0569289	0.118154	0.178031	0.230384	0.360078
a11	0.0073661	0.00937634	0.0255946	0.0652116	0.130106	0.2705	0.491845
a12	0.00379421	0.00500315	0.0133967	0.0413863	0.105438	0.293846	0.537136
a43	0.00539393	0.0064198	0.0127519	0.0378389	0.0993354	0.2971	0.54116
a11	0.00233572	0.0027065	0.00594478	0.0201421	0.0654899	0.2656	0.637781
a36	0.00365704	0.00413338	0.0078713	0.0232189	0.0688974	0.246912	0.64531
a94	0.004708	0.00478943	0.00805499	0.0210461	0.0642563	0.228826	0.668319
a66	0.00376321	0.00399035	0.00646064	0.0197441	0.0591431	0.212508	0.69439
a70	0.0147658	0.00980832	0.0137887	0.0304179	0.0783671	0.210813	0.642039
a66	0.0109639	0.00786277	0.0106496	0.0244217	0.0666118	0.197201	0.682289
a38	0.0262047	0.0155224	0.0185492	0.0361637	0.0799842	0.190365	0.633211
a82	0.0190633	0.0130596	0.0166398	0.0345584	0.0781807	0.196014	0.642484
a3	0.0906927	0.0405843	0.0432004	0.0693334	0.114978	0.20727	0.43394
a99	0.220053	0.0939838	0.0844997	0.0981251	0.113325	0.152152	0.237861
a82	0.208379	0.0976937	0.0872245	0.0972061	0.114266	0.157796	0.237435
</S>	0.157825	0.097078	0.127269	0.143203	0.1347	0.149091	0.190835
