 	maman	a	préparé	les	feuilles	de	manioc	hier	</S>
a87	0.40811	0.203193	0.133401	0.0957105	0.0662207	0.0417465	0.0232131	0.0152047	0.0132001
a23	0.511871	0.225829	0.0835939	0.0304128	0.023676	0.0284553	0.0312956	0.0270623	0.0378033
a3	0.312788	0.237825	0.153	0.0671355	0.0353948	0.032301	0.0368346	0.0425999	0.0821206
a99	0.245986	0.208519	0.217142	0.115109	0.053008	0.0351546	0.032416	0.0360002	0.0566656
a54	0.29501	0.215992	0.182758	0.0734575	0.035862	0.0299296	0.0383269	0.0462535	0.0824107
a47	0.302553	0.239986	0.153259	0.0871344	0.0681077	0.0524398	0.0310418	0.0323261	0.0331523
a92	0.164301	0.214916	0.262806	0.15701	0.0702561	0.045474	0.027772	0.0265452	0.0309199
a85	0.113161	0.175325	0.221648	0.178004	0.107938	0.0730492	0.0422765	0.0368328	0.0517644
a6	0.144223	0.178489	0.200036	0.138124	0.0888292	0.0806635	0.0596792	0.0531622	0.0567941
a37	0.140324	0.169375	0.210275	0.159659	0.101796	0.0765259	0.0466799	0.0408576	0.0545077
a47	0.149511	0.172662	0.239145	0.187533	0.103557	0.05982	0.0303003	0.0261498	0.0313214
a6	0.114822	0.137671	0.207022	0.194223	0.124161	0.0846927	0.0505911	0.0409449	0.0458728
a5	0.0488235	0.0540323	0.0801639	0.116303	0.132074	0.148513	0.135239	0.133135	0.151717
a6	0.0664009	0.0638747	0.0805669	0.10805	0.130833	0.143687	0.126152	0.135456	0.14498
a47	0.0396322	0.0352244	0.0396244	0.0530501	0.079908	0.128585	0.177489	0.216821	0.229666
a7	0.0513859	0.042418	0.0477411	0.0565242	0.0707627	0.108448	0.161212	0.207999	0.253509
a53	0.0316708	0.0282663	0.0275241	0.0429496	0.0733851	0.123192	0.182685	0.201668	0.28866
a69	0.0110008	0.0106992	0.0108215	0.0275386	0.060996	0.117816	0.178881	0.24618	0.336067
a7	0.00605191	0.00626598	0.00659837	0.0192913	0.0444359	0.0960975	0.187227	0.268168	0.365865
a44	0.0053097	0.00486818	0.00375752	0.0119785	0.0352188	0.0859783	0.171055	0.248596	0.433237
a57	0.0022899	0.00216285	0.00153724	0.00562091	0.0196231	0.0577164	0.151593	0.268952	0.490505
a82	0.00571303	0.00313876	0.00148945	0.00299533	0.00979189	0.0284659	0.102214	0.248707	0.597485
a3	0.0665454	0.0363755	0.0169256	0.0156649	0.0296932	0.0623775	0.14048	0.248025	0.383913
a87	0.245785	0.192719	0.118632	0.0697939	0.0607437	0.0655183	0.0789522	0.0850563	0.0827998
a23	0.230491	0.176728	0.104621	0.0726254	0.0732956	0.0848237	0.0970172	0.0839442	0.0764535
a99	0.0809367	0.0596608	0.0343997	0.0256592	0.0407722	0.0844947	0.174514	0.239163	0.260399
a38	0.0313731	0.0293568	0.0247426	0.0289601	0.0505349	0.093103	0.167916	0.250847	0.323167
a97	0.0244827	0.0234362	0.0180187	0.0263867	0.0450633	0.0805483	0.151323	0.256818	0.373923
</S>	0.0149004	0.0124654	0.00984145	0.0171993	0.0335741	0.0732185	0.152506	0.283717	0.402578
