 	parmi	vous	quatre	quel	est	celui	qui	s'	est	disputé	avec	ma	femme	</S>
a66	0.149484	0.112556	0.0950736	0.117459	0.0964389	0.0862656	0.11011	0.0756073	0.0621127	0.0410019	0.0226201	0.0157417	0.00922603	0.00630326
a87	0.525235	0.26379	0.057708	0.0205937	0.00929763	0.00787941	0.0197888	0.0154823	0.0209025	0.0193964	0.0135737	0.0104524	0.00844087	0.00745962
a10	0.343434	0.205193	0.0779224	0.0597784	0.0469182	0.0488004	0.0727516	0.0561668	0.0404498	0.0176754	0.00698707	0.00732353	0.00758729	0.00901209
a54	0.187447	0.178808	0.137594	0.0963429	0.0882212	0.0656279	0.0894173	0.0672582	0.0435594	0.0165783	0.00724943	0.00707668	0.0068933	0.00792628
a36	0.155072	0.127751	0.11199	0.0714936	0.0512339	0.0578611	0.0903255	0.0857164	0.0709046	0.0478736	0.0297395	0.0298275	0.0333759	0.0368353
a61	0.169302	0.182487	0.16985	0.11491	0.070135	0.0529235	0.056042	0.0459077	0.0354082	0.0259865	0.0165628	0.0170595	0.0201476	0.0232786
a75	0.102038	0.161432	0.225339	0.151689	0.114308	0.0710136	0.0600211	0.0411181	0.026001	0.0146766	0.00882637	0.0078973	0.00768525	0.007956
a85	0.0902775	0.146147	0.193256	0.13659	0.0995575	0.0668586	0.0670672	0.0569763	0.0458566	0.0323511	0.0223597	0.0163497	0.0134673	0.012885
a6	0.0543994	0.102275	0.160488	0.112082	0.0896624	0.0641514	0.0700433	0.0712926	0.0677135	0.0613438	0.0558498	0.0361114	0.028222	0.026366
a37	0.0817951	0.115971	0.172193	0.138872	0.116325	0.0715669	0.0651604	0.058932	0.0456388	0.0289915	0.0281847	0.0229659	0.0244338	0.02897
a85	0.0473388	0.0640073	0.110318	0.135107	0.151989	0.110125	0.101501	0.0937687	0.068396	0.0328879	0.0251641	0.0202832	0.0181014	0.0210126
a47	0.0161705	0.0262823	0.072553	0.116255	0.135131	0.0987958	0.0974771	0.0978867	0.0810226	0.0583342	0.0600972	0.0447057	0.042423	0.0528662
a36	0.00977361	0.0129321	0.0345567	0.0958442	0.144158	0.120536	0.129606	0.117508	0.0985154	0.0632627	0.0497766	0.0387392	0.0367788	0.0480118
a2	0.00517331	0.00543437	0.0104752	0.0405444	0.109153	0.127274	0.152296	0.150818	0.117094	0.0693201	0.0538316	0.0470311	0.0482975	0.063258
a57	0.00382908	0.00311454	0.00430064	0.0143514	0.0590129	0.130345	0.187693	0.202515	0.130067	0.0777069	0.051332	0.0397034	0.0416937	0.0543351
a87	0.00864495	0.00828385	0.00751429	0.014101	0.0413627	0.118844	0.18981	0.227057	0.15253	0.0842442	0.0488615	0.036177	0.0293437	0.0332257
a79	0.0249228	0.0260839	0.0293736	0.0509544	0.0932937	0.12224	0.144848	0.156016	0.129106	0.0799899	0.049661	0.0366816	0.028372	0.0284574
a69	0.0137474	0.0109567	0.0127787	0.0223696	0.0353247	0.047979	0.0661559	0.0787023	0.0738504	0.0867712	0.114742	0.110835	0.128904	0.196883
a7	0.00626781	0.00653749	0.0114462	0.0268225	0.0468547	0.0579035	0.0668222	0.0744012	0.0663316	0.0777737	0.0996907	0.108883	0.150966	0.199299
a54	0.00329112	0.00341819	0.00467854	0.0118897	0.0328742	0.0565192	0.0765943	0.0959334	0.0914471	0.0933115	0.109614	0.114396	0.131159	0.174874
a79	0.00343659	0.00406058	0.00636669	0.0125983	0.0247157	0.0399558	0.0583276	0.0724214	0.0767949	0.105225	0.124747	0.123932	0.149238	0.19818
a37	0.00243478	0.00271347	0.0041021	0.0102495	0.0252273	0.0425908	0.055329	0.0630633	0.0574329	0.0817553	0.116348	0.134032	0.181164	0.223558
a92	0.00182682	0.00152981	0.00179177	0.00523373	0.0131559	0.0245226	0.0393358	0.0549296	0.054733	0.0757629	0.10755	0.145328	0.217039	0.257261
a79	0.000948477	0.000900655	0.00122435	0.00327811	0.00777745	0.0134888	0.0216513	0.0340301	0.0405896	0.0721454	0.10889	0.137401	0.231604	0.32607
a37	0.000520022	0.000530435	0.000782566	0.00214362	0.00627556	0.0127124	0.0201916	0.0325457	0.0350253	0.0645434	0.0994558	0.135213	0.249249	0.340811
a98	0.0007116	0.000519669	0.000553807	0.0014103	0.0035525	0.00768505	0.0130659	0.0230023	0.025221	0.0542175	0.0988454	0.157382	0.283485	0.330348
a47	0.000269254	0.000265954	0.000424993	0.00116969	0.0033544	0.00648711	0.0102051	0.0176001	0.0214379	0.045094	0.081871	0.119893	0.268652	0.423275
a85	5.27172e-05	5.5405e-05	0.000128212	0.000470012	0.00158535	0.00399593	0.00664858	0.0123382	0.0144105	0.0288148	0.0657317	0.117515	0.287162	0.461092
a6	0.000105301	9.75993e-05	0.000142179	0.000348047	0.000983489	0.002855	0.00524787	0.00985553	0.0106772	0.0279466	0.0601199	0.108407	0.288276	0.484938
a98	0.00028918	0.000227817	0.000250398	0.000496309	0.00101473	0.00254568	0.00462378	0.00899425	0.0119247	0.0335868	0.0699888	0.124142	0.299075	0.442841
a79	7.37501e-05	7.71909e-05	0.000130198	0.000314623	0.00087127	0.0021394	0.00350155	0.00592576	0.00754162	0.0219184	0.0579655	0.106697	0.302295	0.490549
a12	9.55276e-05	8.60214e-05	0.000127399	0.000326082	0.000856936	0.00227982	0.00409674	0.00753847	0.0095496	0.0236087	0.052814	0.098668	0.285424	0.514529
a96	0.000201222	0.000125585	0.000139247	0.000419227	0.000735753	0.00136548	0.00201765	0.00407994	0.0060109	0.0181332	0.0612859	0.127433	0.314249	0.463804
a36	0.000580038	0.000366587	0.000414057	0.0012196	0.00204246	0.00348037	0.00465867	0.00718637	0.00854186	0.0211077	0.0623454	0.112193	0.305024	0.47084
a2	0.00323075	0.00198275	0.00156327	0.0034139	0.00601702	0.0122739	0.0151778	0.0172352	0.0142482	0.0259372	0.0681258	0.119778	0.295469	0.415548
a57	0.0456462	0.0324517	0.0195466	0.0274775	0.0271464	0.0331655	0.0355576	0.0307141	0.0265329	0.0441105	0.0873569	0.128614	0.2134	0.24828
a87	0.108498	0.0515894	0.0200197	0.0219371	0.0201417	0.0233467	0.0247391	0.0244514	0.0277727	0.0638993	0.106135	0.128469	0.182156	0.196845
a23	0.191941	0.0790694	0.0162114	0.0142748	0.0123782	0.0170893	0.0224108	0.0297857	0.0390918	0.0717617	0.0892484	0.100832	0.139478	0.176427
a99	0.0352841	0.0173899	0.00567637	0.00481993	0.00338911	0.00529712	0.00925671	0.0181922	0.0262841	0.0710171	0.126205	0.182561	0.24699	0.247636
a97	0.0286744	0.0173721	0.0101482	0.00984992	0.00844258	0.0143468	0.0179549	0.0310675	0.0322974	0.0598151	0.101212	0.150355	0.239314	0.279151
</S>	0.0107125	0.00577901	0.0039982	0.00395285	0.00354403	0.00513691	0.0066303	0.0107991	0.0098862	0.0168785	0.045755	0.098414	0.266229	0.512284
