 	ces	petits	enfants	ont	mis	à	sec	ce	vaste	étang	</S>
a66	0.244927	0.239454	0.168627	0.106095	0.0926565	0.0887402	0.0370836	0.00842447	0.0068947	0.00412614	0.00297177
a87	0.288943	0.120389	0.0686231	0.0436121	0.0541676	0.0839835	0.0676211	0.0330229	0.0488962	0.0852041	0.105537
a10	0.0958955	0.0601344	0.0506672	0.0468752	0.0632535	0.104846	0.184807	0.0932055	0.115001	0.0884202	0.0968943
a97	0.100416	0.0692614	0.0750207	0.0717435	0.0774432	0.109728	0.152177	0.100401	0.108326	0.0657607	0.0697225
a87	0.064734	0.0465194	0.0601718	0.06366	0.0735577	0.108622	0.153733	0.118691	0.137837	0.0885868	0.0838881
a97	0.0520817	0.0411617	0.0620133	0.0645184	0.074915	0.114788	0.148855	0.114225	0.151369	0.0953437	0.08073
a40	0.0800305	0.0694915	0.0940875	0.0813207	0.0948175	0.141174	0.115831	0.0768426	0.109453	0.0725467	0.0644049
a6	0.342586	0.25741	0.0946336	0.0464017	0.0558405	0.0792047	0.046397	0.021219	0.0290412	0.0144935	0.0127722
a37	0.400361	0.256338	0.0733717	0.038707	0.0441853	0.068286	0.0528931	0.0219627	0.0272739	0.0081504	0.00847102
a21	0.363534	0.234174	0.0814441	0.0490497	0.0460556	0.0617894	0.0693048	0.0297069	0.0312281	0.0157331	0.0179807
a12	0.233744	0.1771	0.0994106	0.0868279	0.081034	0.0843259	0.0917978	0.0396828	0.0410487	0.0287973	0.0362311
a31	0.20394	0.146153	0.0895366	0.0866738	0.0829234	0.0885481	0.113472	0.046935	0.0495997	0.0418207	0.0503973
a88	0.166654	0.13949	0.09393	0.0918435	0.0864627	0.0829554	0.0997925	0.0535244	0.0581177	0.0606686	0.0665609
a75	0.0887105	0.0923754	0.104347	0.125412	0.117823	0.104238	0.127944	0.0588833	0.0589952	0.0580657	0.0632056
a98	0.0568064	0.0684739	0.0798752	0.088547	0.0861206	0.0774482	0.0983137	0.102709	0.103293	0.11345	0.124964
a47	0.0705736	0.0867671	0.120003	0.121069	0.110187	0.0832322	0.0910479	0.0904876	0.0854031	0.0697242	0.0715054
a37	0.0330176	0.050994	0.114847	0.150548	0.127407	0.0834685	0.09594	0.076983	0.0830298	0.0804954	0.103269
a93	0.0419516	0.0539902	0.100647	0.131306	0.111475	0.0751247	0.0930193	0.0712183	0.0654538	0.1059	0.149914
a96	0.0399008	0.0448848	0.07742	0.10932	0.0988593	0.0746802	0.0953045	0.0860419	0.0777348	0.125077	0.170777
a31	0.018796	0.0221252	0.0449682	0.0875155	0.0880521	0.069216	0.0913442	0.107416	0.0941617	0.159147	0.217258
a0	0.0113008	0.0123696	0.022844	0.0507964	0.0565381	0.051133	0.0878044	0.121093	0.116894	0.196274	0.272953
a31	0.00571842	0.00687144	0.0137454	0.0391976	0.0466235	0.041684	0.0765634	0.100181	0.11182	0.261214	0.29638
a0	0.00417053	0.00490927	0.00991891	0.0274302	0.0331425	0.0308081	0.0551609	0.0939343	0.097663	0.267481	0.375381
a43	0.00232412	0.00279232	0.00603711	0.0165951	0.0213722	0.0203493	0.0356651	0.0573527	0.0681935	0.29537	0.473949
a94	0.00094796	0.0011693	0.00358283	0.010434	0.0137679	0.0131184	0.0207194	0.0322782	0.0447938	0.299045	0.560143
a11	0.000402571	0.000519958	0.00168258	0.00503453	0.00588494	0.0056767	0.0126115	0.0219084	0.0332325	0.289601	0.623445
a12	0.000268253	0.000407286	0.00185134	0.00636663	0.00751748	0.00754812	0.015235	0.0275764	0.0374065	0.272741	0.623082
a96	0.000226202	0.000336586	0.00131349	0.00500978	0.0060504	0.00585605	0.0141847	0.0267002	0.0332446	0.240705	0.666373
a88	0.000395682	0.000587922	0.00217292	0.00660931	0.00715512	0.00696218	0.0178323	0.0387668	0.0410418	0.295223	0.583253
a9	0.00027742	0.000399658	0.00146548	0.00481533	0.00548065	0.00547978	0.0142097	0.0325224	0.0378426	0.327256	0.570251
a97	0.0012159	0.00125246	0.0032565	0.00828185	0.0092209	0.00962571	0.0228323	0.0528167	0.0542808	0.340143	0.497074
a99	0.0370542	0.0252194	0.0332194	0.0419591	0.043379	0.0485696	0.0805493	0.0857013	0.109721	0.250723	0.243904
a97	0.0259385	0.0132235	0.0170865	0.0188197	0.0194634	0.0246527	0.0455962	0.0588936	0.0871247	0.29806	0.391141
a87	0.0101122	0.0057818	0.00907364	0.0119035	0.0115825	0.0131543	0.025436	0.0454164	0.0591413	0.339523	0.468876
</S>	0.00683513	0.00441858	0.00858306	0.0146564	0.0143404	0.0170281	0.043554	0.0608202	0.0718582	0.334574	0.423332
