 	il	se	met	à	l'	abri	du	soleil	</S>
a23	0.167497	0.140971	0.0987933	0.0916845	0.0800865	0.115508	0.102908	0.0930386	0.109512
a30	0.0740267	0.072176	0.073157	0.0770754	0.0947123	0.119513	0.139711	0.161018	0.188611
a53	0.213312	0.176798	0.1249	0.0959747	0.0723036	0.0882766	0.0747541	0.0732476	0.0804324
a15	0.387468	0.259008	0.157223	0.0899262	0.0453088	0.0272841	0.015038	0.0102459	0.00849799
a14	0.335555	0.273694	0.178068	0.0976542	0.0471636	0.0287709	0.0179202	0.0122673	0.00890646
a35	0.2801	0.240294	0.191015	0.121443	0.0707693	0.043869	0.0259114	0.015761	0.010837
a14	0.296756	0.236264	0.182986	0.116244	0.0707536	0.0440415	0.0251307	0.0160274	0.0117965
a35	0.289721	0.230196	0.177888	0.120602	0.0811979	0.0490399	0.0251385	0.014951	0.0112653
a26	0.244804	0.214716	0.181323	0.134279	0.0984873	0.0624315	0.0310052	0.018582	0.0143714
a38	0.223659	0.186044	0.162876	0.129834	0.116693	0.0881897	0.0456305	0.0261021	0.0209729
a70	0.214227	0.191484	0.160334	0.131596	0.1108	0.0930276	0.0517263	0.027121	0.0196839
a94	0.0817063	0.0847888	0.095299	0.112559	0.133039	0.171311	0.136408	0.107441	0.0774471
a35	0.0515372	0.0562293	0.0685382	0.0984611	0.136908	0.209295	0.162948	0.122772	0.0933107
a98	0.0404957	0.0478996	0.0605148	0.0911507	0.128232	0.210022	0.172647	0.138353	0.110686
a14	0.0320473	0.037748	0.0505561	0.0787493	0.111324	0.189195	0.175994	0.173228	0.151159
a35	0.0205864	0.0285644	0.0407807	0.0652893	0.0964589	0.157851	0.170581	0.205106	0.214782
a94	0.0114379	0.0166478	0.0239582	0.0388076	0.0604103	0.137293	0.182779	0.242987	0.285679
a76	0.00491712	0.0070337	0.0117303	0.0277704	0.0580619	0.162417	0.201239	0.242961	0.28387
a25	0.00941771	0.012574	0.0169312	0.0290226	0.0445843	0.104888	0.15985	0.280172	0.342561
a41	0.00603319	0.00829606	0.0114377	0.0194579	0.0323056	0.0880034	0.154041	0.290227	0.390199
a43	0.00504047	0.0065524	0.00932418	0.0171337	0.028378	0.0837922	0.149345	0.280038	0.420396
a0	0.00219746	0.00269665	0.00394466	0.00940965	0.0186353	0.0691026	0.139965	0.293802	0.460247
a47	0.00202932	0.00239186	0.00380415	0.0104275	0.0213675	0.0779337	0.148169	0.282702	0.451175
a83	0.00244565	0.00298338	0.00468813	0.011765	0.021379	0.0645134	0.137582	0.303946	0.450698
a9	0.00530365	0.00658437	0.010664	0.0224247	0.0354278	0.0835476	0.152991	0.283831	0.399227
a87	0.00912022	0.0103875	0.0136033	0.0232684	0.0387441	0.0925877	0.158127	0.284189	0.369973
a23	0.0280335	0.0268752	0.0279432	0.033949	0.0465453	0.100783	0.152075	0.249841	0.333954
a87	0.0487183	0.0532967	0.0611205	0.0633692	0.0706799	0.0984346	0.14096	0.205103	0.258318
a23	0.0349174	0.0417233	0.0529751	0.0647039	0.0830819	0.1346	0.159558	0.187746	0.240694
a87	0.0591169	0.0677481	0.0819688	0.0828005	0.0929483	0.108778	0.126636	0.165533	0.214471
</S>	0.0360922	0.0443202	0.0546618	0.0658954	0.0826435	0.130683	0.16008	0.181102	0.244521
