 	c'	est	par	haine	qu'	il	élimine	le	petit	bétail	de	ses	voisins	</S>
a66	0.0800535	0.0998046	0.0960431	0.146715	0.127096	0.141262	0.11447	0.0836552	0.0589442	0.0270503	0.0126003	0.00459776	0.00481227	0.00289567
a87	0.274341	0.21383	0.193362	0.122281	0.0450496	0.0371123	0.0215447	0.016016	0.0154489	0.0119864	0.0139942	0.00961494	0.0175951	0.00782404
a23	0.331839	0.186222	0.157314	0.0897817	0.0658967	0.0453469	0.0286281	0.0184071	0.0121878	0.0106389	0.0100646	0.00794056	0.0235827	0.0121498
a79	0.26754	0.140399	0.0992121	0.0824719	0.0441491	0.0318357	0.0304563	0.03226	0.0293571	0.0240105	0.0340978	0.0414682	0.0971342	0.0456078
a54	0.0615748	0.039923	0.0440959	0.11069	0.0891918	0.0716536	0.0604812	0.0696164	0.0680718	0.0656554	0.0719357	0.0739937	0.10773	0.0653868
a92	0.0464294	0.0469101	0.0481108	0.118096	0.115216	0.0951499	0.0872429	0.0869566	0.0798144	0.0728905	0.081859	0.0550277	0.0411097	0.025187
a47	0.0841018	0.0909556	0.0777598	0.173682	0.0953802	0.0715521	0.0575649	0.0518607	0.0456091	0.0429015	0.0535181	0.0593003	0.0623972	0.0334172
a93	0.0805491	0.0834755	0.0756275	0.208029	0.107052	0.0747803	0.0573479	0.0520232	0.0405519	0.033593	0.0368089	0.042013	0.0616933	0.0464551
a70	0.0856072	0.0908536	0.0882434	0.176669	0.130793	0.0932464	0.0734671	0.0588524	0.0469365	0.0391781	0.0355114	0.030973	0.0261781	0.0234915
a96	0.0460383	0.0546998	0.0675792	0.155205	0.154864	0.123674	0.10429	0.0850613	0.062717	0.0442011	0.0277341	0.0222167	0.0267449	0.0249744
a62	0.0134608	0.015171	0.0211154	0.0722258	0.149196	0.142521	0.132801	0.119872	0.0888427	0.067925	0.045507	0.0360618	0.0466575	0.048643
a70	0.0105891	0.0104205	0.0137405	0.0405573	0.135248	0.154623	0.164952	0.15146	0.10673	0.0717158	0.0407797	0.0262165	0.0371757	0.0357928
a75	0.00693388	0.00629814	0.00740945	0.0177284	0.0907533	0.134391	0.179827	0.192861	0.134118	0.0801022	0.0450457	0.0270544	0.039215	0.0382626
a79	0.00295446	0.00336601	0.00532045	0.0144893	0.0425157	0.0905562	0.125829	0.138706	0.121405	0.106101	0.090293	0.0721538	0.080895	0.105415
a98	0.00286743	0.00330329	0.00564361	0.0136606	0.0464863	0.103304	0.15322	0.172546	0.13508	0.0990163	0.0712798	0.0543206	0.0613366	0.0779351
a47	0.00306507	0.0033795	0.00603941	0.0120643	0.0510678	0.117093	0.159312	0.151916	0.109514	0.0798147	0.0632422	0.0658794	0.0738961	0.103717
a36	0.00203623	0.0022373	0.00361541	0.00814995	0.0377553	0.0951963	0.1366	0.150334	0.138452	0.116046	0.0786768	0.0687582	0.0625687	0.0995735
a37	0.006693	0.00778177	0.0103503	0.0172282	0.0551349	0.0783245	0.122541	0.166827	0.139878	0.0867704	0.0409865	0.0521424	0.0805362	0.134805
a21	0.00459592	0.00545486	0.00692198	0.0100933	0.0352696	0.0543224	0.0967487	0.126792	0.10583	0.0685952	0.0441336	0.0642994	0.153311	0.223632
a5	0.00337918	0.00310258	0.00356409	0.00368394	0.0127808	0.0289108	0.0672973	0.109066	0.111839	0.0863897	0.0619362	0.0912749	0.163635	0.25314
a43	0.00307865	0.0031025	0.0040732	0.00451106	0.0175725	0.0371956	0.0683474	0.0829979	0.086633	0.0723801	0.0615844	0.094638	0.174129	0.289757
a75	0.0028484	0.00396206	0.00588693	0.00888433	0.0219039	0.0314154	0.049436	0.0549451	0.0556101	0.0466586	0.0407995	0.062146	0.234201	0.381303
a79	0.000921652	0.000902041	0.00111399	0.00151746	0.0084864	0.0219607	0.0418282	0.065165	0.0860695	0.0940731	0.0825194	0.116838	0.183374	0.295231
a7	0.000507063	0.000490793	0.000693942	0.00102527	0.00681144	0.0187698	0.0392217	0.0620959	0.0853361	0.0960471	0.0922283	0.117301	0.192673	0.286799
a70	0.00193549	0.00185498	0.00237291	0.00278004	0.0116849	0.0172977	0.0275336	0.0359897	0.0449941	0.0568545	0.0585969	0.113738	0.249012	0.375356
a93	0.00124535	0.00155232	0.00203846	0.00297503	0.0105488	0.0140138	0.0187565	0.0213475	0.0233577	0.0282753	0.0444729	0.103662	0.251124	0.47663
a13	0.000697637	0.0006951	0.000834093	0.000905449	0.00360371	0.00793422	0.0161004	0.0264117	0.0384132	0.0501772	0.0666303	0.105764	0.240461	0.441372
a38	0.000906882	0.00113324	0.00154821	0.00225312	0.00638359	0.00786336	0.00905798	0.0107793	0.0123478	0.0170944	0.0356322	0.0988197	0.26212	0.53406
