 	cet	homme	a	augmenté	le	prix	de	sa	maison	</S>
a66	0.242078	0.150365	0.140678	0.132649	0.138568	0.0855832	0.0537162	0.0249708	0.0165628	0.014828
a97	0.217356	0.142399	0.0896461	0.0741973	0.0897355	0.0895124	0.0899946	0.0650395	0.0672393	0.0748804
a3	0.353046	0.135357	0.0776068	0.0563091	0.0486198	0.0430131	0.0476974	0.0486156	0.0745444	0.115191
a97	0.396454	0.149781	0.0849029	0.0570525	0.0441255	0.0396656	0.044008	0.0433092	0.0568599	0.0838412
a38	0.385875	0.154288	0.0858717	0.0533141	0.0445844	0.0404208	0.0462841	0.0455588	0.0590657	0.0847378
a97	0.415838	0.209579	0.127966	0.0464769	0.0346442	0.0256119	0.0327805	0.034501	0.0315332	0.0410697
a83	0.301472	0.20289	0.14478	0.0627207	0.0509967	0.0388356	0.0417036	0.0436062	0.0500538	0.0629414
a93	0.275229	0.221714	0.184333	0.103915	0.0568729	0.0351364	0.0288558	0.0256076	0.0308068	0.0375293
a56	0.208721	0.228398	0.224869	0.140654	0.0679321	0.0353697	0.0250948	0.0199948	0.0221194	0.0268475
a25	0.145628	0.218179	0.25454	0.18536	0.0814637	0.0367817	0.0217052	0.0161752	0.0181935	0.0219739
a98	0.109067	0.167167	0.218868	0.214053	0.121655	0.054469	0.0314228	0.025443	0.026239	0.031616
a92	0.0744625	0.125134	0.179065	0.212037	0.164162	0.0869211	0.0441167	0.0371609	0.0364166	0.0405232
a21	0.0988201	0.139501	0.191172	0.214903	0.144563	0.0750511	0.0380685	0.0296738	0.0314954	0.0367524
a47	0.0911506	0.131401	0.179833	0.236952	0.152954	0.0795101	0.041506	0.0281805	0.0269888	0.0315248
a21	0.0687929	0.0978871	0.14301	0.219064	0.173133	0.0949827	0.0547645	0.0443564	0.0462279	0.0577824
a61	0.0355609	0.0484235	0.0741808	0.149488	0.150047	0.144153	0.110447	0.0907534	0.0897808	0.107167
a21	0.0258896	0.0352272	0.0547093	0.126948	0.16849	0.17795	0.126535	0.0904961	0.0876055	0.10615
a5	0.0188922	0.023989	0.0349139	0.0842877	0.128789	0.177231	0.16211	0.128685	0.113763	0.127338
a18	0.0145752	0.0191421	0.0268261	0.0590299	0.0937253	0.15597	0.157262	0.145473	0.141896	0.186101
a21	0.0108696	0.0106727	0.0126464	0.0200938	0.035412	0.0704129	0.0884717	0.143768	0.224009	0.383644
a92	0.00728315	0.00798164	0.0105605	0.0237199	0.0439925	0.103661	0.13771	0.201867	0.215683	0.247541
a90	0.00254188	0.00282541	0.00430796	0.0119107	0.0284284	0.0758915	0.110686	0.20764	0.252387	0.303381
a93	0.00234792	0.00246764	0.00317544	0.00707626	0.0169565	0.0458133	0.0771942	0.171438	0.252351	0.42118
a70	0.00146493	0.00133714	0.00154198	0.00322115	0.00769894	0.0224374	0.0429747	0.121786	0.233378	0.56416
a11	0.00130809	0.00107601	0.00125003	0.00236063	0.00667569	0.0204622	0.0483342	0.139879	0.260076	0.518578
a96	0.00319128	0.00255245	0.00269962	0.00412055	0.0117054	0.0358746	0.0728873	0.153335	0.240715	0.472918
a66	0.00106086	0.000955228	0.0011273	0.0021999	0.00679137	0.0222765	0.0656562	0.182793	0.266045	0.451095
a71	0.00672085	0.00548606	0.0058096	0.00854228	0.0195172	0.0446264	0.0871001	0.173763	0.224525	0.42391
a9	0.0244597	0.0183841	0.0185123	0.0236331	0.0416602	0.0746992	0.102984	0.162761	0.187239	0.345667
a3	0.132566	0.0615251	0.0430192	0.0404545	0.0502891	0.0732883	0.0979578	0.126935	0.149253	0.224712
a99	0.118172	0.0647253	0.0384394	0.0309876	0.0382938	0.0590557	0.0927091	0.14077	0.186682	0.230165
a9	0.0649044	0.0354587	0.0199414	0.0165268	0.0226653	0.0450276	0.0855728	0.142866	0.227687	0.33935
a3	0.0368753	0.0212676	0.0136385	0.0153554	0.0232694	0.0486568	0.0872382	0.138777	0.234171	0.380751
</S>	0.0326487	0.0197176	0.0134758	0.0151455	0.022469	0.0444921	0.0790093	0.131655	0.234814	0.406573
