 	le	criquet	s'	était	accroché	à	son	vêtement	</S>
a66	0.482535	0.171343	0.0869223	0.0563448	0.042197	0.0483644	0.0360584	0.0409367	0.0352983
a87	0.703816	0.123142	0.0646946	0.0219919	0.0147679	0.0127844	0.0120095	0.0214151	0.0253786
a23	0.702922	0.209661	0.0334446	0.00901546	0.00636232	0.00491124	0.00574858	0.0124779	0.0154574
a87	0.514796	0.241359	0.0572508	0.0255262	0.0193568	0.0136806	0.0203306	0.0469639	0.0607363
a23	0.612541	0.182117	0.0525051	0.0283562	0.0199448	0.014942	0.01806	0.0318445	0.0396896
a18	0.50204	0.162574	0.0516074	0.0307485	0.0288183	0.0271291	0.0379463	0.0714594	0.0876772
a99	0.189831	0.117375	0.0988686	0.0778225	0.0637174	0.0656533	0.089275	0.13738	0.160077
a94	0.0841541	0.108752	0.144285	0.119299	0.0822152	0.075819	0.097554	0.1342	0.153723
a70	0.0648667	0.16011	0.233169	0.149903	0.0840204	0.0494533	0.0568953	0.0954261	0.106157
a83	0.0515297	0.14281	0.202323	0.161523	0.0988096	0.0581547	0.0624734	0.101827	0.120549
a44	0.0555137	0.127862	0.157483	0.143647	0.0991404	0.066215	0.0773289	0.124038	0.148772
a70	0.0742338	0.118739	0.118273	0.110496	0.0871005	0.0722798	0.0906574	0.149095	0.179126
a13	0.0329421	0.0515433	0.0534219	0.0713798	0.0811334	0.0741528	0.130554	0.231512	0.273361
a70	0.0194929	0.0263623	0.0293087	0.055653	0.0712277	0.0653115	0.122455	0.266772	0.343416
a94	0.0110231	0.0143089	0.0195784	0.0476699	0.0700923	0.067486	0.122654	0.277971	0.369216
a7	0.00893928	0.0102839	0.0125065	0.0337865	0.0606585	0.0665088	0.128796	0.293591	0.38493
a69	0.00435678	0.00413562	0.00608567	0.017951	0.0358491	0.0635966	0.15068	0.315573	0.401772
a4	0.00691439	0.00974186	0.017921	0.0541221	0.0985396	0.115151	0.172813	0.248427	0.27637
a57	0.00232004	0.00255985	0.00419385	0.0171201	0.0434619	0.0767455	0.182366	0.302631	0.368602
a26	0.00164691	0.000912505	0.00215186	0.00829115	0.0171216	0.0435914	0.144285	0.323835	0.458164
a66	0.043129	0.0146155	0.0161959	0.0321683	0.0449207	0.0737831	0.170087	0.246535	0.358565
a18	0.0957346	0.0348478	0.0240893	0.0359205	0.0505178	0.0649777	0.149884	0.232155	0.311873
a66	0.168863	0.0650582	0.0348552	0.0400161	0.0509927	0.0579259	0.125104	0.200689	0.256496
a26	0.20502	0.0997287	0.0418414	0.0380276	0.0440116	0.0483209	0.103111	0.181252	0.238687
a57	0.284192	0.169529	0.0598938	0.0449693	0.0457295	0.0435791	0.0789159	0.122171	0.15102
a87	0.322074	0.211648	0.0610168	0.0388622	0.0372695	0.0341448	0.0638996	0.102108	0.128977
a23	0.257567	0.179016	0.0943866	0.0510647	0.0446799	0.0369271	0.0678012	0.118924	0.149633
a87	0.299714	0.174111	0.0458478	0.030409	0.0399425	0.0391603	0.0826088	0.142883	0.145323
</S>	0.184848	0.156446	0.0397616	0.0307063	0.0443017	0.0394436	0.0955158	0.191615	0.217363
