 	il	aplanit	le	sol	dans	sa	case	</S>
a23	0.375054	0.352541	0.0940899	0.0614811	0.0335068	0.0302604	0.0286105	0.0244558
a99	0.174512	0.208663	0.112143	0.0820897	0.0811299	0.0881212	0.113742	0.139599
a87	0.189037	0.278776	0.180309	0.103277	0.0719897	0.0570655	0.0566177	0.062928
a10	0.229918	0.306242	0.157617	0.0975287	0.0642084	0.0463831	0.046554	0.0515496
a57	0.254439	0.328376	0.149401	0.0878733	0.0587949	0.0430014	0.0386477	0.039466
a99	0.233218	0.329058	0.16558	0.0940769	0.063474	0.0432606	0.0359564	0.0353759
a87	0.172937	0.390861	0.211422	0.0871202	0.0505988	0.0324285	0.0265868	0.028046
a30	0.178494	0.432303	0.211803	0.0832237	0.0402538	0.0211571	0.0161364	0.0166291
a53	0.130639	0.374899	0.22528	0.0968717	0.0574176	0.0394286	0.0356142	0.0398499
a90	0.240455	0.430344	0.18454	0.0808023	0.0276411	0.0124075	0.010898	0.0129122
a54	0.1601	0.34608	0.236663	0.134127	0.0594889	0.0259439	0.0192258	0.01837
a41	0.175183	0.324924	0.249427	0.139787	0.057646	0.023983	0.0158336	0.0132164
a35	0.201768	0.263489	0.241045	0.157494	0.0731435	0.0308749	0.0186635	0.0135224
a14	0.205849	0.224946	0.22901	0.159973	0.0846035	0.0446502	0.0292517	0.0217171
a35	0.213175	0.180187	0.205114	0.167536	0.0997087	0.0605042	0.0422444	0.0315312
a90	0.148565	0.154077	0.183765	0.180287	0.137277	0.0882073	0.0614646	0.046356
a98	0.152029	0.178068	0.166099	0.155692	0.133049	0.0902365	0.0680171	0.0568096
a66	0.0918783	0.108263	0.122601	0.155197	0.16858	0.142704	0.119405	0.0913711
a75	0.0533666	0.0748654	0.0952649	0.151639	0.183965	0.170466	0.150175	0.120258
a14	0.041444	0.0718433	0.0678412	0.0773982	0.126595	0.184695	0.213793	0.216391
a35	0.0292334	0.0584361	0.0686465	0.0848122	0.141904	0.19841	0.216609	0.201949
a57	0.0202918	0.0489693	0.0606153	0.0556694	0.093942	0.192519	0.254335	0.273659
a10	0.0130115	0.031156	0.0378976	0.041449	0.0815906	0.184627	0.268379	0.34189
a75	0.00624068	0.0135561	0.0165165	0.0225952	0.0600738	0.16076	0.282976	0.437281
a41	0.0117941	0.048193	0.0355893	0.0262782	0.0509842	0.145883	0.253269	0.428009
a35	0.00741799	0.0231895	0.0211638	0.0225813	0.0559287	0.152485	0.271303	0.44593
a41	0.00687871	0.0208879	0.0200246	0.02124	0.0496688	0.13874	0.27808	0.46448
a14	0.00553163	0.0224659	0.0176642	0.0173562	0.0406079	0.121604	0.263986	0.510784
a35	0.00651482	0.0262416	0.0216866	0.0224312	0.0486354	0.135348	0.271091	0.468051
a24	0.00384417	0.0168878	0.0128266	0.0152524	0.0415101	0.118218	0.269429	0.522032
a41	0.005409	0.0155241	0.010352	0.0122882	0.0315844	0.0951164	0.248572	0.581154
a14	0.00581764	0.024995	0.0131674	0.0143052	0.0385844	0.108284	0.259088	0.535758
a94	0.00720927	0.0262698	0.0159883	0.017486	0.0442725	0.116986	0.259291	0.512497
a4	0.00795363	0.0255805	0.0152795	0.0153876	0.0415433	0.105673	0.254392	0.53419
a58	0.00555992	0.0210751	0.018361	0.0220445	0.0556774	0.121452	0.26029	0.49554
a57	0.0248717	0.0528372	0.0259437	0.0274554	0.0707635	0.136886	0.239772	0.421471
a87	0.024551	0.0483732	0.0211664	0.0174054	0.0449223	0.119747	0.252516	0.471318
</S>	0.0286831	0.0406194	0.0279078	0.0226092	0.0660199	0.168796	0.268115	0.37725
