 	son	père	lui	a	défendu	de	jouer	au	foot-ball	</S>
a66	0.150119	0.138694	0.134352	0.116182	0.128248	0.107603	0.127651	0.0562305	0.0234155	0.017505
a87	0.415587	0.152058	0.0729951	0.0472588	0.0457339	0.0487766	0.0903144	0.0635638	0.0408532	0.0228588
a23	0.439706	0.183624	0.0861189	0.0550975	0.047959	0.0395814	0.0482959	0.0424507	0.0330866	0.0240804
a40	0.342623	0.143778	0.0905207	0.0748723	0.0676303	0.0459278	0.0442469	0.049211	0.0722354	0.0689543
a36	0.279051	0.158145	0.117468	0.0937217	0.0867173	0.0631854	0.0600118	0.0602819	0.0449138	0.0365033
a6	0.0915834	0.106579	0.104692	0.0912141	0.0771038	0.0712608	0.0943469	0.140451	0.12748	0.0952883
a0	0.0703787	0.119122	0.125575	0.123206	0.100376	0.0880939	0.0947584	0.107701	0.0883966	0.082393
a11	0.038779	0.0626302	0.0801303	0.111276	0.124593	0.114272	0.108423	0.101023	0.112619	0.146255
a0	0.0477828	0.0692283	0.0849152	0.120242	0.139853	0.122288	0.0991861	0.0850796	0.108011	0.123414
a88	0.0478077	0.0560088	0.0801801	0.111647	0.133259	0.13417	0.117123	0.0949988	0.109468	0.115337
a24	0.0417471	0.0487281	0.0753128	0.113449	0.143432	0.139417	0.11328	0.0863061	0.11019	0.128138
a70	0.0204472	0.0244868	0.0430861	0.0794933	0.127421	0.150081	0.143879	0.118788	0.134291	0.158027
a50	0.0229774	0.027185	0.0507005	0.0897383	0.140282	0.170413	0.163501	0.120363	0.103076	0.111764
a93	0.0170676	0.0198067	0.037519	0.0699353	0.115635	0.165049	0.18288	0.134136	0.116258	0.141714
a62	0.010667	0.0120328	0.0236654	0.0489116	0.0790657	0.126436	0.167023	0.174104	0.162928	0.195167
a88	0.0212819	0.0222204	0.0346162	0.0502515	0.0691365	0.106925	0.175025	0.198694	0.160342	0.161507
a75	0.0107199	0.0135923	0.0234844	0.0405284	0.0697023	0.104523	0.173855	0.213888	0.182558	0.167149
a21	0.00815402	0.00985035	0.016722	0.0289732	0.0412278	0.0702556	0.131208	0.200836	0.228887	0.263886
a5	0.00960271	0.0107818	0.0174	0.027985	0.0427927	0.0728383	0.138276	0.202817	0.237116	0.24039
a43	0.00878993	0.0105715	0.0161191	0.0261676	0.0399864	0.0564697	0.100758	0.168872	0.233209	0.339057
a31	0.00768789	0.011181	0.0187608	0.0310977	0.0456316	0.0520616	0.0722474	0.126888	0.241888	0.392556
a88	0.00448876	0.00589786	0.00906741	0.0143744	0.0235508	0.0384014	0.0763787	0.137548	0.265978	0.424315
a21	0.00201531	0.00263123	0.0048498	0.00894046	0.0135527	0.0189812	0.0355729	0.0793365	0.247745	0.586375
a12	0.00248005	0.00273152	0.00395008	0.00609406	0.00956328	0.0159554	0.0344225	0.0799425	0.258751	0.586109
a62	0.00214807	0.00265682	0.00403917	0.00587513	0.00828328	0.0122517	0.0231446	0.0554389	0.231722	0.654441
a88	0.00171942	0.0022973	0.0039243	0.00607417	0.0083056	0.0110441	0.0192488	0.0491403	0.224358	0.673888
a53	0.0011722	0.00157751	0.00266358	0.00431901	0.00556362	0.00723121	0.0119623	0.0365346	0.201854	0.727122
a4	0.000609636	0.000659918	0.00122089	0.00181341	0.00222042	0.00374043	0.00688006	0.0195941	0.151118	0.812143
a57	0.000739639	0.000989931	0.00168166	0.00226711	0.00253692	0.00359887	0.0056855	0.0149013	0.133932	0.833668
a3	0.00562961	0.00660206	0.00760504	0.00797248	0.00739747	0.00896012	0.0121468	0.030986	0.166301	0.746399
a87	0.120246	0.0831883	0.0511992	0.0396535	0.0332125	0.0330079	0.0423488	0.0628631	0.156172	0.378109
a23	0.258355	0.132351	0.0703021	0.0530082	0.0417722	0.0426949	0.0527081	0.0537173	0.102019	0.193073
a87	0.167545	0.0913096	0.0450214	0.0369899	0.0249943	0.02349	0.0277977	0.0621835	0.2161	0.304569
</S>	0.0360437	0.0213481	0.0131618	0.0150147	0.0122993	0.0146742	0.020809	0.0604919	0.27073	0.535428
