 	les	soldats	ont	dépouillé	le	voleur	de	ses	habits	</S>
a66	0.262944	0.17805	0.142073	0.153503	0.109854	0.0736619	0.0383271	0.0201675	0.0121867	0.00923259
a87	0.338403	0.216335	0.115888	0.0948901	0.0594859	0.0448686	0.0359689	0.0336207	0.0325999	0.0279404
a23	0.369005	0.248086	0.12637	0.0906095	0.0595156	0.0403497	0.0243688	0.0153306	0.0133444	0.0130202
a87	0.343858	0.229617	0.110211	0.0729944	0.0615219	0.0541249	0.0370546	0.0272716	0.0312367	0.0321107
a23	0.35971	0.195923	0.101142	0.0744752	0.0700565	0.0634896	0.0471006	0.0321217	0.0280746	0.0279076
a40	0.259485	0.139074	0.0845693	0.0697505	0.0761504	0.0808749	0.069825	0.0667193	0.0780179	0.0755342
a79	0.282025	0.21613	0.138377	0.123682	0.0858822	0.0711746	0.0327338	0.0215283	0.0167331	0.0117343
a44	0.172197	0.155019	0.12437	0.130874	0.114711	0.118075	0.0679492	0.0496681	0.0420275	0.0251101
a90	0.123626	0.1232	0.118658	0.12838	0.134139	0.137468	0.0765003	0.0556354	0.0581755	0.0442177
a15	0.0897133	0.105201	0.12398	0.141523	0.137895	0.125726	0.0724657	0.0581181	0.074887	0.0704913
a79	0.0665859	0.102747	0.121443	0.141758	0.131626	0.123389	0.0757793	0.0610672	0.08074	0.0948642
a85	0.082206	0.101218	0.118289	0.141355	0.122941	0.107653	0.077896	0.0633184	0.0847284	0.100395
a5	0.048966	0.0691999	0.0955708	0.126375	0.113044	0.102749	0.102648	0.0949681	0.114559	0.13192
a37	0.0593558	0.0782032	0.112921	0.142862	0.116033	0.0908784	0.0864529	0.0828452	0.103344	0.127105
a96	0.0269224	0.0431247	0.0919617	0.127287	0.119586	0.103204	0.115528	0.104308	0.114605	0.153472
a94	0.0130687	0.0206835	0.052993	0.0777425	0.0916752	0.0944918	0.135191	0.14278	0.158535	0.21284
a62	0.0114376	0.0172549	0.0360847	0.043538	0.0615434	0.0770162	0.127903	0.155182	0.194676	0.275365
a88	0.00528205	0.00745752	0.0185056	0.0279963	0.039913	0.0547169	0.120228	0.204099	0.262051	0.259751
a71	0.00276212	0.00415458	0.00884171	0.0111801	0.0164413	0.0246323	0.0744872	0.176171	0.30104	0.38029
a75	0.00463344	0.00782593	0.0168362	0.0168194	0.024609	0.0313112	0.0693852	0.164442	0.284621	0.379517
a92	0.000984585	0.00171052	0.0030424	0.00324905	0.00448553	0.00721984	0.026598	0.103323	0.267702	0.581685
a37	0.000736602	0.0011956	0.00189601	0.0018801	0.00246933	0.00400532	0.016724	0.0755666	0.242324	0.653202
a36	0.000889427	0.00153282	0.00271604	0.00211935	0.00288993	0.00458353	0.0177329	0.0842512	0.251747	0.631538
a27	0.00958539	0.0119301	0.0208185	0.0171534	0.0190723	0.023162	0.0532682	0.13939	0.242371	0.46325
a57	0.0641201	0.0495246	0.0645811	0.0522079	0.0505056	0.0439713	0.0605793	0.0962667	0.169778	0.348465
a87	0.235821	0.138707	0.121545	0.107679	0.0811019	0.0493298	0.0487687	0.0558043	0.0644349	0.0968081
a23	0.187413	0.135758	0.129761	0.116903	0.0963555	0.0642012	0.0657701	0.0713003	0.065454	0.0670829
a87	0.129786	0.0977718	0.0874216	0.063477	0.0475026	0.0353042	0.0604203	0.1062	0.154057	0.218059
a23	0.0351348	0.0228527	0.0227766	0.0187865	0.0176336	0.0177707	0.0399149	0.0877503	0.227901	0.509479
a97	0.0529098	0.0459524	0.0522398	0.0436346	0.0410752	0.0394347	0.0735229	0.119986	0.200593	0.330651
</S>	0.032979	0.0308733	0.0445656	0.0400131	0.0374798	0.0345787	0.0603057	0.104553	0.210857	0.403794
