 	jette	ce	morceau	de	manioc	endurci	dans	la	poubelle	</S>
a66	0.231969	0.192315	0.150582	0.107806	0.106958	0.105188	0.0623294	0.0249711	0.00976902	0.00811289
a87	0.379604	0.183558	0.0957469	0.046389	0.0326537	0.037101	0.0571955	0.0625047	0.0449115	0.0603361
a23	0.284659	0.174292	0.148223	0.0917409	0.0792044	0.070642	0.0542007	0.0405614	0.0227308	0.0337456
a87	0.178552	0.11436	0.11646	0.0905543	0.102463	0.106079	0.072882	0.0673232	0.0586752	0.0926519
a99	0.161116	0.116991	0.13463	0.0968012	0.0988072	0.0933339	0.0763166	0.0718629	0.0646453	0.0854958
a53	0.111519	0.100305	0.103035	0.0699237	0.0711178	0.070354	0.0789517	0.103524	0.121624	0.169646
a7	0.142286	0.148242	0.115742	0.0854368	0.0859466	0.075804	0.0607195	0.0726715	0.096368	0.116783
a54	0.0858376	0.114776	0.120356	0.0993551	0.117839	0.118825	0.0776137	0.0756502	0.089516	0.100232
a5	0.0553658	0.0880862	0.107591	0.10879	0.147551	0.169267	0.093715	0.0664103	0.0770494	0.0861732
a61	0.0880188	0.109424	0.124665	0.128629	0.161397	0.182501	0.0860395	0.0392367	0.0377619	0.0423269
a62	0.10971	0.122849	0.136496	0.134608	0.158745	0.155884	0.0766407	0.0354365	0.0315814	0.0380503
a12	0.0968089	0.100146	0.120184	0.131805	0.160974	0.161917	0.0998991	0.0465918	0.0367768	0.0448974
a18	0.095192	0.0892794	0.111632	0.135414	0.161247	0.161865	0.114258	0.0519699	0.0361143	0.0430286
a53	0.0615629	0.0556836	0.0786773	0.119312	0.152327	0.176375	0.138786	0.0682424	0.0556533	0.0933808
a90	0.0689287	0.0614521	0.0802249	0.115302	0.155583	0.170882	0.143504	0.0816996	0.0565276	0.0658963
a4	0.056186	0.048086	0.0612316	0.0976799	0.128217	0.14545	0.15837	0.11841	0.0891399	0.09723
a11	0.0542597	0.0494123	0.069109	0.103776	0.135378	0.146491	0.157384	0.117136	0.0732571	0.0937959
a75	0.0327233	0.0326006	0.0440421	0.0645374	0.0913016	0.122456	0.169281	0.158092	0.118957	0.166009
a92	0.0238438	0.020383	0.0243173	0.0377736	0.0483826	0.0720652	0.136259	0.185214	0.209233	0.242528
a56	0.0180765	0.0151	0.0178243	0.0293439	0.0372864	0.057378	0.113249	0.183307	0.233229	0.295206
a75	0.0185771	0.0192071	0.0239174	0.0320621	0.0396272	0.0502538	0.0926232	0.16632	0.241482	0.31593
a47	0.00686883	0.00615865	0.00851997	0.0158583	0.0209304	0.0257461	0.0603878	0.146138	0.277266	0.432126
a36	0.00242828	0.00193168	0.00271742	0.00587076	0.00799002	0.00945288	0.0272738	0.0865338	0.285916	0.569885
a2	0.00498759	0.00466491	0.00513099	0.00699839	0.00965346	0.00860788	0.018591	0.0637568	0.253219	0.62439
a57	0.0246049	0.0208639	0.0172704	0.0156333	0.0171045	0.0196992	0.032956	0.0735544	0.189158	0.589156
a87	0.0623881	0.0444939	0.0372155	0.039758	0.0505511	0.0602118	0.0765552	0.122627	0.165779	0.34042
a23	0.205594	0.09532	0.0708565	0.060027	0.0628572	0.0623921	0.0652269	0.0885895	0.106191	0.182946
a87	0.124416	0.0451309	0.0271532	0.0219193	0.0178331	0.0140951	0.0303761	0.0960286	0.244175	0.378873
</S>	0.0293207	0.0106034	0.00768961	0.0085787	0.00892349	0.0111688	0.0249213	0.0782263	0.24708	0.573488
